Rank,Application ID,Applicant Name,Eligibility Status,Composite Score,S1_Registration_Track_Record_5% Score,S1_Registration_Track_Record_5% Reason,S2_Financial_Position_20% Score,S2_Financial_Position_20% Reason,S3_Market_Demand_Competitiveness_20% Score,S3_Market_Demand_Competitiveness_20% Reason,S4_Business_Proposal_Viability_25% Score,S4_Business_Proposal_Viability_25% Reason,S5_Value_Chain_Alignment_10% Score,S5_Value_Chain_Alignment_10% Reason,S6_Inclusivity_Sustainability_20% Score,S6_Inclusivity_Sustainability_20% Reason,Ineligibility Criterion Failed,Reason
1,Garissa_631,Iftin Youth Farmers Cooperative Society,ELIGIBLE,100.00,5,"Cooperative, Registered since 2017 (>3 yrs), established governance.",5,"Turnover KES 12.5M (2024), strong financial health (T>10M).",5,"Consistent sales to schools, retailers; multi-product advantage (Rice/Oil).",5,"Clear plan for upgrading rice hulling and oil press; quantified targets.",5,"Priority VCs (Rice/Edible Oils), critical processing/value addition node.",5,"Youth-led (75% youth), solar power use, waste utilization.",,
2,Garissa_447,kheirat women cooperative,ELIGIBLE,100.00,5,"Cooperative, Registered since 2018 (>3 yrs), established governance.",5,"Turnover KES 15.2M (2024), strong financial health (T>10M).",5,"Active offtake contracts (schools/hospitals), multi-channel sales (retail, bulk).",5,"Clear plan for pasteurization unit and packaging line; quantified targets.",5,"Priority VC (Dairy), critical processing/value addition node; strong farmer linkages.",5,"Woman-owned (70% ownership), solar energy, water harvesting, feed resilience.",,
3,Garissa_336,Dadaab Mercy Savings And Credit Cooperative Society Limited,ELIGIBLE,92.00,5,"Cooperative, Registered since 2017 (>3 yrs), established governance.",4,"Turnover KES 9.5M (2024), sound financial health (T>5M).",4,"Consistent sales to NGOs, local businesses (B2B 30%) and B2C.",5,"Strong plan for scaling textile production and machinery; detailed execution plan.",5,"Priority VC (Textiles), critical manufacturing/value addition node.",5,"Woman-owned (51% ownership), water-saving practices, local sourcing.",,
4,Garissa_654,Garissa Farmers Network (GFN),ELIGIBLE,88.00,5,"Cooperative, Registered since 2015 (>3 yrs), established governance.",4,"Turnover KES 8.1M (2024), sound financial health (T>5M).",4,"Sales to local processors (B2B) and growing retail channel (chilled milk).",5,"Strong plan for Chilling Plant, AI services, and extension; quantified targets.",5,"Priority VC (Dairy), critical aggregation/chilling/extension node.",4,"Moderate inclusion (35% women), solar energy, riverbank restoration, fodder resilience.",,
5,Garissa_333,Fafi Farmers Cooperative Society,ELIGIBLE,84.00,5,"Cooperative, Registered since 2012 (>3 yrs), functioning governance.",3,"Turnover KSH 1.3M (2024), strongly positive trend (T>1M).",3,"Secured contract (chili) and fodder sales to pastoralists.",5,"Clear objectives, quantified targets (150 acres, 30% sales); plan for solar irrigation/tractor/store.",5,"Priority VC (Dairy) input supplier (fodder); plans for chilling.",5,"Strong youth (83%) and women (42.5%) participation; plan for solar irrigation.",,
6,Garissa_356,Garissa Jua Kali Association,ELIGIBLE,70.00,5,"MSME Association, Registered since 2020 (>3 yrs), documented leadership.",3,"Turnover KSH 3.8M (2024), stable records (T>1M).",3,"Regular local sales, aiming for institutional/NGO contracts.",3,"Direction clear (scaling, skills), targets generic; budget rough.",5,"Priority VC (Construction), key node (input manufacturing/furniture, metal).",4,"Moderate inclusion (30% women), planning for solar power.",,
7,Garissa_679,Balambala Women Group,ELIGIBLE,66.00,3,"Association, Registered in 2023 (<1 yr), basic structure.",3,"Turnover KSH 2.1M (2024), stable records (T>1M).",3,"Regular local sales (B2C 90%), one channel.",3,"Direction clear (upgrade equipment), targets generic; budget rough.",4,"Priority VC (Textiles), clear node (garment manufacturing).",4,"Woman-owned (100% members female); basic green practices (waste reduction).",,
8,Garissa_710,Masalani Construction & Youth Group,ELIGIBLE,53.00,3,"Association, Registered in 2024 (<1 yr), basic structure.",3,"Turnover KSH 1.5M (2024), stable records (T>1M).",2,"Intermittent sales, weak channels.",2,"Vague plan (get more contracts, buy truck), limited targets.",4,"Priority VC (Construction), key node (input supply/quarrying).",3,"Youth-led (90% youth); basic green practices (dust control).",,
,Garissa_711,Garissa Edible Oil Processors Association,INELIGIBLE,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,E4: Minimum Financial Evidence (Pass/Fail),"No verifiable financial evidence (bank/M-Pesa/income statement) was found in the application bundle."
,Garissa_563,Durdur livestock traders cooperative society,INELIGIBLE,0.00,N/A,"Cooperative, Registered since 2012.",N/A,"Turnover KES 42M (2024).",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,E3: Priority Value Chain (Pass/Fail),"The core business is livestock trade (100% turnover), which is not a KJET Priority or Additional value chain."
,Garissa_669,Bilalco Integrated Agro-Pastoralist Cluster,INELIGIBLE,0.00,N/A,"MSME Association, Registered since 2021.",N/A,"Turnover KES 6M (2024).",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,E3: Priority Value Chain (Pass/Fail),"The core business (Livestock Keeping 40%, Horticulture 35%) does not align with a KJET Priority or Additional value chain."
,Garissa_701,Bura Livestock Producers Co-operative Society Limited - Bura Agro-Livestock Producers Cluster,INELIGIBLE,0.00,N/A,"Cooperative, Registered since 2019.",N/A,"Turnover KES 1.9M (2024).",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,E3: Priority Value Chain (Pass/Fail),"The core business (Livestock 60%) is not a KJET Priority or Additional value chain. Although Rice (40%) is a priority VC, it is not the dominant activity."
