Rank,Application ID,Applicant Name,Eligibility Status,Composite Score,S1_Registration_Track_Record_5% Score,S1_Registration_Track_Record_5% Reason,S2_Financial_Position_20% Score,S2_Financial_Position_20% Reason,S3_Market_Demand_Competitiveness_20% Score,S3_Market_Demand_Competitiveness_20% Reason,S4_Business_Proposal_Viability_25% Score,S4_Business_Proposal_Viability_25% Reason,S5_Value_Chain_Alignment_10% Score,S5_Value_Chain_Alignment_10% Reason,S6_Inclusivity_Sustainability_20% Score,S6_Inclusivity_Sustainability_20% Reason,Ineligibility Criterion Failed,Reason
1,Kisii_592,KENYENYA DAIRY COOPERATIVE SOCIETY,ELIGIBLE,100.00,5.00,"Cooperative registered >3 yrs; functioning governance (Score 5).",5.00,"Turnover >KES 10M (KES 20M in 2024); positive 2-yr trend (Score 5).",5.00,"Active B2B/B2C sales; multi-channel, defensible quality (Score 5).",5.00,"Clear problem/solution; quantified targets; detailed plan; co-investment readiness (Score 5).",5.00,"Priority VC (Dairy); fills critical aggregation/cooling node (Score 5).",5.00,"High women/youth participation (45% W, 55% Y); 2+ green practices (Solar, aflatoxin control) (Score 5).",,
2,Kisii_298,GESUSU FARMERS CO-OPERATIVE SOCIETY LIMITED,ELIGIBLE,81.00,5.00,"Cooperative registered >3 yrs; clear governance structure (Score 5).",4.00,"Turnover 5–<10M (KES 7M in 2024); stable trend; simple verifiable records (Score 4).",4.00,"Consistent orders (implied by stable revenue from members' produce) (Score 4).",4.00,"Strong plan; quantified targets (increase cooling); budget is rough (Score 4).",5.00,"Priority VC (Dairy); fills critical aggregation/cooling node (Score 5).",5.00,"55% women participation, PWD inclusion; 2+ green practices (Solar, rainwater harvest, agroforestry) (Score 5).",,
3,Kisii_702,RILLY'S LEATHER ENTERPRISES LIMITED,ELIGIBLE,71.00,3.00,"MSME Association, registration appears new/unclear based on KJET application number (Score 3).",3.00,"Turnover 1–<5M (KES 2.5M in 2024); stable trend; M-Pesa statement provided (Score 3).",4.00,"Consistent orders; growing channels (B2C, local shops); basic quality assurance (Score 4).",4.00,"Strong plan (equipment upgrade); targets/timelines present (Score 4).",5.00,"Additional VC (Leather); fills critical manufacturing/value addition node (Score 5).",3.00,"55% women members; some intent on sustainability (local sourcing) (Score 3).",,
,Kisii_173,SPOTPAY SOLUTIONS LIMITED,INELIGIBLE,0.00,0.00,N/A - Ineligible,0.00,N/A - Ineligible,0.00,N/A - Ineligible,0.00,N/A - Ineligible,0.00,N/A - Ineligible,0.00,N/A - Ineligible,E4,"KES 0 Turnover in all years and financial documents were corrupted/image-based and unreadable."
,Kisii_291,Okoigama Self Help Group,INELIGIBLE,0.00,0.00,N/A - Ineligible,0.00,N/A - Ineligible,0.00,N/A - Ineligible,0.00,N/A - Ineligible,0.00,N/A - Ineligible,0.00,N/A - Ineligible,E3,"Hay Production/Forage Farming is not a designated Priority/Additional Value Chain (E3)."
,Kisii_294,Boka Eats Limited,INELIGIBLE,0.00,0.00,N/A - Ineligible,0.00,N/A - Ineligible,0.00,N/A - Ineligible,0.00,N/A - Ineligible,0.00,N/A - Ineligible,0.00,N/A - Ineligible,E3,"Banana processing/value addition is not a designated Priority/Additional Value Chain (E3)."
,Kisii_319,NYAMARAMBE SAFEMILK FARMERS CO-OPERATIVE SOCIETY LTD,INELIGIBLE,0.00,0.00,N/A - Ineligible,0.00,N/A - Ineligible,0.00,N/A - Ineligible,0.00,N/A - Ineligible,0.00,N/A - Ineligible,0.00,N/A - Ineligible,E4,"Financial documents were corrupted/image-based and unreadable."
,Kisii_360,NYATURUBO FARMERS CO-OPERATIVE SOCIETY LIMITED,INELIGIBLE,0.00,0.00,N/A - Ineligible,0.00,N/A - Ineligible,0.00,N/A - Ineligible,0.00,N/A - Ineligible,0.00,N/A - Ineligible,0.00,N/A - Ineligible,E3,"Coffee is not a designated Priority/Additional Value Chain (E3)."
,Kisii_361,MOGONGA FARMERS CO-OPERATIVE SOCIETY LIMITED,INELIGIBLE,0.00,0.00,N/A - Ineligible,0.00,N/A - Ineligible,0.00,N/A - Ineligible,0.00,N/A - Ineligible,0.00,N/A - Ineligible,0.00,N/A - Ineligible,E3,E4,"Coffee (E3) and Financial documents were corrupted/image-based (E4)."
,Kisii_414,KISII SOUTH DAIRY FARMERS CO-OPERATIVE SOCIETY LTD,INELIGIBLE,0.00,0.00,N/A - Ineligible,0.00,N/A - Ineligible,0.00,N/A - Ineligible,0.00,N/A - Ineligible,0.00,N/A - Ineligible,0.00,N/A - Ineligible,E4,"Financial documents were unreadable 'CamScanner' images/no extractable text (E4)."
