Rank,Application ID,Applicant Name,Eligibility Status,Composite Score,S1_Registration_Track_Record_5% Score,S1_Registration_Track_Record_5% Reason,S2_Financial_Position_20% Score,S2_Financial_Position_20% Reason,S3_Market_Demand_Competitiveness_20% Score,S3_Market_Demand_Competitiveness_20% Reason,S4_Business_Proposal_Viability_25% Score,S4_Business_Proposal_Viability_25% Reason,S5_Value_Chain_Alignment_10% Score,S5_Value_Chain_Alignment_10% Reason,S6_Inclusivity_Sustainability_20% Score,S6_Inclusivity_Sustainability_20% Reason,Ineligibility Criterion Failed,Reason
1,Makueni_290,Kitise Farmers Co-operative Society (KFCS),ELIGIBLE,100.00,5.00,"Cooperative registered >3 yrs; documented governance (Score 5).",5.00,"Turnover ≥ KES 10M (KES 15.5M in 2024); positive trend (Score 5).",5.00,"Active B2B contracts (60% offtake); multi-channel (Score 5).",5.00,"Detailed execution plan for processing equipment; quantified targets (Score 5).",5.00,"Priority VC (Dairy); critical aggregation/processing node (Score 5).",5.00,"Strong inclusion (50% women); 2+ green practices (solar power, fodder production) (Score 5).",,
2,Makueni_204,Mbooni Wood and Metal Work,ELIGIBLE,83.00,5.00,"Association registered >3 yrs; documented leadership (Score 5).",4.00,"Turnover 5–<10M (KES 8.2M in 2024); stable trend (Score 4).",4.00,"Consistent B2B/B2C sales; multi-channel sales (Score 4).",4.00,"Strong plan for machinery acquisition (welding/milling); targets/timelines present (Score 4).",5.00,"Priority VC (Construction); critical fabrication node (Score 5).",4.00,"Strong inclusion (55% youth, 40% women); 1-2 green practices (waste reduction) (Score 4).",,
3,Makueni_490,YATTA RICE GROWERS COOPERATIVE,ELIGIBLE,83.00,5.00,"Cooperative registered >3 yrs; documented governance (Score 5).",4.00,"Turnover 5–<10M (KES 8.5M in 2024); stable trend (Score 4).",4.00,"Consistent B2B/B2C sales; basic QA (Score 4).",4.00,"Strong plan for combine harvester/milling equipment; targets present (Score 4).",5.00,"Additional VC (Rice); critical production/processing node (Score 5).",4.00,"Strong inclusion (40% women, 50% youth); 1-2 green practices (water use efficiency) (Score 4).",,
4,Makueni_531,Wote Construction Association,ELIGIBLE,83.00,5.00,"Association registered >3 yrs; documented leadership (Score 5).",4.00,"Turnover 5–<10M (KES 6.5M in 2024); stable trend (Score 4).",4.00,"Consistent B2B/B2C orders; basic QA (Score 4).",4.00,"Strong plan for equipment upgrade; targets/timelines present (Score 4).",5.00,"Priority VC (Construction); critical fabrication node (Score 5).",4.00,"Strong inclusion (55% youth); 1-2 green practices (waste reduction/recycling) (Score 4).",,
5,Makueni_425,MBOONI MINERS ASSOCIATION,ELIGIBLE,82.00,4.00,"Association registered 1-3 yrs; documented leadership (Score 4).",5.00,"Turnover ≥ KES 10M (KES 12.0M in 2024); stable trend (Score 5).",4.00,"Consistent B2B/Contract orders (Score 4).",4.00,"Strong plan for crushing equipment; targets present (Score 4).",5.00,"Additional VC (Minerals); critical processing/material node (Score 5).",3.00,"Moderate inclusion; some intent on sustainability (Score 3).",,
6,Makueni_317,Tawa Edible Oil Processors,ELIGIBLE,82.00,4.00,"Private Company registered 1-3 yrs; documented leadership (Score 4).",4.00,"Turnover 5–<10M (KES 5.9M in 2024); stable trend (Score 4).",4.00,"Consistent B2C/B2B orders; basic QA (Score 4).",4.00,"Strong plan for oil press upgrade; targets present (Score 4).",5.00,"Priority VC (Edible Oils); critical processing node (Score 5).",4.00,"Strong inclusion (50% women); 1-2 green practices (waste utilization) (Score 4).",,
7,Makueni_329,MASII BLUE ECONOMY GROUP,ELIGIBLE,78.00,4.00,"Group registered 1-3 yrs; documented leadership (Score 4).",3.00,"Turnover 1–<5M (KES 1.2M in 2024); stable trend (Score 3).",3.00,"Regular local sales; one channel (Score 3).",4.00,"Strong plan for pond/feed technology; targets present (Score 4).",5.00,"Additional VC (Blue Economy); critical production node (Score 5).",5.00,"Strong inclusion (60% youth); 2+ green practices (water recycling, integrated farming) (Score 5).",,
8,Makueni_365,KILUNGU LEATHER WORKS,ELIGIBLE,75.00,5.00,"Association registered >3 yrs; documented leadership (Score 5).",3.00,"Turnover 1–<5M (KES 4.5M in 2024); stable trend (Score 3).",3.00,"Regular B2C sales; digital sales channel (Score 3).",4.00,"Strong plan for machinery acquisition; targets present (Score 4).",5.00,"Additional VC (Leather); critical manufacturing node (Score 5).",4.00,"Strong inclusion (50% youth, 30% women); 1-2 green practices (waste reduction) (Score 4).",,
9,Makueni_458,MWALA WOMEN’S TEXTILE CO-OP,ELIGIBLE,75.00,5.00,"Cooperative registered >3 yrs; documented governance (Score 5).",3.00,"Turnover 1–<5M (KES 2.5M in 2024); stable trend (Score 3).",3.00,"Regular local/tourist B2C sales (Score 3).",4.00,"Strong plan for machinery acquisition (sewing/embroidery); targets present (Score 4).",5.00,"Priority VC (Textiles); critical manufacturing node (Score 5).",4.00,"Strong inclusion (90% women); 1-2 green practices (Score 4).",,
10,Makueni_505,KIBWANI CONSTRUCTION CBO,ELIGIBLE,65.00,4.00,"CBO registered 1-3 yrs; documented leadership (Score 4).",3.00,"Turnover 1–<5M (KES 3.1M in 2024); stable trend (Score 3).",3.00,"Regular local sales (Score 3).",3.00,"Direction clear for brick machine; budget rough (Score 3).",5.00,"Priority VC (Construction); critical material node (Score 5).",3.00,"Strong inclusion (50% youth); some intent on sustainability (Score 3).",,
,Makueni_164,Gracious kaiani women Group,INELIGIBLE,0.00,0.00,N/A - Ineligible,0.00,N/A - Ineligible,0.00,N/A - Ineligible,0.00,N/A - Ineligible,0.00,N/A - Ineligible,0.00,N/A - Ineligible,E3,"Value Chain (Vegetable/Poultry Farming) is not a designated Priority/Additional VC (E3)."
,Makueni_406,TULIMWAGE COFFEE SOCIETY,INELIGIBLE,0.00,0.00,N/A - Ineligible,0.00,N/A - Ineligible,0.00,N/A - Ineligible,0.00,N/A - Ineligible,0.00,N/A - Ineligible,0.00,N/A - Ineligible,E3,"Value Chain (Coffee Farming/Processing) is not a designated Priority/Additional VC (E3)."
,Makueni_526,MUTHENI BEE KEEPERS ASSOCIATION,INELIGIBLE,0.00,0.00,N/A - Ineligible,0.00,N/A - Ineligible,0.00,N/A - Ineligible,0.00,N/A - Ineligible,0.00,N/A - Ineligible,0.00,N/A - Ineligible,E3,"Value Chain (Beekeeping/Honey) is not a designated Priority/Additional VC (E3)."
,Makueni_539,FOOD AND BEVERAGE,INELIGIBLE,0.00,0.00,N/A - Ineligible,0.00,N/A - Ineligible,0.00,N/A - Ineligible,0.00,N/A - Ineligible,0.00,N/A - Ineligible,0.00,N/A - Ineligible,E3,"Value Chain (Generic Food/Beverage) is not clearly identified as a Priority/Additional VC and is deemed too generic for a passing E3 score (E3)."
,,(Application with Missing ID),INELIGIBLE,0.00,0.00,N/A - Ineligible,0.00,N/A - Ineligible,0.00,N/A - Ineligible,0.00,N/A - Ineligible,0.00,N/A - Ineligible,0.00,N/A - Ineligible,E1,"Application ID is missing/unverifiable from the provided data structure (E1)."
