Rank,Application ID,Applicant Name,Eligibility Status,Composite Score,S1_Registration_Track_Record_5% Score,S1_Registration_Track_Record_5% Reason,S2_Financial_Position_20% Score,S2_Financial_Position_20% Reason,S3_Market_Demand_Competitiveness_20% Score,S3_Market_Demand_Competitiveness_20% Reason,S4_Business_Proposal_Viability_25% Score,S4_Business_Proposal_Viability_25% Reason,S5_Value_Chain_Alignment_10% Score,S5_Value_Chain_Alignment_10% Reason,S6_Inclusivity_Sustainability_20% Score,S6_Inclusivity_Sustainability_20% Reason,Ineligibility Criterion Failed,Reason
1,Meru_101,Meru Edible Oil Processors Coop,ELIGIBLE,100.00,5.00,"Cooperative registered >3 yrs; functioning governance (Score 5).",5.00,"Turnover ≥ KES 10M (KES 15.5M in 2024); positive trend (Score 5).",5.00,"Active offtake/buyer contracts; multi-channel sales (Score 5).",5.00,"Clear problem/solution; quantified targets; co-investment ready (Score 5).",5.00,"Priority VC (Edible Oils); critical processing node (Score 5).",5.00,"Strong inclusion (50% women); 2+ green practices (solar use) (Score 5).",,
2,Meru_510,Igembe Tea Factory,ELIGIBLE,87.00,5.00,"Cooperative registered >3 yrs; functioning governance (Score 5).",5.00,"Turnover ≥ KES 10M (KES 45.0M in 2024); positive trend (Score 5).",5.00,"Active B2B contracts; multiple channels (Score 5).",4.00,"Strong plan with minor gaps; targets present (Score 4).",5.00,"Additional VC (Tea); critical processing/value addition node (Score 5).",3.00,"Moderate inclusion; some intent on sustainability (Score 3).",,
3,Meru_206,Meru Woodwork & Fabrication Assoc.,ELIGIBLE,83.00,5.00,"Association registered >3 yrs; documented leadership (Score 5).",4.00,"Turnover 5–<10M (KES 9.2M in 2024); stable trend (Score 4).",4.00,"Consistent orders; digital sales channel (Score 4).",4.00,"Strong plan for equipment upgrade; targets/timelines present (Score 4).",5.00,"Priority VC (Construction); critical fabrication node (Score 5).",4.00,"Strong inclusion (50% youth); 1-2 green practices (waste recycling) (Score 4).",,
4,Meru_620,Kinoru Dairy Sacco (Dairy Processing),ELIGIBLE,83.00,5.00,"Sacco registered >3 yrs; documented governance (Score 5).",4.00,"Turnover 5–<10M (KES 8.1M in 2024); stable trend (Score 4).",4.00,"Consistent B2B orders; basic QA (Score 4).",4.00,"Strong plan for pasteurizer acquisition; targets present (Score 4).",5.00,"Priority VC (Dairy - Processing); critical value addition node (Score 5).",4.00,"Strong inclusion (40% women); 1-2 green practices (Score 4).",,
5,Meru_615,Meru Leather Works,ELIGIBLE,83.00,5.00,"Association registered >3 yrs; documented leadership (Score 5).",4.00,"Turnover 5–<10M (KES 6.7M in 2024); stable trend (Score 4).",4.00,"Consistent local B2C sales; digital channel (Score 4).",4.00,"Strong plan for machinery acquisition; targets/timelines present (Score 4).",5.00,"Additional VC (Leather); critical manufacturing node (Score 5).",4.00,"Strong inclusion (50% youth); 1-2 green practices (waste reduction) (Score 4).",,
6,Meru_708,Rwithi Organics (Cosmetics from Tea),ELIGIBLE,82.00,4.00,"Private Company registered 1-3 yrs (Score 4).",3.00,"Turnover 1–<5M (KES 4.9M in 2024); stable trend (Score 3).",4.00,"Consistent B2C sales; digital channel (Score 4).",4.00,"Strong plan for equipment upgrade; targets present (Score 4).",5.00,"Additional VC (Tea - Value Added); critical node (Score 5).",5.00,"Strong inclusion (Woman-owned, >50% women staff); 2+ green practices (Score 5).",,
7,Meru_327,Laare Tailoring Association,ELIGIBLE,78.00,4.00,"Association registered 1-3 yrs; documented leadership (Score 4).",3.00,"Turnover 1–<5M (KES 3.5M in 2024); stable trend (Score 3).",4.00,"Consistent B2C/B2B orders; digital channel (Score 4).",4.00,"Strong plan for equipment acquisition; targets present (Score 4).",5.00,"Priority VC (Textiles); critical manufacturing node (Score 5).",4.00,"Strong inclusion (80% women); 1-2 green practices (Score 4).",,
8,Meru_412,Timau Blue Economy CBO,ELIGIBLE,78.00,4.00,"CBO registered 1-3 yrs; documented leadership (Score 4).",3.00,"Turnover 1–<5M (KES 1.1M in 2024); stable trend (Score 3).",3.00,"Regular local sales; one channel (Score 3).",4.00,"Strong plan for pond/feed technology; targets present (Score 4).",5.00,"Additional VC (Blue Economy); critical production node (Score 5).",5.00,"Strong inclusion (>50% youth, 40% women); 2+ green practices (water recycling, integrated farming) (Score 5).",,
,Meru_631,Meru Agrochemicals Ltd (Fertilizer Blending),INELIGIBLE,0.00,0.00,N/A - Ineligible,0.00,N/A - Ineligible,0.00,N/A - Ineligible,0.00,N/A - Ineligible,0.00,N/A - Ineligible,0.00,N/A - Ineligible,E3,"Value Chain (Agrochemicals/Fertilizer Blending) is not a designated Priority/Additional VC (E3)."
,Meru_650,Imenti Livestock Feed Mill,INELIGIBLE,0.00,0.00,N/A - Ineligible,0.00,N/A - Ineligible,0.00,N/A - Ineligible,0.00,N/A - Ineligible,0.00,N/A - Ineligible,0.00,N/A - Ineligible,E3,"Value Chain (Livestock Feed Mill) is not a designated Priority/Additional VC (E3)."
