Rank,Application ID,Applicant Name,Eligibility Status,Composite Score,S1_Registration_Track_Record_5% Score,S1_Registration_Track_Record_5% Reason,S2_Financial_Position_20% Score,S2_Financial_Position_20% Reason,S3_Market_Demand_Competitiveness_20% Score,S3_Market_Demand_Competitiveness_20% Reason,S4_Business_Proposal_Viability_25% Score,S4_Business_Proposal_Viability_25% Reason,S5_Value_Chain_Alignment_10% Score,S5_Value_Chain_Alignment_10% Reason,S6_Inclusivity_Sustainability_20% Score,S6_Inclusivity_Sustainability_20% Reason,Ineligibility Criterion Failed,Reason
1,Nairobi_401,Nairobi Dairy Processors Coop,ELIGIBLE,100.00,5.00,"Cooperative registered >3 yrs; functioning governance (Score 5).",5.00,"Turnover ≥ KES 10M (KES 18.5M in 2024); positive trend (Score 5).",5.00,"Active B2B contracts; multi-channel sales; high QA (Score 5).",5.00,"Clear problem/solution; quantified targets; co-investment ready (Score 5).",5.00,"Priority VC (Dairy - Processing); critical value addition node (Score 5).",5.00,"Strong inclusion (50% women); 2+ green practices (solar power) (Score 5).",,
2,Nairobi_205,Makadara Construction Assoc.,ELIGIBLE,96.00,5.00,"Association registered >3 yrs; documented leadership (Score 5).",5.00,"Turnover ≥ KES 10M (KES 11.0M in 2024); stable trend (Score 5).",4.00,"Consistent B2B orders; digital presence (Score 4).",5.00,"Detailed execution plan for equipment acquisition; targets/timelines present (Score 5).",5.00,"Priority VC (Construction); critical service/material node (Score 5).",5.00,"Strong inclusion (50% youth, 40% women); 2+ green practices (Score 5).",,
3,Nairobi_110,Embakasi Edible Oil Millers,ELIGIBLE,87.00,5.00,"Private Company registered >3 yrs; documented leadership (Score 5).",4.00,"Turnover 5–<10M (KES 9.5M in 2024); positive trend (Score 4).",4.00,"Consistent B2B/B2C orders; basic QA (Score 4).",4.00,"Strong plan for oil press upgrade; targets present (Score 4).",5.00,"Priority VC (Edible Oils); critical processing node (Score 5).",5.00,"Strong inclusion (Woman-owned, >50% women staff); 2+ green practices (Score 5).",,
4,Nairobi_308,Industrial Area Garments Ltd,ELIGIBLE,83.00,5.00,"Private Company registered >3 yrs; documented leadership (Score 5).",4.00,"Turnover 5–<10M (KES 8.2M in 2024); stable trend (Score 4).",4.00,"Consistent contract orders; digital sales channel (Score 4).",4.00,"Strong plan for equipment upgrade; targets present (Score 4).",5.00,"Priority VC (Textiles); critical manufacturing node (Score 5).",4.00,"Strong inclusion (50% youth); 1-2 green practices (waste reduction) (Score 4).",,
5,Nairobi_720,Kariobangi Leather Works,ELIGIBLE,82.00,4.00,"Association registered 1-3 yrs; documented leadership (Score 4).",4.00,"Turnover 5–<10M (KES 6.0M in 2024); stable trend (Score 4).",4.00,"Consistent local sales; digital channel (Score 4).",4.00,"Strong plan for machinery acquisition; targets/timelines present (Score 4).",5.00,"Additional VC (Leather); critical manufacturing node (Score 5).",4.00,"Strong inclusion (70% youth); 1-2 green practices (Score 4).",,
6,Nairobi_615,Nairobi Minerals Traders Ass.,ELIGIBLE,78.00,4.00,"Association registered 1-3 yrs; documented leadership (Score 4).",3.00,"Turnover 1–<5M (KES 4.5M in 2024); stable trend (Score 3).",4.00,"Consistent B2B orders; digital channel (Score 4).",4.00,"Strong plan for processing equipment; targets present (Score 4).",5.00,"Additional VC (Minerals); critical trading/processing node (Score 5).",4.00,"Strong inclusion (50% women); 1-2 green practices (Score 4).",,
7,Nairobi_550,Kasarani Aqua Tech Group,ELIGIBLE,77.00,3.00,"Group registered <1 yr; basic structure (Score 3).",3.00,"Turnover 1–<5M (KES 2.8M in 2024); stable trend (Score 3).",3.00,"Regular local sales; one channel (Score 3).",4.00,"Strong plan for pond/feed technology; targets present (Score 4).",5.00,"Additional VC (Blue Economy); critical production node (Score 5).",5.00,"Strong inclusion (>50% youth, 40% women); 2+ green practices (Score 5).",,
,Nairobi_901,Nairobi Tourism & Safari Agency,INELIGIBLE,0.00,0.00,N/A - Ineligible,0.00,N/A - Ineligible,0.00,N/A - Ineligible,0.00,N/A - Ineligible,0.00,N/A - Ineligible,0.00,N/A - Ineligible,E3,"Value Chain (Tourism/Safari Services) is not a designated Priority/Additional VC (E3)."
,Nairobi_909,Nairobi Financial Tech Hub,INELIGIBLE,0.00,0.00,N/A - Ineligible,0.00,N/A - Ineligible,0.00,N/A - Ineligible,0.00,N/A - Ineligible,0.00,N/A - Ineligible,0.00,N/A - Ineligible,E3,"Value Chain (General Technology/FinTech) is not a designated Priority/Additional VC (E3)."
,Nairobi_999,Missing Registration Group,INELIGIBLE,0.00,0.00,N/A - Ineligible,0.00,N/A - Ineligible,0.00,N/A - Ineligible,0.00,N/A - Ineligible,0.00,N/A - Ineligible,0.00,N/A - Ineligible,E1,"No verifiable registration documentation was provided (E1)."
