county,applications,total_documents,pdf_documents,image_documents,apps_with_registration,apps_with_financial,apps_with_bank_statements,apps_with_application_form,apps_with_balance_sheets,apps_with_income_statements,apps_with_cashflow_statements,apps_with_mpesa_statements,cooperative_count,company_count,group_count,sacco_count,processing_errors,value_chains_mentioned
Baringo,8,30,27,0,0,4,5,8,3,2,1,2,0,0,0,0,0,"Dairy, Construction, Livestock, Forestry, Services, Textiles, Technology, Rice, Retail, Manufacturing, Agriculture, Transport, Tea"
Bomet,4,10,10,0,0,1,4,4,0,1,1,0,0,0,0,0,0,"Dairy, Construction, Livestock, Forestry, Services, Textiles, Technology, Rice, Retail, Manufacturing, Agriculture, Transport, Tea"
Bungoma,13,32,31,0,0,7,5,13,5,6,2,0,0,0,0,0,0,"Dairy, Construction, Livestock, Forestry, Services, Textiles, Rice, Technology, Retail, Manufacturing, Agriculture, Transport, Tea"
Busia,13,33,32,0,0,4,9,13,2,3,3,2,0,0,0,0,0,"Dairy, Construction, Livestock, Forestry, Services, Textiles, Rice, Technology, Retail, Manufacturing, Edible Oils, Agriculture, Transport, Tea"
Elgeiyo Marakwet,8,21,18,0,0,3,5,8,3,1,1,0,0,0,0,0,0,"Dairy, Livestock, Forestry, Services, Rice, Technology, Retail, Manufacturing, Agriculture, Transport, Tea"
Embu,12,35,28,0,0,3,4,12,2,2,0,1,0,0,0,0,0,"Dairy, Construction, Livestock, Services, Textiles, Rice, Technology, Retail, Manufacturing, Edible Oils, Agriculture, Transport, Tea"
Garissa,9,18,16,0,0,0,6,9,0,0,0,1,0,0,0,0,0,"Dairy, Construction, Livestock, Forestry, Services, Textiles, Rice, Technology, Retail, Manufacturing, Agriculture, Transport, Tea"
Homa Bay,13,26,24,0,0,1,6,13,0,1,0,4,0,0,0,0,0,"Dairy, Construction, Livestock, Forestry, Services, Tea, Textiles, Technology, Rice, Minerals, Manufacturing, Edible Oils, Agriculture, Transport, Retail"
Isiolo,4,8,7,0,0,1,2,4,1,0,0,0,0,0,0,0,0,"Dairy, Construction, Livestock, Services, Technology, Rice, Retail, Manufacturing, Edible Oils, Agriculture, Transport, Tea"
Kajiado,8,18,16,0,0,2,2,8,0,2,1,3,0,0,0,0,0,"Dairy, Construction, Livestock, Services, Textiles, Rice, Technology, Retail, Minerals, Manufacturing, Agriculture, Transport, Tea"
Kakamega,75,152,150,0,0,4,68,75,1,2,1,4,0,0,0,0,0,"Dairy, Construction, Livestock, Forestry, Services, Textiles, Technology, Rice, Retail, Manufacturing, Edible Oils, Agriculture, Transport, Tea"
Kericho,19,53,52,0,0,11,7,19,8,7,8,3,0,0,0,0,0,"Dairy, Livestock, Forestry, Services, Rice, Technology, Retail, Minerals, Manufacturing, Agriculture, Transport, Tea"
Kiambu,22,69,66,0,0,12,7,22,11,8,8,8,0,0,0,0,0,"Dairy, Construction, Livestock, Forestry, Services, Textiles, Rice, Technology, Retail, Leather, Minerals, Manufacturing, Agriculture, Transport, Tea"
Kilifi,9,21,20,0,0,5,3,9,2,4,2,1,0,0,0,0,0,"Dairy, Construction, Livestock, Forestry, Services, Textiles, Rice, Technology, Retail, Minerals, Manufacturing, Agriculture, Transport, Tea"
Kirinyaga,6,14,13,0,0,2,2,6,1,2,1,1,0,0,0,0,0,"Dairy, Construction, Forestry, Services, Textiles, Technology, Rice, Retail, Manufacturing, Agriculture, Transport, Tea"
Kisii,21,46,42,0,0,12,6,21,9,2,2,2,0,0,0,0,0,"Dairy, Construction, Livestock, Forestry, Services, Tea, Textiles, Technology, Rice, Leather, Manufacturing, Agriculture, Transport, Retail"
Kisumu,13,27,24,0,0,1,6,13,0,1,0,4,0,0,0,0,0,"Construction, Services, Tea, Textiles, Technology, Rice, Manufacturing, Blue Economy, Agriculture, Transport, Retail"
Kitui,12,26,23,0,0,3,9,12,2,1,0,0,0,0,0,0,0,"Dairy, Construction, Livestock, Forestry, Services, Textiles, Technology, Rice, Retail, Minerals, Manufacturing, Agriculture, Transport, Tea"
Kwale,16,36,29,0,0,1,7,16,1,1,1,3,0,0,0,0,0,"Dairy, Construction, Livestock, Forestry, Services, Textiles, Technology, Rice, Retail, Leather, Manufacturing, Blue Economy, Agriculture, Transport, Tea"
Laikipia,15,36,33,0,0,9,3,15,6,4,2,1,0,0,0,0,0,"Dairy, Construction, Livestock, Forestry, Services, Tea, Technology, Rice, Minerals, Manufacturing, Agriculture, Transport, Retail"
Lamu,4,8,7,0,0,0,3,4,0,0,0,0,0,0,0,0,0,"Dairy, Construction, Livestock, Services, Technology, Rice, Retail, Manufacturing, Edible Oils, Agriculture, Transport, Tea"
Machakos,9,25,24,0,0,4,7,9,3,1,1,2,0,0,0,0,0,"Dairy, Construction, Livestock, Forestry, Services, Technology, Rice, Retail, Manufacturing, Agriculture, Transport, Tea"
Makueni,16,48,46,0,0,3,9,16,1,3,1,7,0,0,0,0,0,"Dairy, Construction, Livestock, Forestry, Services, Tea, Textiles, Technology, Rice, Leather, Minerals, Manufacturing, Agriculture, Transport, Retail"
