Applicant Details,SCORING,
Link to application bundle,ALL SCORED,ONLY PASS
application_220_bundle.zip,63,41
application_257_bundle.zip,78,0
application_297_bundle.zip,93,0
application_302_bundle.zip,54,0
application_338_bundle.zip,30,0
application_371_bundle.zip,43,0
application_426_bundle.zip,48,0
application_570_bundle (1).zip,93,0
application_352_bundle (1).zip,92,0
application_424_bundle.zip,70,0
application_442_bundle.zip,85,0
application_534_bundle.zip,70,0
application_165_bundle.zip,47,0
application_170_bundle.zip,57,0
application_174_bundle.zip,66,0
application_178_bundle.zip,61,0
application_385_bundle.zip,78,88
application_499_bundle.zip,50,0
application_542_bundle.zip,60,0
application_543_bundle.zip,52,0
application_544_bundle.zip,44,0
application_545_bundle.zip,44,0
application_626_bundle.zip,60,0
application_633_bundle.zip,55,0
application_700_bundle (1).zip,52,95
application_158_bundle.zip,41,83
application_163_bundle.zip,50,36
application_240_bundle.zip,65,79
application_339_bundle.zip,47,0
application_340_bundle.zip,65,92
application_391_bundle.zip,68,79
application_398_bundle.zip,75,83
application_468_bundle.zip,49,98
application_513_bundle.zip,57,100
application_515_bundle.zip,59,72
application_538_bundle.zip,43,51
application_660_bundle.zip,77,41
application_713_bundle.zip,69,71
application_320_bundle.zip,91,100
application_612_bundle.zip,22,72
application_679_bundle.zip,64,27
application_680_bundle (1).zip,22,0
application_683_bundle.zip,49,82
application_686_bundle.zip,56,47
application_707_bundle.zip,36,0
application_716_bundle.zip,47,85
application_254_bundle.zip,82,91
application_256_bundle.zip,45,78
application_258_bundle.zip,42,0
application_267_bundle.zip,57,0
application_285_bundle.zip,30,0
application_286_bundle.zip,82,85
application_310_bundle.zip,38,77
application_311_bundle.zip,45,64
application_421_bundle.rar,89,84
application_467_bundle.zip,44,0
application_567_bundle.zip,62,63
application_472_bundle.zip,63,0
application_333_bundle.zip,80,65
application_336_bundle.zip,73,0
application_356_bundle.zip,73,79
application_447_bundle.zip,82,88
application_563_bundle.zip,68,67
application_631_bundle.zip,48,0
application_654_bundle.zip,40,0
application_669_bundle.zip,34,65
application_701_bundle.zip,46,63
application_347_bundle.zip,77,0
application_353_bundle.zip,39,78
application_410_bundle.zip,91,81
application_453_bundle.zip,64,88
application_456_bundle.zip,63,89
application_479_bundle.zip,84,0
application_506_bundle.zip,47,0
application_509_bundle (1).zip,69,0
application_554_bundle (1).zip,32,78
application_561_bundle.zip,19,65
application_583_bundle.zip,50,0
application_594_bundle.zip,43,62
application_684_bundle.zip,45,41
application_207_bundle.zip,47,0
application_576_bundle.zip,53,0
application_653_bundle.zip,81,0
application_715_bundle.zip,39,81
application_215_bundle (1).zip,85,0
application_269_bundle.zip,15,84
application_312_bundle.zip,82,41
application_503_bundle.zip,59,0
application_504_bundle.zip,53,0
application_518_bundle.zip,79,58
application_706_bundle.zip,72,82
application_180_bundle (1).zip,59,0
application_213_bundle (1).zip,47,0
application_227_bundle.zip,50,78
application_243_bundle.zip,41,0
application_248_bundle.zip,30,0
application_249_bundle.zip,84,48
application_252_bundle.zip,55,78
application_265_bundle.zip,42,73
application_268_bundle.zip,41,76
application_284_bundle.zip,65,0
application_289_bundle.zip,61,0
application_301_bundle.zip,62,0
application_306_bundle.zip,65,0
application_307_bundle.zip,61,0
application_309_bundle.zip,34,0
application_316_bundle.zip,39,0
application_318_bundle.zip,57,0
application_322_bundle.zip,71,98
application_323_bundle.zip,56,70
application_337_bundle.zip,40,0
application_344_bundle.zip,79,80
application_346_bundle.zip,73,0
application_362_bundle.zip,53,48
application_378_bundle.zip,12,0
application_381_bundle.zip,53,47
application_382_bundle.zip,37,51
application_383_bundle.zip,80,74
application_392_bundle.zip,29,71
application_394_bundle.zip,68,0
application_404_bundle.zip,56,0
application_415_bundle.zip,51,0
application_433_bundle (1).zip,75,82
application_445_bundle.zip,51,0
application_463_bundle.zip,76,66
application_464_bundle.zip,64,0
application_477_bundle.zip,43,52
application_484_bundle.zip,55,63
application_488_bundle.zip,73,0
application_489_bundle.zip,58,0
application_508_bundle.zip,50,0
application_510_bundle.zip,39,0
application_517_bundle.zip,33,0
application_519_bundle.zip,41,93
application_520_bundle.zip,48,49
application_522_bundle.zip,44,83
