,,"Eligibility Criteria
Decision Box – Eligibility
If any E1–E5 fails → mark INELIGIBLE; exclude from scoring.
If all pass → proceed to Primary Criteria scoring.",,,,,,,"Scoring Rubrics (0–5 anchors per criterion)
Choose the best-fit level per criterion.
Evidence Box – Financial
Accept: bank/M-Pesa PDFs, screenshots (machine-readable if possible), Excel exports, signed income summaries, simple stock/COGS ledgers.",,,,,,,,,,,, Disqualifiers & Penalties,TIERS,NORMALIZED SCORE,,,,,,WEIGHTED SCORING,,,,,,,COMPOSITE SCORE,,RANK,
Link to application bundle,Application ID,E1. Registration & Legality,E2. County Mapping,E3. Priority Value Chain,IF OTHER PVC Which one?,E4. Minimum Financial Evidence,E5. Consent & Contactability,REASON(Evaluators Comments),A3.1 Registration & Track Record,Logic,A3.2 Financial Position,Logic,A3.3 Market Demand & Competitiveness,Logic,A3.4 Business Proposal / Growth Viability,"vague plans, no detailed targets, unclear sourcing",A3.5 Value Chain Alignment & Role,Logic,A3.6 Inclusivity & Sustainability ,Logic,"DQ1: Fraudulent documents or misrepresentation → Immediate disqualification.
P1: Major data inconsistencies or unresolved anomalies → –5 points (applied to total).
P2: Non-cooperation in verification → –3 points or DQ if persistent.
","Tier 1 – Clusters functioning as integrated businesses (e.g. cooperatives or consortia that jointly market or aggregate their members’ output).
Tier 2 – Clusters where member MSMEs operate more independently and the cluster is less integrated, indicating capacity gaps in joint operations.
",A3.1,A3.2,A3.3,A3.4,A3.5,A3.6,A3.1,A3.2,A3.3,A3.4,A3.5,A3.6,TOTAL,Penalty Points,Sum of weighted scores - Penalty(if any),Ranking from composite score,Evaluator's Name
BARINGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
application_KJET-20251228165146-KTAW_with_attachments_2026-01-13_17-18-56,Applicant_KJET-20251228165146-KTAW,CS 954,BARINGO,Dairy,,Yes,Yes,All requirements met,5,"Registered in 1963, and has active governance",5,"Turnover of more than 10M, and positive 2 year trend",3,Has 2 channels for sales but no digital channel,3,Has a clear plan but no budget,4,Has market linkage but weak processes,4,"20% female and youth participation, mentions 2 green practices ",,,100,100,60,60,80,80,10,20,12,15,12,8,77,0,77,5,
application_KJET-20251229111550-TARS_with_attachments_2026-01-13_17-18-48,Applicant_KJET-20251229111550-TARS,DSD/30/158/02/28412,BARINGO,OTHER,Water purification,yes,yes,most requirements met,4,registered in 2024 and has active leadership,1,has irregular transactions,1,has no channels of marketing but future plans are there.,3,Has a clear plan but no budget,5,"are involved in refilling water, purification of water through reverse osmosis, construction of water kiosk",4,has youth and 30%female participation with at least 3 green practices.,,,80,20,20,60,100,80,8,4,4,15,15,8,54,0,54,15,
application_KJET-20251229155134-MZVO_with_attachments_2026-01-13_17-18-46,Applicant_KJET-20251229155134-MZVO,CS/28905,BARINGO,OTHER,Mango fruits production,yes,yes,All requirements met,3,has been registered for more than 2 years,1,financial records have irregular and minimal transactions,5,has 3 channels for sales,3,has a plan but no budget,5,The cooperative  assist farmers in quality production and access to ready market from,4,has female and youth participation with 1 green practices.,,,60,20,100,60,100,80,6,4,20,15,15,8,68,0,68,7,
application_KJET-20251229171110-PYGB_with_attachments_2026-01-13_17-18-41,Applicant_KJET-20251229171110-PYGB,CS/957,BARINGO,Dairy,,yes,yes,All requirements met,5,"Registered in 1963, and has active governance",5,"Turnover of more than 10M, and positive 2 year trend",4,has 3 channels of sales including didgital marketing,3,has a clear direction but no budget,5,within and outside.,4,has youth and atleast 30% of the board of directors are women with at least 3 green practices.,,,100,100,80,60,100,80,10,20,16,15,15,8,84,0,84,1,
application_KJET-20251229181458-CLVU_with_attachments_2026-01-13_17-21-18,Applicant_KJET-20251229181458-CLVU,1451,BARINGO,Blue Economy,,yes,yes,All requirements met,5,registered in 1965 and has active governance,1,turnover less than 1M with thin evidence.,3,has 2 channels with regular local sales ,3,Has a clear plan but no budget,5,priority value chain with market linkages ,4,has youth and women constitute at least 30% of the board of directors with some green practices,,,100,20,60,60,100,80,10,4,12,15,15,8,64,0,64,11,
application_KJET-20251229213010-5DZA_with_attachments_2026-01-13_17-18-34,Applicant_KJET-20251229213010-5DZA,CS/27400,BARINGO,Coffee,,yes,yes,All requirements met,4,registered in 2022 with active governance,2,turnover less than 1M with irregular transactions.,3,has 1 channel of sales and regular local sales ,3,Has a clear plan but no budget,5,priority value chain with market linkages ,4,"has youth both women whereby out of 502 members 301 are women, there are also green practices.",,,80,40,60,60,100,80,8,8,12,15,15,8,66,0,66,10,
application_KJET-20251230124801-WN56_with_attachments_2026-01-13_17-18-33,Applicant_KJET-20251230124801-WN56,DGSD/MGT/WG/019,BARINGO,OTHER,beekeeping & honey processing,yes,yes,All requirements met,5,registered in 2002 with active governance,1,turnover less than 1M with minimal and irregular transactions.,2,intermintent sales with weak channels,3,Has a clear plan but no budget,5,"The group primarily engages in beekeeping, where members procure and manage",4,has youth and 100% owned by women,,,100,20,40,60,100,80,10,4,8,15,15,8,60,0,60,13,
application_KJET-20251230132604-27OG_with_attachments_2026-01-13_17-18-31,Applicant_KJET-20251230132604-27OG,CS/30646,BARINGO,OTHER,"horticulture farming(tomatoes, onions, green pepper)",yes,yes,All requirements met,4,registered in 2024 and has active leadership,1,turnover less than 1M,3,has 1 channel from the local sales,3,Has a clear plan but no budget,5,the group plant and sell the products to customers as well as add value of tomatoes into sauce,4,has both youth and women with some aspect of green practices.,,,80,20,60,60,100,80,8,4,12,15,15,8,62,0,62,12,
application_KJET-20251230142241-9XQ4_with_attachments_2026-01-13_17-18-30,Applicant_KJET-20251230142241-9XQ4,CS/8785,BARINGO,Coffee,,yes,yes,All requirements met,5,registered in 1999 with active governance,2,turnover less than 1M,5,has 100% export channel ,3,Has a clear plan but no budget,5,plant and sell products also add value through packaging e.g Tomato sauce.,4,inclusive of both youth and women with some aspect of green practices.,,,100,40,100,60,100,80,10,8,20,15,15,8,76,0,76,6,
application_KJET-20251230154236-Y8RE_with_attachments_2026-01-13_17-18-29,Applicant_KJET-20251230154236-Y8RE,CS/31709,BARINGO,OTHER,"planting of aloe vera, harvesting and semi processing.products into aloe sap, gum, gel,aloe soap and lotion",yes,yes,All requirements met,3,registered in 2025,1,thin evidence of transactions,1,the is no evidence of any channel used,3,clear plan but no budget,5,production and processing of the products done by the group.,1,has both youth and women but no evidence of green practices,,,60,20,20,60,100,20,6,4,4,15,15,2,46,0,46,18,
application_KJET-20251230210648-UNQH_with_attachments_2026-01-13_17-18-26,Applicant_KJET-20251230210648-UNQH,DSD/30/159/02/166383,BARINGO,Edible Oils,,yes,yes,All requirements met,3,registered in 2025 as a CBO,1,thin and minimal evidence of transactions,3,has regular local sales and 2 channels,3,clear plan but no budget,5,aggregation and processing of the products done by the group.,4,the CBO has youth and women with some aspect of green practices,,,60,20,60,60,100,80,6,4,12,15,15,8,60,0,60,13,
