Applicant Details,,"Eligibility Criteria
Decision Box – Eligibility
If any E1–E5 fails → mark INELIGIBLE; exclude from scoring.
If all pass → proceed to Primary Criteria scoring.",,,,,,,"Scoring Rubrics (0–5 anchors per criterion)
Choose the best-fit level per criterion.
Evidence Box – Financial
Accept: bank/M-Pesa PDFs, screenshots (machine-readable if possible), Excel exports, signed income summaries, simple stock/COGS ledgers.",,,,,,,,,,,, Disqualifiers & Penalties,TIERS,NORMALIZED SCORE,,,,,,WEIGHTED SCORING,,,,,,,COMPOSITE SCORE,,RANK,
Link to application bundle,Application ID,E1. Registration & Legality ,E2. County Mapping,E3. Priority Value Chain,E4. Minimum Financial Evidence,E5. Consent & Contactability ,PASS/FAIL,REASON(Evaluators Comments),A3.1 Registration & Track Record ,Logic,A3.2 Financial Position ,Logic,A3.3 Market Demand & Competitiveness,Logic,A3.4 Business Proposal / Growth Viability,Logic,A3.5 Value Chain Alignment & Role,Logic,A3.6 Inclusivity & Sustainability ,Logic,"DQ1: Fraudulent documents or misrepresentation → Immediate disqualification.
P1: Major data inconsistencies or unresolved anomalies → –5 points (applied to total).
P2: Non-cooperation in verification → –3 points or DQ if persistent.
","Tier 1 – Clusters functioning as integrated businesses (e.g. cooperatives or consortia that jointly market or aggregate their members’ output).
Tier 2 – Clusters where member MSMEs operate more independently and the cluster is less integrated, indicating capacity gaps in joint operations. 
",A3.1,A3.2,A3.3,A3.4,A3.5,A3.6,A3.1,A3.2,A3.3,A3.4,A3.5,A3.6,TOTAL,Penalty Points,Sum of weighted scores - Penalty(if any),Ranking from composite score,
application_158_bundle.zip,Applicant_158, BN-B8SO2R9R,Busia,Other,Mpesa Statement,797040507,Fail,Out of scope in value chain,3,Registered less than a year,2,"500,000KES Turnover",4,2 channels and digital marketplace,2,No clear mitigation strategies,0,Out of scope,3,Moderate inclusion,P1,,60,40,80,40,0,60,6,8,16,10,0,6,46,5,41,151,
application_159_bundle.zip,Applicant_159,BN/3 605754,Kisumu,Other,Blank,710591133,Fail,Out of scope in value chain,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,
application_160_bundle.zip,Applicant_160, BN-MXCLKEB,Taita Taveta,Other,Mpesa Statement,797898292,Fail,Out of scope in value chain,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,
application_161_bundle.zip,Applicant_161, CS/26426,Tana River,Dairy,No financial evidence,729218883,Fail,No financial evidence,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,
application_162_bundle.zip Applicant 162,Applicant_162,BN-MXCRMY67,Uasin Gishu,Other,No financial evidence,715714312,Fail,"Out of scope in value chain,No financial evidence",,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,
application_163_bundle.zip,Applicant_163,101594,Busia,Other,No financial evidence,716530406,Fail,"Out of scope in value chain,No financial evidence",,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,
application_164_bundle.zip,Applicant_164,49303,Makueni,Other,No financial evidence,721670647,Fail,"Out of scope in value chain,No financial evidence",,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,
application_165_bundle.zip,Applicant_165, PVT-EYU3ZZ63,Bungoma,Dairy,Thin financial evidence,748288486,Fail,Thin financial evidence,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,
application_166_bundle.zip,Applicant_166,SHG 002309,Nandi,Dairy,Mpesa Statement,701413466,Fail,Financial records are locked and cant be verified.,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,
