Applicant Details,,"Eligibility Criteria
Decision Box – Eligibility
If any E1–E5 fails → mark INELIGIBLE; exclude from scoring.
If all pass → proceed to Primary Criteria scoring.",,,,,,,"Scoring Rubrics (0–5 anchors per criterion)
Choose the best-fit level per criterion.
Evidence Box – Financial
Accept: bank/M-Pesa PDFs, screenshots (machine-readable if possible), Excel exports, signed income summaries, simple stock/COGS ledgers.",,,,,,,,,,,, Disqualifiers & Penalties,TIERS,NORMALIZED SCORE,,,,,,WEIGHTED SCORING,,,,,,,COMPOSITE SCORE,,RANK,
Link to application bundle,Application ID,E1. Registration & Legality ,E2. County Mapping,E3. Priority Value Chain,E4. Minimum Financial Evidence,E5. Consent & Contactability ,PASS/FAIL,REASON(Evaluators Comments),A3.1 Registration & Track Record ,Logic,A3.2 Financial Position ,Logic,A3.3 Market Demand & Competitiveness,Logic,A3.4 Business Proposal / Growth Viability,Logic,A3.5 Value Chain Alignment & Role,Logic,A3.6 Inclusivity & Sustainability ,Logic,"DQ1: Fraudulent documents or misrepresentation → Immediate disqualification.
P1: Major data inconsistencies or unresolved anomalies → –5 points (applied to total).
P2: Non-cooperation in verification → –3 points or DQ if persistent.
","Tier 1 – Clusters functioning as integrated businesses (e.g. cooperatives or consortia that jointly market or aggregate their members’ output).
Tier 2 – Clusters where member MSMEs operate more independently and the cluster is less integrated, indicating capacity gaps in joint operations.
",A3.1,A3.2,A3.3,A3.4,A3.5,A3.6,A3.1,A3.2,A3.3,A3.4,A3.5,A3.6,TOTAL,Penalty Points,Sum of weighted scores - Penalty(if any),Ranking from composite score,Evaluator's Name
application_158_bundle.zip,Applicant_158, BN-B8SO2R9R,Busia,Other,Mpesa Statement,797040507,Fail,Out of scope in value chain,3,Registered less than a year,0,No financial evidence,4,2 channels and digital marketplace,2,No clear mitigation strategies,0,Out of scope in value chain,3,Moderate inclusion,P1,,60,0,80,40,0,60,6,0,16,10,0,6,38,5,33,483,
application_159_bundle.zip,Applicant 159,BN/3 605754,Kisumu,Other,Blank,710591133,Fail,Out of scope in value chain,4,"Legal, operating for >3 yrs, growth visible; structure named but not deeply detailed.",0,No financial evidence attached,4,"Clear margins (40–46 %), aware of competitors, both B2C & B2B; few verified contracts.",4,"SMART objectives, monitoring system; lacks costed investment plan/co-finance",0,Out of scope in value chain,4,"51 % woman-owned, youth involved, eco-tanning & recycling; no PWD mention",,Tier 2,80,0,80,80,0,80,8,0,16,20,0,8,52,0,52,344,
application_160_bundle.zip,Applicant 160, BN-MXCLKEB,Taita Taveta,Other,Mpesa Statement,797898292,Fail,Out of scope in value chain,4,"The company has been functioning for more than 3 years, but with poor structure.",4,Stable turnover but just under 10M,3,The company has good turnover but sporadic sales.,1,Mentioned challenges with no detail and solution.,3,Supply is mentioned but with weak linkages.,5,over fifty percent of women and two green practices.,,,80,80,60,20,60,100,8,16,12,5,9,10,60,0,60,266,
application_161_bundle.zip,Applicant 161, CS/26426,Tana River,Dairy,No financial evidence,729218883,Fail,No financial evidence,4,Formally registered and operational for about 2–3 years with functional governance and member growth.,0,No financial record provided,4,Has steady demand from local consumers and institutions; product diversity and brand trust present.,4,"Strong, well-articulated growth plan with defined targets and realistic strategies.",5,Perfectly aligned to KJET’s Dairy VC definition; represents the processing and marketing layer of the chain.,5,"Outstanding gender balance, clear environmental focus, and strong sustainability initiatives.",,Tier 1,80,0,80,80,100,100,8,0,16,20,15,10,69,0,69,173,
application_162_bundle.zip Applicant 162,Applicant 162,BN-MXCRMY67,Uasin Gishu,Other,No financial evidence,715714312,Fail,"Out of scope in value chain,No financial evidence",2,Registered under 3 years with unclear governance.,0,No financial evidence.,0,No market evidence.,2,Short and vague plan.,0,Out of scope in value chain.,3,1 green practice.,DQ1,,40,0,0,40,0,60,4,0,0,10,0,6,20,#N/A,0,520,
application_163_bundle.zip,Applicant 163,101594,Busia,Other,No financial evidence,716530406,Fail,"Out of scope in value chain,No financial evidence",4,Registered more than 5 years but basic governance structure in place,0,No financial evidence,3,Regular sales made from one channel,4,"Strong plan, quantified targets and clear timelines",0,Out of scope in value chain,5,Above 50% female with more than 2 sustainabilty practices,,,80,0,60,80,0,100,8,0,12,20,0,10,50,0,50,370,
application_164_bundle.zip,Applicant 164,49303,Makueni,Other,No financial evidence,721670647,Fail,"Out of scope in value chain,No financial evidence",4,Registered for 1 year,0,No financial records provided,3,"Diversified customer base, some regional reach, potential for expansion.",3,Growth dependent on acquisition of equipment and additional capital.,0,Not in priority VC,4,"Strong gender inclusivity, youth engagement, environmentally sustainable practices.",,Tier 2,80,0,60,60,0,80,8,0,12,15,0,8,43,0,43,430,
