Rank,Application ID,Applicant Name,Eligibility Status,Composite Score,S1_Registration_Track_Record_5% Score,S1_Registration_Track_Record_5% Reason,S2_Financial_Position_20% Score,S2_Financial_Position_20% Reason,S3_Market_Demand_Competitiveness_20% Score,S3_Market_Demand_Competitiveness_20% Reason,S4_Business_Proposal_Viability_25% Score,S4_Business_Proposal_Viability_25% Reason,S5_Value_Chain_Alignment_10% Score,S5_Value_Chain_Alignment_10% Reason,S6_Inclusivity_Sustainability_20% Score,S6_Inclusivity_Sustainability_20% Reason,Ineligibility Criterion Failed,Reason
1,Embu_286,Mburugu Dairy Farmers Co-operative society,ELIGIBLE,100.00,5,"Registered >3 yrs, functioning governance.",5,"Turnover >KES 10M, positive 2-yr trend, excellent liquidity.",5,"Active off-take contracts/POs, multi-channel sales (50% B2B), defensible pricing.",5,"Clear problem–solution (cold chain, processing), quantified SMART targets, detailed plan.",5,"Priority VC (Dairy), critical node (processing/cooling), strong linkages.",5,"High participation (50%+ women/youth), 2+ green practices (solar, biogas, tree seedlings).",,
2,Embu_254,KOVORO SELF HELP GROUP,ELIGIBLE,87.00,5,"Registered >3 yrs, strong governance.",5,"Turnover >KES 10M, strong trend (27M→48M), simple income proof provided.",4,"Consistent monthly orders (milk processors), multiple channels, basic quality assurance.",4,"Strong plan with minor gaps; targets & timelines present.",5,"Priority VC (Dairy), critical node (cooling/aggregation), documented linkages.",4,"Strong gender/youth participation, 1-2 green practices (tree nursery, better farming methods).",,
3,Embu_567,TUJIPANGE AGRIBUSINESS ASSOCIATION,ELIGIBLE,77.00,3,"Registered <1 yr, basic structure in place.",3,"Turnover 1-<5M, stable records from M-Pesa statements.",3,"Regular local sales; one channel; emerging quality practices.",4,"Strong plan with minor gaps; targets & timelines present.",5,"Priority VC (Edible Oils), fills a critical node (processing/value addition), documented linkages.",5,"High participation (50%+ women/youth), 2+ green practices (soil health, waste utilization).",,
4,Embu_285,KAGAARI SOUTH WOMEN AGRIBUSINESS GROUP,ELIGIBLE,71.00,4,"Registered 1–3 yrs, documented leadership.",3,"Turnover 1–<5M, stable records from M-Pesa statements.",3,"Regular local sales; one channel; emerging quality practices.",3,"Direction clear; targets generic; budget rough.",4,"Priority VC (Dairy), clear node participation (cooling), some linkages.",5,"High participation (50%+ women/youth), 2+ green practices (solar, tree planting/agroforestry).",,
5,Embu_310,MJENGO CONSTRUCTION WORKERS WELFARE ASSOCIATION,ELIGIBLE,66.00,4,"Registered 1–3 yrs, documented leadership.",2,"Turnover <1M, sporadic records/thin evidence.",2,"Intermittent sales, weak channels.",4,"Strong plan with minor gaps; targets & timelines present.",5,"Priority VC (Construction), fills a critical node (recycling/production), documented linkages.",4,"Strong gender/youth participation, 1-2 green practices (plastic collection and recycling).",,
6,Embu_467,EGAMUTUNDU DAIRY COOPERATIVE SOCIETY LIMITED,ELIGIBLE,65.00,4,"Registered 1–3 yrs, documented leadership.",4,"Turnover 5–<10M, mostly stable records.",4,"Consistent monthly orders, growing channels.",3,"Direction clear; targets generic; budget rough.",5,"Priority VC (Dairy), critical node (cooling), documented linkages.",1,"Token inclusion, no green practice explicitly mentioned (stated 'none').",,
7,Embu_256,KIRDI-KIEP Business Incubation and Innovation Support Program,ELIGIBLE,56.00,3,"Registered <1 yr, basic structure in place.",1,"Turnover <1M, sporadic records/thin evidence, negative trend.",2,"Intermittent sales, weak channels.",3,"Direction clear; targets generic; budget rough.",5,"Priority VC (Edible Oils), fills a critical node (cold-pressing), documented linkages.",4,"Strong gender/youth participation, 1-2 green practices (bee keeping, organic farming).",,
,Embu_311,Kabachi Value Addition Association,INELIGIBLE,0.00,N/A,"",N/A,"",N/A,"",N/A,"",N/A,"",N/A,"",E3: Priority Value Chain (Pass/Fail),"The primary value chain is Cassava, which is not listed in the KJET Priority (Edible Oils, Dairy, Textiles, Construction) or Additional (Rice, Tea, Blue Economy, Minerals, Forestry, Leather) value chains."
,Embu_472,Embu County United Bee Farmers Association,INELIGIBLE,0.00,N/A,"",N/A,"",N/A,"",N/A,"",N/A,"",N/A,"",E3: Priority Value Chain (Pass/Fail),"The primary value chain is Apiculture (Honey/Beekeeping). While there is a mention of a linkage to Edible Oils (sunflower), the core business is not one of the KJET Priority or Additional value chains."
,Embu_258,HOFTOR LTD,INELIGIBLE,0.00,N/A,"",N/A,"",N/A,"",N/A,"",N/A,"",N/A,"",E4: Minimum Financial Evidence (Pass/Fail),"The financial statement provided is a simple bank statement with a low closing balance (KES 6,400.84) and minimal transaction activity, failing to meet the minimum threshold for verifiable financial health/evidence for a B2B business."
,Embu_421,KAIRURI WOMEN ENTERPRISE DEVELOPMENT ASSOCIATION,INELIGIBLE,0.00,N/A,"",N/A,"",N/A,"",N/A,"",N/A,"",N/A,"",E4: Minimum Financial Evidence (Pass/Fail),"Provided M-Pesa statements show a low-volume flow of funds (KES 10,000 range) and do not support the stated KES 3.5M annual turnover, thus failing to provide verifiable financial evidence."
,Embu_267,Nthanju Kleen Food Handlers Association,INELIGIBLE,0.00,N/A,"",N/A,"",N/A,"",N/A,"",N/A,"",N/A,"",E4: Minimum Financial Evidence (Pass/Fail),"The application claims KES 0 turnover/profit for all 3 years (2022-2024) and lacks any bank/M-Pesa statements or other financial documents, thus failing E4."
