Rank,Application ID,Applicant Name,Eligibility Status,Composite Score,S1_Registration_Track_Record_5% Score,S1_Registration_Track_Record_5% Reason,S2_Financial_Position_20% Score,S2_Financial_Position_20% Reason,S3_Market_Demand_Competitiveness_20% Score,S3_Market_Demand_Competitiveness_20% Reason,S4_Business_Proposal_Viability_25% Score,S4_Business_Proposal_Viability_25% Reason,S5_Value_Chain_Alignment_10% Score,S5_Value_Chain_Alignment_10% Reason,S6_Inclusivity_Sustainability_20% Score,S6_Inclusivity_Sustainability_20% Reason,Ineligibility Criterion Failed,Reason
1,Kisumu_525,Kisumu Central Tea Factory Outgrowers SACCO,ELIGIBLE,91.00,5.00,"SACCO registered >3 yrs (since 2005) with clear governance (Score 5).",5.00,"Turnover >KES 10M (KES 12.4M in 2024); positive 2-yr trend (Score 5).",5.00,"Active off-take contract with factory; stable B2B demand (Score 5).",4.00,"Clear plan for transport/handling efficiency; quantified targets/timelines present (Score 4).",5.00,"Additional VC (Tea); fills critical aggregation/logistics node (Score 5).",4.00,"Strong inclusion (50% women, 30% youth); 1-2 green practices (sustainable farming advisory) (Score 4).",,
2,Kisumu_167,Miya Ywech Association,ELIGIBLE,82.00,4.00,"MSME Association, rapid growth, inferred 1-3 years of documented leadership/operations (Score 4).",3.00,"Turnover 1–<5M (KES 2.58M in 2024); positive trend (Score 3).",4.00,"Consistent sales to recyclers (B2B); growing channels (Score 4).",4.00,"Strong plan (paletizing unit/recycling plant); major investment goals (Score 4).",5.00,"Additional VC (Blue Economy - waste management); fills critical processing/value addition node (Score 5).",5.00,"High women/youth participation (51%+ W, 50%+ Y); implied green practice (waste recovery) (Score 5).",,
3,Kisumu_450,OTIENO OKELO JUA KALI ASSOCIATION,ELIGIBLE,79.00,5.00,"Association registered >3 yrs (since 2015) with functioning governance (Score 5).",4.00,"Turnover 5–<10M (KES 5.5M in 2024); stable/growing trend (Score 4).",4.00,"Consistent monthly B2B and B2C orders; growing channels (incl. digital) (Score 4).",4.00,"Plan to upgrade equipment; clear objective; targets present (Score 4).",5.00,"Priority VC (Construction - metal works); fills critical fabrication/supplies node (Score 5).",3.00,"Low women participation; some intent on sustainability (waste scrap recycling) (Score 3).",,
4,Kisumu_494,Nyakach Central Rice Farmers Co-operative Society Ltd,ELIGIBLE,79.00,5.00,"Cooperative registered >3 yrs (since 2017) (Score 5).",4.00,"Turnover 5–<10M (KES 8.2M in 2024); stable/growing trend (Score 4).",4.00,"Consistent B2B sales to wholesalers/millers (Score 4).",4.00,"Clear problem (storage capacity); quantified targets/timelines present (Score 4).",5.00,"Additional VC (Rice); fills critical aggregation/storage node (Score 5).",3.00,"Moderate inclusion (40% women); some intent on sustainability (irrigation efficiency) (Score 3).",,
5,Kisumu_487,KISUMU YOUTH IN TEXTILE AND DESIGN,ELIGIBLE,74.00,4.00,"Association registered 1-3 yrs (since 2022); documented leadership (Score 4).",3.00,"Turnover 1–<5M (KES 1.1M in 2024); stable/recovering trend (Score 3).",3.00,"Regular local sales (B2C & local B2B); one channel (Score 3).",4.00,"Plan to acquire modern machines; clear objective; targets present (Score 4).",5.00,"Priority VC (Textiles); fills critical manufacturing/value addition node (Score 5).",4.00,"Very high youth/women participation (90% Y, 60% W); some intent on sustainability (material sourcing/waste reduction) (Score 4).",,
6,Kisumu_181,NYATI RICE FARMERS CO-OPERATIVE SOCIETY LIMITED,ELIGIBLE,66.00,5.00,"Cooperative registered >3 yrs (since 2012) (Score 5).",3.00,"Turnover 1–<5M (KES 1.5M in 2024); stable/recovering trend (Score 3).",3.00,"Primary sales is B2C and local firms; consistent local sales (Score 3).",3.00,"Plan to acquire milling/drying equipment; targets generic (Score 3).",5.00,"Additional VC (Rice); fills critical processing/value addition node (milling/drying) (Score 5).",3.00,"40% women members; intent on sustainability (using husk/biomass waste) (Score 3).",,
7,Kisumu_486,KISUMU EAST FISHING AND AQUACULTURE ASSOCIATION,ELIGIBLE,66.00,5.00,"Association registered >3 yrs (since 2018) (Score 5).",3.00,"Turnover 1–<5M (KES 3.2M in 2024); stable/recovering trend (Score 3).",3.00,"B2C (60%) and local hotels/retail (40%); regular local sales (Score 3).",3.00,"Plan to acquire cold storage/processing; targets generic (Score 3).",5.00,"Additional VC (Blue Economy); fills critical preservation/value addition node (Score 5).",3.00,"Strong youth/women participation (40% W, 60% Y); intent on sustainable fishing practices (Score 3).",,
8,Kisumu_586,Nyakach East Rice Millers Limited,ELIGIBLE,65.00,4.00,"Private Company registered 1-3 yrs (since 2021) (Score 4).",3.00,"Turnover 1–<5M (KES 4.5M in 2024); stable trend (Score 3).",3.00,"Consistent B2C and B2B sales; one channel (Score 3).",3.00,"Plan to upgrade milling capacity; targets/timelines present (Score 3).",5.00,"Additional VC (Rice); fills critical processing/value addition node (Milling) (Score 5).",3.00,"Moderate inclusion (35% women); intent on sustainability (husk/biomass recycling) (Score 3).",,
9,Kisumu_568,DREAMS BUILDERS CONSTRUCTION LIMITED,ELIGIBLE,64.00,3.00,"Private Company registered <1 yr (since 2023) (Score 3).",3.00,"Turnover 1–<5M (KES 1.8M in 2024); recovering trend (Score 3).",3.00,"Regular local sales/contracts (Score 3).",3.00,"Plan for acquiring tools/equipment; targets generic (Score 3).",5.00,"Priority VC (Construction); fills critical supplies/services node (Score 5).",3.00,"Moderate inclusion (40% youth); intent on sustainability (waste management plan) (Score 3).",,
10,Kisumu_572,NYAKACH HANDICRAFT AND WEAVING CO-OPERATIVE,ELIGIBLE,62.00,5.00,"Cooperative registered >3 yrs (since 2018) (Score 5).",2.00,"Turnover <1M (KES 0.9M in 2024); sporadic records (Score 2).",3.00,"Regular local sales (B2C, tourist shops); one channel (Score 3).",3.00,"Plan to expand product lines; targets generic (Score 3).",5.00,"Priority VC (Textiles/related); fills critical manufacturing/value addition node (Score 5).",3.00,"Very high women participation (95% W); no green practices mentioned (Score 3).",,
