Rank,Application ID,Applicant Name,Eligibility Status,Composite Score,S1_Registration_Track_Record_5% Score,S1_Registration_Track_Record_5% Reason,S2_Financial_Position_20% Score,S2_Financial_Position_20% Reason,S3_Market_Demand_Competitiveness_20% Score,S3_Market_Demand_Competitiveness_20% Reason,S4_Business_Proposal_Viability_25% Score,S4_Business_Proposal_Viability_25% Reason,S5_Value_Chain_Alignment_10% Score,S5_Value_Chain_Alignment_10% Reason,S6_Inclusivity_Sustainability_20% Score,S6_Inclusivity_Sustainability_20% Reason,Ineligibility Criterion Failed,Reason
1,Laikipia_282,NGENIA DAIRY CO-OPERATIVE SOCIETY LTD,ELIGIBLE,100.00,5.00,"Cooperative registered >3 yrs; strong, documented governance (Score 5).",5.00,"Turnover ≥ KES 10M (KES 18M in 2024); positive trend (Score 5).",5.00,"Active offtake contracts and digital sales channels (Score 5).",5.00,"Clear problem/solution; detailed plan; quantified targets; co-investment ready (Score 5).",5.00,"Priority VC (Dairy); fills critical aggregation/processing node (Score 5).",5.00,"Strong inclusion (55% women); 2+ green practices (Conservation Agriculture, Composting/Manure Management) (Score 5).",,
2,Laikipia_208,MULATHA DAIRLY,ELIGIBLE,92.00,5.00,"Cooperative registered >3 yrs; documented governance (Score 5).",5.00,"Turnover ≥ KES 10M (KES 28M in 2024); positive trend (Score 5).",4.00,"Consistent B2B sales (90%) to four dairy processors (Score 4).",5.00,"Detailed plan for cooler/pastoralizer acquisition; quantified targets (Score 5).",5.00,"Priority VC (Dairy); fills critical aggregation/processing node (Score 5).",4.00,"Strong inclusion (52% women, 30% women board); 1-2 green practices (Biogas, Soak Pit waste management) (Score 4).",,
3,Laikipia_283,Ol Joro Orok Farmers Co-operative Society,ELIGIBLE,91.00,5.00,"Cooperative registered >3 yrs; documented governance (Score 5).",5.00,"Turnover ≥ KES 10M (KES 11M in 2024); positive trend (Score 5).",4.00,"Consistent B2B/B2C sales (Score 4).",4.00,"Strong plan for equipment upgrade; targets present (Score 4).",5.00,"Priority VC (Dairy); fills critical aggregation/processing node (Score 5).",5.00,"Strong inclusion (60% women); 2+ green practices (Solar power, waste management) (Score 5).",,
4,Laikipia_251,NG'ARUA CEREALS AND PRODUCE COOPERATIVE SOCIETY LTD,ELIGIBLE,87.00,5.00,"Cooperative registered >3 yrs; documented governance (Score 5).",5.00,"Turnover ≥ KES 10M (KES 12M in 2024); stable trend (Score 5).",4.00,"Consistent B2B/B2C sales; basic QA (Score 4).",4.00,"Strong plan for equipment upgrade; targets/timelines present (Score 4).",5.00,"Additional VC (Rice); fills critical processing/aggregation node (Score 5).",4.00,"Strong inclusion (55% women); 1-2 green practices (Solar panel, tree nursery/planting) (Score 4).",,
5,Laikipia_260,MUHOTETU FCS. LTD.,ELIGIBLE,87.00,5.00,"Cooperative registered >3 yrs; documented governance (Score 5).",5.00,"Turnover ≥ KES 10M (KES 15M in 2024); stable trend (Score 5).",4.00,"Consistent orders; B2B/B2C sales (Score 4).",4.00,"Strong plan for equipment upgrade; targets/timelines present (Score 4).",5.00,"Priority VC (Dairy); fills critical processing node (Score 5).",4.00,"Strong inclusion (50% women); 1-2 green practices (Conservation Agriculture, Composting) (Score 4).",,
6,Laikipia_495,NANYUKI DAIRY,ELIGIBLE,87.00,5.00,"Cooperative registered >3 yrs; documented governance (Score 5).",5.00,"Turnover ≥ KES 10M (KES 10M in 2024); stable trend (Score 5).",4.00,"Consistent orders; B2B/B2C sales (Score 4).",4.00,"Strong plan for equipment upgrade; targets/timelines present (Score 4).",5.00,"Priority VC (Dairy); fills critical processing node (Score 5).",4.00,"Strong inclusion (45% women); 1-2 green practices (Water recycling, fodder management) (Score 4).",,
7,Laikipia_271,Marmanet Farmers Co-operative,ELIGIBLE,87.00,5.00,"Cooperative registered >3 yrs; documented governance (Score 5).",4.00,"Turnover 5–<10M (KES 9.9M in 2024); stable trend (Score 4).",4.00,"Consistent orders; B2B/B2C sales (Score 4).",4.00,"Strong plan for equipment upgrade; targets/timelines present (Score 4).",5.00,"Priority VC (Dairy); fills critical processing node (Score 5).",5.00,"Strong inclusion (50% women, 50% youth); 2+ green practices (Solar, waste management) (Score 5).",,
8,Laikipia_246,DUME JUA KALI ENTERPRISES,ELIGIBLE,83.00,5.00,"Association registered >3 yrs; documented leadership (Score 5).",4.00,"Turnover 5–<10M (KES 5.5M in 2024); stable trend (Score 4).",4.00,"Consistent B2B sales (80%) and digital sales channel (Score 4).",4.00,"Strong plan for equipment acquisition (cabro block); targets/timelines present (Score 4).",5.00,"Priority VC (Construction); fills critical fabrication/material node (Score 5).",4.00,"Strong inclusion (60% youth, 40% women); 1-2 green practices (Waste recycling) (Score 4).",,
9,Laikipia_502,LAIKIPIA WOOD AND METAL WORKERS ASSOCIATION,ELIGIBLE,83.00,5.00,"Association registered >3 yrs; documented leadership (Score 5).",4.00,"Turnover 5–<10M (KES 6.2M in 2024); stable trend (Score 4).",4.00,"Consistent orders; B2B/B2C sales (Score 4).",4.00,"Strong plan for equipment upgrade; targets/timelines present (Score 4).",5.00,"Priority VC (Construction); fills critical fabrication node (Score 5).",4.00,"Strong inclusion (50% youth, 40% women); 1-2 green practices (Waste reduction) (Score 4).",,
10,Laikipia_331,LAIKIPIA YOUTH DAIRY VALUE CHAIN,ELIGIBLE,78.00,4.00,"Group registered 1-3 yrs; documented leadership (Score 4).",3.00,"Turnover 1–<5M (KES 4.2M in 2024); stable trend (Score 3).",3.00,"Regular local B2C sales (Score 3).",4.00,"Strong plan for hay silage machine/storage; targets present (Score 4).",5.00,"Priority VC (Dairy); fills critical feed/fodder production node (Score 5).",5.00,"Strong inclusion (65% youth); 2+ green practices (Solar-operated cooler, hay/fodder fields) (Score 5).",,
11,Laikipia_222,RIFT VALLEY TEA FACTORY,ELIGIBLE,77.00,3.00,"Private Company registered <1 yr; basic structure (Score 3).",4.00,"Turnover 5–<10M (KES 7.8M in 2024); stable trend (Score 4).",4.00,"Consistent B2B/B2C orders (Score 4).",4.00,"Detailed plan for processing equipment; targets/timelines present (Score 4).",5.00,"Additional VC (Tea); fills critical processing/manufacturing node (Score 5).",3.00,"Moderate inclusion; some intent on sustainability (waste management) (Score 3).",,
12,Laikipia_241,Lailipia Farmers Cooperative,ELIGIBLE,75.00,5.00,"Cooperative registered >3 yrs; documented governance (Score 5).",3.00,"Turnover 1–<5M (KES 2.1M in 2024); stable trend (Score 3).",3.00,"Regular local sales (Score 3).",4.00,"Strong plan for stone crusher; targets present (Score 4).",5.00,"Priority VC (Construction); fills critical material production node (Score 5).",4.00,"Strong inclusion (50% youth, 40% women); 1-2 green practices (Tree planting) (Score 4).",,
13,Laikipia_253,GATIKO COMPANY LIMITED,ELIGIBLE,74.00,4.00,"Private Company registered 1-3 yrs; documented leadership (Score 4).",3.00,"Turnover 1–<5M (KES 3.5M in 2024); stable trend (Score 3).",3.00,"Regular sales (Score 3).",4.00,"Strong plan for equipment; quantified targets; mentions zero tillage (Score 4).",5.00,"Additional VC (Rice); fills critical production/processing node (Score 5).",4.00,"Strong inclusion (50% women, 50% youth); 1-2 green practices (Zero tillage, rainwater harvesting) (Score 4).",,
14,Laikipia_634,Zuphifarm,ELIGIBLE,69.00,3.00,"Private Company registered <1 yr; basic structure (Score 3).",2.00,"Turnover <1M (KES 0.9M in 2024); sporadic records (Score 2).",3.00,"Regular local sales (Score 3).",4.00,"Strong plan for milk cooler; targets present (Score 4).",5.00,"Priority VC (Dairy); fills critical processing node (Score 5).",4.00,"Strong inclusion (55% women, 50% youth); 1-2 green practices (Water recycling, solar energy) (Score 4).",,
,Laikipia_551,,INELIGIBLE,0.00,0.00,N/A - Ineligible,0.00,N/A - Ineligible,0.00,N/A - Ineligible,0.00,N/A - Ineligible,0.00,N/A - Ineligible,0.00,N/A - Ineligible,E1,"Application ID is missing/unverifiable from the provided data structure (E1 - Registration & Legality)."
