Rank,Application ID,Applicant Name,Eligibility Status,Composite Score,S1_Registration_Track_Record_5% Score,S1_Registration_Track_Record_5% Reason,S2_Financial_Position_20% Score,S2_Financial_Position_20% Reason,S3_Market_Demand_Competitiveness_20% Score,S3_Market_Demand_Competitiveness_20% Reason,S4_Business_Proposal_Viability_25% Score,S4_Business_Proposal_Viability_25% Reason,S5_Value_Chain_Alignment_10% Score,S5_Value_Chain_Alignment_10% Reason,S6_Inclusivity_Sustainability_20% Score,S6_Inclusivity_Sustainability_20% Reason,Ineligibility Criterion Failed,Reason
1,Migori_810,Kuria Construction Services,ELIGIBLE,100.00,5.00,"Association registered >3 yrs; documented governance (Score 5).",5.00,"Turnover ≥ KES 10M (KES 12.0M in 2024); positive trend (Score 5).",5.00,"Active B2B contracts; multi-channel sales (Score 5).",5.00,"Detailed execution plan; quantified targets; co-investment ready (Score 5).",5.00,"Priority VC (Construction); critical service/material node (Score 5).",5.00,"Strong inclusion (50% youth, 40% women); 2+ green practices (Score 5).",,
2,Migori_105,Migori Gold Miners Coop,ELIGIBLE,96.00,5.00,"Cooperative registered >3 yrs; documented governance (Score 5).",5.00,"Turnover ≥ KES 10M (KES 11.2M in 2024); stable trend (Score 5).",4.00,"Consistent B2B/Contract orders; basic QA (Score 4).",5.00,"Detailed execution plan for crushing/washing plant; targets/timelines present (Score 5).",5.00,"Additional VC (Minerals); critical processing/value addition node (Score 5).",5.00,"Strong inclusion (50% youth); 2+ green practices (waste reduction) (Score 5).",,
3,Migori_450,Nyatike Rice Growers Coop,ELIGIBLE,83.00,5.00,"Cooperative registered >3 yrs; documented governance (Score 5).",4.00,"Turnover 5–<10M (KES 9.8M in 2024); stable trend (Score 4).",5.00,"Active offtake/buyer contracts; multi-channel sales (Score 5).",4.00,"Strong plan for milling equipment; targets present (Score 4).",5.00,"Additional VC (Rice); critical production/processing node (Score 5).",3.00,"Moderate inclusion; some intent on sustainability (Score 3).",,
4,Migori_212,Suna Textile Manufacturers,ELIGIBLE,82.00,4.00,"Association registered 1-3 yrs; documented leadership (Score 4).",4.00,"Turnover 5–<10M (KES 7.5M in 2024); stable trend (Score 4).",4.00,"Consistent monthly orders; digital sales channel (Score 4).",4.00,"Strong plan for equipment upgrade; targets present (Score 4).",5.00,"Priority VC (Textiles); critical manufacturing node (Score 5).",4.00,"Strong inclusion (60% women); 1-2 green practices (waste reduction) (Score 4).",,
5,Migori_301,Awendo Edible Oils Ltd,ELIGIBLE,82.00,4.00,"Private Company registered 1-3 yrs; documented leadership (Score 4).",4.00,"Turnover 5–<10M (KES 6.1M in 2024); stable trend (Score 4).",4.00,"Consistent B2C/B2B orders; basic QA (Score 4).",4.00,"Strong plan for oil press upgrade; targets present (Score 4).",5.00,"Priority VC (Edible Oils); critical processing node (Score 5).",4.00,"Strong inclusion (50% youth); 1-2 green practices (waste utilization) (Score 4).",,
6,Migori_560,Rongo Building Materials Ass.,ELIGIBLE,78.00,4.00,"Association registered 1-3 yrs; documented leadership (Score 4).",3.00,"Turnover 1–<5M (KES 4.2M in 2024); stable trend (Score 3).",4.00,"Consistent B2B orders; digital channel (Score 4).",4.00,"Strong plan for block-making machine; targets present (Score 4).",5.00,"Priority VC (Construction); critical material node (Score 5).",4.00,"Strong inclusion (50% youth, 30% women); 1-2 green practices (waste reduction) (Score 4).",,
7,Migori_711,Migori Fish Farming Group,ELIGIBLE,78.00,4.00,"Group registered 1-3 yrs; documented leadership (Score 4).",3.00,"Turnover 1–<5M (KES 2.1M in 2024); stable trend (Score 3).",3.00,"Regular local sales; one channel (Score 3).",4.00,"Strong plan for pond/feed technology; targets present (Score 4).",5.00,"Additional VC (Blue Economy); critical production node (Score 5).",5.00,"Strong inclusion (60% women); 2+ green practices (water recycling) (Score 5).",,
8,Migori_602,Migori Leather Crafts,ELIGIBLE,69.00,3.00,"Association registered <1 yr; basic structure (Score 3).",3.00,"Turnover 1–<5M (KES 1.5M in 2024); stable trend (Score 3).",3.00,"Regular local sales; one channel (Score 3).",4.00,"Strong plan for tools/equipment; targets present (Score 4).",5.00,"Additional VC (Leather); critical manufacturing node (Score 5).",3.00,"Moderate inclusion; some intent on sustainability (Score 3).",,
,Migori_909,Migori Maize Millers,INELIGIBLE,0.00,0.00,N/A - Ineligible,0.00,N/A - Ineligible,0.00,N/A - Ineligible,0.00,N/A - Ineligible,0.00,N/A - Ineligible,0.00,N/A - Ineligible,E3,"Value Chain (Maize Milling/General Food Processing) is not a designated Priority/Additional VC (E3)."
,Migori_950,Uriri Retail Traders,INELIGIBLE,0.00,0.00,N/A - Ineligible,0.00,N/A - Ineligible,0.00,N/A - Ineligible,0.00,N/A - Ineligible,0.00,N/A - Ineligible,0.00,N/A - Ineligible,E3,"Value Chain (Retail/Services) is not a designated Priority/Additional VC (E3)."
,Migori_962,Macalder Gold Panning Group,INELIGIBLE,0.00,0.00,N/A - Ineligible,0.00,N/A - Ineligible,0.00,N/A - Ineligible,0.00,N/A - Ineligible,0.00,N/A - Ineligible,0.00,N/A - Ineligible,E4,"Financial evidence provided showed a turnover of <KES 1M with sporadic transactions, failing the Minimum Financial Evidence check (E4)."
,Migori_999,Missing Financials Group,INELIGIBLE,0.00,0.00,N/A - Ineligible,0.00,N/A - Ineligible,0.00,N/A - Ineligible,0.00,N/A - Ineligible,0.00,N/A - Ineligible,0.00,N/A - Ineligible,E4,"No verifiable financial evidence was provided (E4)."
