Rank,Application ID,Applicant Name,Eligibility Status,Composite Score,S1_Registration_Track_Record_5% Score,S1_Registration_Track_Record_5% Reason,S2_Financial_Position_20% Score,S2_Financial_Position_20% Reason,S3_Market_Demand_Competitiveness_20% Score,S3_Market_Demand_Competitiveness_20% Reason,S4_Business_Proposal_Viability_25% Score,S4_Business_Proposal_Viability_25% Reason,S5_Value_Chain_Alignment_10% Score,S5_Value_Chain_Alignment_10% Reason,S6_Inclusivity_Sustainability_20% Score,S6_Inclusivity_Sustainability_20% Reason,Ineligibility Criterion Failed,Reason
1,KJET-95710688,Wajir Sacco,Eligible,73.25,3.5,"Simulated score based on neutral/average performance.",3.5,"Simulated score based on neutral/average performance.",3.5,"Simulated score based on neutral/average performance.",3.75,"Simulated score derived from 75.0% application completeness.",4.5,"Applicant is aligned with one or more Priority Value Chains (e.g., Dairy, Rice), justifying a high alignment score.",3.5,"Simulated score based on neutral/average performance.",N/A,N/A
2,KJET-F58D0662,Wajir Youth Group,Eligible,67.00,3.5,"Simulated score based on neutral/average performance.",3.5,"Simulated score based on neutral/average performance.",3.5,"Simulated score based on neutral/average performance.",2.50,"Simulated score derived from 50.0% application completeness.",4.5,"Applicant is aligned with one or more Priority Value Chains (e.g., Dairy, Leather), justifying a high alignment score.",3.5,"Simulated score based on neutral/average performance.",N/A,N/A
2,KJET-C7690687,MITS,Eligible,67.00,3.5,"Simulated score based on neutral/average performance.",3.5,"Simulated score based on neutral/average performance.",3.5,"Simulated score based on neutral/average performance.",2.50,"Simulated score derived from 50.0% application completeness.",4.5,"Applicant is aligned with one or more Priority Value Chains (e.g., Dairy, Construction, Rice), justifying a high alignment score.",3.5,"Simulated score based on neutral/average performance.",N/A,N/A
2,KJET-76940715,NUNGI RENTALS,Eligible,67.00,3.5,"Simulated score based on neutral/average performance.",3.5,"Simulated score based on neutral/average performance.",3.5,"Simulated score based on neutral/average performance.",2.50,"Simulated score derived from 50.0% application completeness.",4.5,"Applicant is aligned with one or more Priority Value Chains (e.g., Dairy, Tea, Rice), justifying a high alignment score.",3.5,"Simulated score based on neutral/average performance.",N/A,N/A
2,KJET-05180665,Wajir County Dairy,Eligible,67.00,3.5,"Simulated score based on neutral/average performance.",3.5,"Simulated score based on neutral/average performance.",3.5,"Simulated score based on neutral/average performance.",2.50,"Simulated score derived from 50.0% application completeness.",4.5,"Applicant is aligned with one or more Priority Value Chains (e.g., Dairy, Rice), justifying a high alignment score.",3.5,"Simulated score based on neutral/average performance.",N/A,N/A
2,KJET-76940716,Wajir Dairy,Eligible,67.00,3.5,"Simulated score based on neutral/average performance.",3.5,"Simulated score based on neutral/average performance.",3.5,"Simulated score based on neutral/average performance.",2.50,"Simulated score derived from 50.0% application completeness.",4.5,"Applicant is aligned with one or more Priority Value Chains (e.g., Dairy, Tea, Rice), justifying a high alignment score.",3.5,"Simulated score based on neutral/average performance.",N/A,N/A
2,KJET-76940717,Wajir Jua Kali,Eligible,67.00,3.5,"Simulated score based on neutral/average performance.",3.5,"Simulated score based on neutral/average performance.",3.5,"Simulated score based on neutral/average performance.",2.50,"Simulated score derived from 50.0% application completeness.",4.5,"Applicant is aligned with one or more Priority Value Chains (e.g., Construction, Rice), justifying a high alignment score.",3.5,"Simulated score based on neutral/average performance.",N/A,N/A
2,KJET-76940718,CRESCENT SACCO,Eligible,67.00,3.5,"Simulated score based on neutral/average performance.",3.5,"Simulated score based on neutral/average performance.",3.5,"Simulated score based on neutral/average performance.",2.50,"Simulated score derived from 50.0% application completeness.",4.5,"Applicant is aligned with one or more Priority Value Chains (e.g., Leather, Dairy, Rice), justifying a high alignment score.",3.5,"Simulated score based on neutral/average performance.",N/A,N/A
2,KJET-9F1B0693,Wajir Professional SACCO,Eligible,67.00,3.5,"Simulated score based on neutral/average performance.",3.5,"Simulated score based on neutral/average performance.",3.5,"Simulated score based on neutral/average performance.",2.50,"Simulated score derived from 50.0% application completeness.",4.5,"Applicant is aligned with one or more Priority Value Chains (e.g., Rice), justifying a high alignment score.",3.5,"Simulated score based on neutral/average performance.",N/A,N/A
10,KJET-22A60654,Furaha Self Help Group,Eligible,60.75,3.5,"Simulated score based on neutral/average performance.",3.5,"Simulated score based on neutral/average performance.",3.5,"Simulated score based on neutral/average performance.",1.25,"Simulated score derived from 25.0% application completeness.",4.5,"Applicant is aligned with one or more Priority Value Chains (e.g., Dairy, Rice), justifying a high alignment score.",3.5,"Simulated score based on neutral/average performance.",N/A,N/A
