Rank,Application ID,Applicant Name,Eligibility Status,Composite Score,S1_Registration_Track_Record_5% Score,S1_Registration_Track_Record_5% Reason,S2_Financial_Position_20% Score,S2_Financial_Position_20% Reason,S3_Market_Demand_Competitiveness_20% Score,S3_Market_Demand_Competitiveness_20% Reason,S4_Business_Proposal_Viability_25% Score,S4_Business_Proposal_Viability_25% Reason,S5_Value_Chain_Alignment_10% Score,S5_Value_Chain_Alignment_10% Reason,S6_Inclusivity_Sustainability_20% Score,S6_Inclusivity_Sustainability_20% Reason,Ineligibility Criterion Failed,Reason
1,Baringo_T0JM,MOGOTIO FARMERS COOPERATIVE SOCIETY LIMITED,ELIGIBLE,85.60,5.0,Established in 1963 (62 years); Cooperative status.,5.0,"2024 Revenue: KES 62,752,616.00; Accounting system: Other.",5.0,B2B Sales: 43.0%; Market strategy reported.,3.4,Structured expansion plans provided,5.0,Aligned with Dairy priority value chain.,3.4,Limited evidence of inclusivity profile.,,
2,Baringo_KTAW,TORONGO FARMERS CO-OPERATIVE SOCIETY LIMITED,ELIGIBLE,85.20,5.0,Established in 1963 (62 years); Cooperative status.,5.0,"2024 Revenue: KES 12,056,692.00; Accounting system: Other.",5.0,B2B Sales: 90.0%; Market strategy reported.,3.4,Structured expansion plans provided,5.0,Aligned with Dairy priority value chain.,3.3,Limited evidence of inclusivity profile.,,
3,Baringo_PYGB,SABATIA FARMERS COOPERATIVE Society limited,ELIGIBLE,84.90,5.0,Established in 1963 (62 years); Other status.,5.0,"2024 Revenue: KES 11,075,059.00; Accounting system: QuickBooks.",4.6,B2B Sales: 34.0%; Market strategy reported.,3.5,Structured expansion plans provided,5.0,Aligned with Dairy priority value chain.,3.5,Limited evidence of inclusivity profile.,,
4,Baringo_HRDX,BARINGO PURE LOWLAND ORGANIC HONEY LTD,ELIGIBLE,83.70,4.1,Established in 2022 (3 years); Private Company status.,5.0,"2024 Revenue: KES 7,500,000.00; Accounting system: Other.",5.0,B2B Sales: 60.0%; Market strategy reported.,3.6,Structured expansion plans provided,3.8,Aligned with other priority value chain.,3.5,Limited evidence of inclusivity profile.,,
5,Baringo_IIRS,Tenges Farmers Cooperative Society Ltd,ELIGIBLE,79.70,5.0,Established in 1988 (37 years); Cooperative status.,5.0,"2024 Revenue: KES 22,256,815.00; Accounting system: QuickBooks.",4.0,B2B Sales: 15.0%; Market strategy reported.,3.5,Structured expansion plans provided,3.8,Aligned with Coffee priority value chain.,3.4,Limited evidence of inclusivity profile.,,
6,Baringo_IVSQ,SABOL TEXTILE LIMITED,ELIGIBLE,76.70,4.1,Established in 2021 (4 years); Private Company status.,3.3,"2024 Revenue: KES 1,200,000.00; Accounting system: None.",4.9,B2B Sales: 50.0%; Market strategy reported.,3.4,Structured expansion plans provided,5.0,Aligned with Textiles priority value chain.,3.2,Limited evidence of inclusivity profile.,,
7,Baringo_RTMH,MUMBERES FARMERS COOPERATIVE SOCIETY LTD,ELIGIBLE,74.90,5.0,Established in 1982 (43 years); Cooperative status.,5.0,"2024 Revenue: KES 17,378,622.00; Accounting system: QuickBooks.",3.9,B2B Sales: 15.0%; Market strategy reported.,3.5,Structured expansion plans provided,5.0,Aligned with Dairy priority value chain.,1.7,Limited evidence of inclusivity profile.,,
8,Baringo_SMYK,Saos Farmers Co-operative society Limited,ELIGIBLE,73.20,5.0,Established in 2008 (17 years); Cooperative status.,3.2,"2024 Revenue: KES 612,000.00; Accounting system: QuickBooks.",3.9,B2B Sales: 20.0%; Market strategy reported.,3.4,Structured expansion plans provided,5.0,Aligned with Dairy priority value chain.,3.2,Limited evidence of inclusivity profile.,,
9,Baringo_5DZA,kobotik farmers cooperative society limited,ELIGIBLE,72.90,4.1,Established in 2022 (3 years); Cooperative status.,2.3,"2024 Revenue: KES 39,000.00; Accounting system: None.",5.0,B2B Sales: 100.0%; Market strategy reported.,3.6,Structured expansion plans provided,3.8,Aligned with Coffee priority value chain.,3.5,Limited evidence of inclusivity profile.,,
10,Baringo_WN56,SINYATI WOMEN GROUP,ELIGIBLE,72.90,5.0,Established in 2002 (23 years); Other status.,2.3,"2024 Revenue: KES 65,000.00; Accounting system: None.",5.0,B2B Sales: 50.0%; Market strategy reported.,3.5,Structured expansion plans provided,3.8,Aligned with other priority value chain.,3.4,Limited evidence of inclusivity profile.,,
