Rank,Application ID,Applicant Name,Eligibility Status,Composite Score,S1_Registration_Track_Record_5% Score,S1_Registration_Track_Record_5% Reason,S2_Financial_Position_20% Score,S2_Financial_Position_20% Reason,S3_Market_Demand_Competitiveness_20% Score,S3_Market_Demand_Competitiveness_20% Reason,S4_Business_Proposal_Viability_25% Score,S4_Business_Proposal_Viability_25% Reason,S5_Value_Chain_Alignment_10% Score,S5_Value_Chain_Alignment_10% Reason,S6_Inclusivity_Sustainability_20% Score,S6_Inclusivity_Sustainability_20% Reason,Ineligibility Criterion Failed,Reason
1,Elgeyo Marakwet_M1X3,Kerio CarePlus+,ELIGIBLE,82.00,3,Established in 2021 (4 years); Private Company status.,5,"2024 Revenue: KES 41,342,633.00; Accounting system: QuickBooks.",4,B2B Sales: 42.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Textiles priority value chain.,5,Woman-owned enterprise,,
2,Elgeyo Marakwet_PJUE,Tumeiyo Farmers Co-operative society limited,ELIGIBLE,72.00,5,Established in 1998 (27 years); Cooperative status.,5,"2024 Revenue: KES 24,654,752.00; Accounting system: Other.",5,B2B Sales: 80.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Dairy priority value chain.,1,Limited evidence of inclusivity profile.,,
3,Elgeyo Marakwet_3HXO,KAPSOWAR MOUNTAIN DAIRY CO-OPERATIVE SOCIETY LIMITED,ELIGIBLE,71.00,4,Established in 2019 (6 years); Cooperative status.,4,"2024 Revenue: KES 1,000,000.00; Accounting system: None.",2,B2B Sales: 0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Dairy priority value chain.,5,Woman-owned enterprise,,
4,Elgeyo Marakwet_QSYQ,KAMET DAIRY CO-OPERATIVE UNION LIMITED,ELIGIBLE,71.00,4,Established in 2017 (8 years); Cooperative status.,5,"2024 Revenue: KES 104,961,945.00; Accounting system: Other.",5,B2B Sales: 100.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Dairy priority value chain.,1,Limited evidence of inclusivity profile.,,
5,Elgeyo Marakwet_FIJX,KAPCHELOS FARMERS CO-OPERATIVE SOCIETY LIMITED,ELIGIBLE,70.00,3,Established in 2022 (3 years); Cooperative status.,5,"2024 Revenue: KES 509,300.00; Accounting system: Other.",5,B2B Sales: 100.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with other priority value chain.,1,Limited evidence of inclusivity profile.,,
6,Elgeyo Marakwet_T1ID,KAPKITONY FARMERS COOPERATIVE SOCIETY,ELIGIBLE,68.00,5,Established in 1977 (48 years); Cooperative status.,5,"2024 Revenue: KES 2,409,618.00; Accounting system: QuickBooks.",4,B2B Sales: 37.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Dairy priority value chain.,1,Limited evidence of inclusivity profile.,,
7,Elgeyo Marakwet_HEGJ,KAPCHEMUTWA FARMERS COOPERATIVE SOCIETY LIMITED,ELIGIBLE,67.00,4,Established in 2018 (7 years); Cooperative status.,4,"2024 Revenue: KES 190,571.00; Accounting system: Other.",5,B2B Sales: 100.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Dairy priority value chain.,1,Limited evidence of inclusivity profile.,,
8,Elgeyo Marakwet_G3V6,KAPTICH FARMERS CO-OPERATIVE SOCIETY LIMITED,ELIGIBLE,64.00,5,Established in 1984 (41 years); Cooperative status.,5,"2024 Revenue: KES 9,400,000.00; Accounting system: Other.",3,B2B Sales: 20.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Textiles priority value chain.,1,Limited evidence of inclusivity profile.,,
9,Elgeyo Marakwet_MYUG,Metkei farmers cooperative society limited,ELIGIBLE,64.00,5,Established in 1966 (59 years); Cooperative status.,2,2024 Revenue: KES 0.00; Accounting system: QuickBooks.,2,B2B Sales: 0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Dairy priority value chain.,5,Woman-owned enterprise,,
10,Elgeyo Marakwet_MBPJ,KOIBARAK COFFEE FARMERS CO-OPERATIVE SOCIETY,ELIGIBLE,60.00,5,Established in 1988 (37 years); Cooperative status.,5,"2024 Revenue: KES 1,200,000.00; Accounting system: None.",2,B2B Sales: 0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Coffee priority value chain.,1,Limited evidence of inclusivity profile.,,
11,Elgeyo Marakwet_4WCP,KAPTICH FARMERS CO-OPERATIVE SOCIETY LIMITED,ELIGIBLE,56.00,5,Established in 1984 (41 years); Cooperative status.,4,"2024 Revenue: KES 1,000,000.00; Accounting system: None.",2,B2B Sales: 0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Leather priority value chain.,1,Limited evidence of inclusivity profile.,,
12,Elgeyo Marakwet_K2GI,KAPSAIT FARMERS CO-OPERATIVE SOCIETY LIMITED,ELIGIBLE,56.00,5,Established in 1993 (32 years); Cooperative status.,4,"2024 Revenue: KES 1,000,000.00; Accounting system: None.",2,B2B Sales: 0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Tea priority value chain.,1,Limited evidence of inclusivity profile.,,
