Rank,Application ID,Applicant Name,Eligibility Status,Composite Score,S1_Registration_Track_Record_5% Score,S1_Registration_Track_Record_5% Reason,S2_Financial_Position_20% Score,S2_Financial_Position_20% Reason,S3_Market_Demand_Competitiveness_20% Score,S3_Market_Demand_Competitiveness_20% Reason,S4_Business_Proposal_Viability_25% Score,S4_Business_Proposal_Viability_25% Reason,S5_Value_Chain_Alignment_10% Score,S5_Value_Chain_Alignment_10% Reason,S6_Inclusivity_Sustainability_20% Score,S6_Inclusivity_Sustainability_20% Reason,Ineligibility Criterion Failed,Reason
1,Embu_Z2BN,Browns Cheese Company,ELIGIBLE,84.40,5.0,Established in 2017 (8 years); Private Company status.,5.0,"2024 Revenue: KES 50,000,000.00; Accounting system: Zoho Books.",4.9,B2B Sales: 40.0%; Market strategy reported.,3.4,Structured expansion plans provided,5.0,Aligned with Dairy priority value chain.,3.2,Limited evidence of inclusivity profile.,,
2,Embu_NFA8,Tegemeo Dairy CBO,ELIGIBLE,81.80,4.8,Established in 2017 (8 years); Other status.,4.3,"2024 Revenue: KES 5,182,500.00; Accounting system: None.",5.0,B2B Sales: 80.0%; Market strategy reported.,3.4,Structured expansion plans provided,5.0,Aligned with Dairy priority value chain.,3.2,Limited evidence of inclusivity profile.,,
3,Embu_KSIK,EMBU COUNTY UNITED BEE FARMERS ASSOCIATION,ELIGIBLE,75.70,3.3,Established in 2023 (2 years); MSME Association status.,3.3,"2024 Revenue: KES 1,504,332.00; Accounting system: None.",5.0,B2B Sales: 40.0%; Market strategy reported.,3.6,Structured expansion plans provided,3.8,Aligned with other priority value chain.,3.4,Limited evidence of inclusivity profile.,,
4,Embu_UYQY,SIAKAGO TAILORS,ELIGIBLE,71.20,3.3,Established in 2023 (2 years); MSME Association status.,2.8,"2024 Revenue: KES 600,000.00; Accounting system: None.",4.1,B2B Sales: 20.0%; Market strategy reported.,3.5,Structured expansion plans provided,5.0,Aligned with Textiles priority value chain.,3.2,Limited evidence of inclusivity profile.,,
5,Embu_F6LC,Jead Holdings Limited,ELIGIBLE,71.20,4.6,Established in 2020 (5 years); Private Company status.,4.2,"2024 Revenue: KES 3,000,000.00; Accounting system: QuickBooks.",2.5,B2B Sales: 0.0%; Market strategy reported.,3.4,Structured expansion plans provided,5.0,Aligned with Construction priority value chain.,3.2,Limited evidence of inclusivity profile.,,
6,Embu_MQFL,Fix Tea Ltd,ELIGIBLE,71.10,3.7,Established in 2023 (2 years); Private Company status.,2.3,"2024 Revenue: KES 105,627.00; Accounting system: None.",4.4,B2B Sales: 30.0%; Market strategy reported.,3.4,Structured expansion plans provided,5.0,Aligned with Tea priority value chain.,3.4,Limited evidence of inclusivity profile.,,
7,Embu_JHBX,KABACHI VALUE ADDITION ASSOCIATION,ELIGIBLE,70.00,3.8,Established in 2022 (3 years); MSME Association status.,2.7,"2024 Revenue: KES 446,440.00; Accounting system: Other.",4.4,B2B Sales: 30.0%; Market strategy reported.,3.4,Structured expansion plans provided,3.8,Aligned with other priority value chain.,3.3,Limited evidence of inclusivity profile.,,
8,Embu_JNV4,RICHBEE VENTURES LIMITED,ELIGIBLE,67.30,4.6,Established in 2020 (5 years); Private Company status.,2.3,"2024 Revenue: KES 450,000.00; Accounting system: None.",3.9,B2B Sales: 10.0%; Market strategy reported.,3.5,Structured expansion plans provided,3.8,Aligned with other priority value chain.,3.2,Limited evidence of inclusivity profile.,,
,Embu_ZV5H,COMPASSIONATE KITTY,INELIGIBLE,0.00,,,,,,,,,,,,,E4,No financial evidence (Bank/Mpesa) attached.
,Embu_LC0X,Utheri-Ki Self Help Group,INELIGIBLE,0.00,,,,,,,,,,,,,E4,No financial evidence (Bank/Mpesa) attached.
,Embu_80VY,Uncle Ko Sauces,INELIGIBLE,0.00,,,,,,,,,,,,,E4,No financial evidence (Bank/Mpesa) attached.
