Rank,Application ID,Applicant Name,Eligibility Status,Composite Score,S1_Registration_Track_Record_5% Score,S1_Registration_Track_Record_5% Reason,S2_Financial_Position_20% Score,S2_Financial_Position_20% Reason,S3_Market_Demand_Competitiveness_20% Score,S3_Market_Demand_Competitiveness_20% Reason,S4_Business_Proposal_Viability_25% Score,S4_Business_Proposal_Viability_25% Reason,S5_Value_Chain_Alignment_10% Score,S5_Value_Chain_Alignment_10% Reason,S6_Inclusivity_Sustainability_20% Score,S6_Inclusivity_Sustainability_20% Reason,Ineligibility Criterion Failed,Reason
1,Garissa_CF14,BALAMBALA CAMEL MILK PRODUCERS AND MARKETING CO-OPERATIVE SOCIETY LIMITED,ELIGIBLE,86.00,3,Established in 2021 (4 years); Cooperative status.,5,"2024 Revenue: KES 800,000.00; Accounting system: Zoho Books.",5,B2B Sales: 100.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Dairy priority value chain.,5,Woman-owned enterprise,,
2,Garissa_QN75,BARAKI SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED,ELIGIBLE,86.00,3,Established in 2023 (2 years); Cooperative status.,5,"2024 Revenue: KES 2,500,000.00; Accounting system: None.",5,B2B Sales: 85.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with other priority value chain.,5,Woman-owned enterprise,,
3,Garissa_4UHE,SATES CONSTRUCTION AND SUPPLIES LIMITED,ELIGIBLE,84.00,1,Established in 2024 (1 years); Private Company status.,5,"2024 Revenue: KES 4,000,000.00; Accounting system: None.",5,B2B Sales: 100.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Construction priority value chain.,5,Woman-owned enterprise,,
4,Garissa_Z6X1,IBAR HOTEL,ELIGIBLE,82.00,3,Established in 2023 (2 years); Other status.,5,"2024 Revenue: KES 2,200,000.00; Accounting system: None.",4,B2B Sales: 40.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with other priority value chain.,5,Woman-owned enterprise,,
5,Garissa_HBIF,NAIM CAMEL MILK,ELIGIBLE,80.00,5,Established in 2015 (10 years); Cooperative status.,5,"2024 Revenue: KES 1,800,000.00; Accounting system: Other.",3,B2B Sales: 10.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Dairy priority value chain.,5,Woman-owned enterprise,,
6,Garissa_YHTD,DADAAB ENVIRONMENTAL CONCERN,ELIGIBLE,79.00,4,Established in 2016 (9 years); Other status.,5,"2024 Revenue: KES 1,000,000.00; Accounting system: Other.",3,B2B Sales: 10.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with other priority value chain.,5,Woman-owned enterprise,,
7,Garissa_HNEE,Dadaab Mercy Savings And Credit Cooperative Society Limited,ELIGIBLE,78.00,3,Established in 2022 (3 years); Cooperative status.,4,"2024 Revenue: KES 320,000.00; Accounting system: QuickBooks.",4,B2B Sales: 25.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Textiles priority value chain.,5,Woman-owned enterprise,,
8,Garissa_KP7C,ijara saving and gredit co-operative society limited,ELIGIBLE,78.00,3,Established in 2023 (2 years); Cooperative status.,4,"2024 Revenue: KES 200,000.00; Accounting system: QuickBooks.",4,B2B Sales: 30.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Dairy priority value chain.,5,Woman-owned enterprise,,
9,Garissa_NBSD,GARAS GURAT SELF HELP GROUP,ELIGIBLE,78.00,3,Established in 2022 (3 years); Other status.,4,"2024 Revenue: KES 210,000.00; Accounting system: Other.",4,B2B Sales: 30.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Leather priority value chain.,5,Woman-owned enterprise,,
10,Garissa_HJQK,KAHA INVESTMENT LTD,ELIGIBLE,75.00,4,Established in 2019 (6 years); Private Company status.,3,"2024 Revenue: KES 500,000.00; Accounting system: None.",4,B2B Sales: 40.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with other priority value chain.,5,Woman-owned enterprise,,
