Rank,Application ID,Applicant Name,Eligibility Status,Composite Score,S1_Registration_Track_Record_5% Score,S1_Registration_Track_Record_5% Reason,S2_Financial_Position_20% Score,S2_Financial_Position_20% Reason,S3_Market_Demand_Competitiveness_20% Score,S3_Market_Demand_Competitiveness_20% Reason,S4_Business_Proposal_Viability_25% Score,S4_Business_Proposal_Viability_25% Reason,S5_Value_Chain_Alignment_10% Score,S5_Value_Chain_Alignment_10% Reason,S6_Inclusivity_Sustainability_20% Score,S6_Inclusivity_Sustainability_20% Reason,Ineligibility Criterion Failed,Reason
1,Homabay_I1FR,Western Fresh Industries Ltd,ELIGIBLE,88.00,5,Established in 2013 (12 years); Private Company status.,5,"2024 Revenue: KES 7,000,000.00; Accounting system: None.",5,B2B Sales: 90.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Edible Oils priority value chain.,5,Woman-owned enterprise,,
2,Homabay_VZHT,Camino Ruiz Agencies Limited,ELIGIBLE,87.00,4,Established in 2019 (6 years); Private Company status.,5,"2024 Revenue: KES 435,455,194.00; Accounting system: QuickBooks.",5,B2B Sales: 80.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Blue Economy priority value chain.,5,Woman-owned enterprise,,
3,Homabay_6AC3,Murongo women group,ELIGIBLE,87.00,4,Established in 2019 (6 years); Other status.,5,"2024 Revenue: KES 1,500,000.00; Accounting system: Other.",5,B2B Sales: 60.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Blue Economy priority value chain.,5,Woman-owned enterprise,,
4,Homabay_5TTO,LOWER KAGAN COMMUNITY BASED ORGANIZATION,ELIGIBLE,83.00,4,Established in 2019 (6 years); Other status.,5,"2024 Revenue: KES 1,200,000.00; Accounting system: QuickBooks.",4,B2B Sales: 30.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Dairy priority value chain.,5,Woman-owned enterprise,,
5,Homabay_QFXE,ATEMO SMALLHOLDER AQUACULTURE GROUP,ELIGIBLE,82.00,3,Established in 2023 (2 years); MSME Association status.,5,"2024 Revenue: KES 2,500,000.00; Accounting system: QuickBooks.",4,B2B Sales: 40.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Blue Economy priority value chain.,5,Woman-owned enterprise,,
6,Homabay_KBGE,THE AKUKUS WOMEN DEVELOPMENT INITIATIVE C.B.O,ELIGIBLE,78.00,3,Established in 2021 (4 years); Other status.,3,"2024 Revenue: KES 380,000.00; Accounting system: None.",5,B2B Sales: 70.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Textiles priority value chain.,5,Woman-owned enterprise,,
7,Homabay_NYK4,KAMADUK TAILORS WORKER COOPERATIVE SOCIETY LIMITED,ELIGIBLE,66.00,3,Established in 2022 (3 years); Cooperative status.,2,"2024 Revenue: KES 20,000.00; Accounting system: None.",3,B2B Sales: 20.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Textiles priority value chain.,5,Woman-owned enterprise,,
8,Homabay_A2UR,COW Project CBO,ELIGIBLE,66.00,3,Established in 2021 (4 years); Other status.,3,"2024 Revenue: KES 200,000.00; Accounting system: None.",2,B2B Sales: 0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with other priority value chain.,5,Woman-owned enterprise,,
9,Homabay_WLTV,Jisort enterprise,ELIGIBLE,54.00,3,Established in 2022 (3 years); Private Company status.,2,"2024 Revenue: KES 100,000.00; Accounting system: None.",4,B2B Sales: 45.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Construction priority value chain.,1,Limited evidence of inclusivity profile.,,
,Homabay_WCHV,Rachuonyo South Sweet Potato Cooperative Society,INELIGIBLE,0.00,,,,,,,,,,,,,E4,No financial evidence (Bank/Mpesa) attached.
,Homabay_OWSZ,Mang'ang'a Youth Group,INELIGIBLE,0.00,,,,,,,,,,,,,E4,No financial evidence (Bank/Mpesa) attached.
,Homabay_MHRB,Imani Community Development Organization,INELIGIBLE,0.00,,,,,,,,,,,,,E4,No financial evidence (Bank/Mpesa) attached.
