Rank,Application ID,Applicant Name,Eligibility Status,Composite Score,S1_Registration_Track_Record_5% Score,S1_Registration_Track_Record_5% Reason,S2_Financial_Position_20% Score,S2_Financial_Position_20% Reason,S3_Market_Demand_Competitiveness_20% Score,S3_Market_Demand_Competitiveness_20% Reason,S4_Business_Proposal_Viability_25% Score,S4_Business_Proposal_Viability_25% Reason,S5_Value_Chain_Alignment_10% Score,S5_Value_Chain_Alignment_10% Reason,S6_Inclusivity_Sustainability_20% Score,S6_Inclusivity_Sustainability_20% Reason,Ineligibility Criterion Failed,Reason
1,Kajiado_BYOW,JAMBO MINING AND GEM INTERNATIONAL LIMITED ( MINERALS AND MINING),ELIGIBLE,87.50,5.0,Established in 2002 (23 years); Private Company status.,5.0,"2024 Revenue: KES 60,000,000.00; Accounting system: QuickBooks.",5.0,B2B Sales: 70.0%; Market strategy reported.,3.7,Structured expansion plans provided,5.0,Aligned with minerals priority value chain.,3.5,Limited evidence of inclusivity profile.,,
2,Kajiado_GHSK,PHOENIX PROCUREMENT LIMITED,ELIGIBLE,84.80,5.0,Established in 2011 (14 years); Private Company status.,5.0,"2024 Revenue: KES 198,000,000.00; Accounting system: QuickBooks.",5.0,B2B Sales: 80.0%; Market strategy reported.,3.4,Structured expansion plans provided,5.0,Aligned with minerals priority value chain.,3.2,Limited evidence of inclusivity profile.,,
3,Kajiado_STPO,XPAT PRODUCTS SERVICES LIMITED,ELIGIBLE,84.50,4.6,Established in 2020 (5 years); Private Company status.,5.0,"2024 Revenue: KES 25,541,542.00; Accounting system: QuickBooks.",4.6,B2B Sales: 30.0%; Market strategy reported.,3.5,Structured expansion plans provided,5.0,Aligned with Rice priority value chain.,3.5,Limited evidence of inclusivity profile.,,
4,Kajiado_92PQ,virgin Frontiers Limited,ELIGIBLE,81.30,5.0,Established in 2013 (12 years); Private Company status.,4.3,"2024 Revenue: KES 6,200,000.00; Accounting system: None.",5.0,B2B Sales: 100.0%; Market strategy reported.,3.5,Structured expansion plans provided,3.8,Aligned with other priority value chain.,3.5,Limited evidence of inclusivity profile.,,
5,Kajiado_SLIT,MAMA NA VIJANA INNOVATIVE,ELIGIBLE,79.70,1.9,Established in 2024 (1 years); MSME Association status.,3.7,"2024 Revenue: KES 1,000,000.00; Accounting system: QuickBooks.",5.0,B2B Sales: 70.0%; Market strategy reported.,3.8,Structured expansion plans provided,5.0,Aligned with Construction priority value chain.,3.5,Limited evidence of inclusivity profile.,,
6,Kajiado_VJSI,Pure Purple,ELIGIBLE,77.90,4.7,Established in 2019 (6 years); Private Company status.,3.7,"2024 Revenue: KES 1,300,000.00; Accounting system: QuickBooks.",4.1,B2B Sales: 10.0%; Market strategy reported.,3.6,Structured expansion plans provided,5.0,Aligned with Leather priority value chain.,3.5,Limited evidence of inclusivity profile.,,
7,Kajiado_G4UQ,Mghondinyi Nairobi Women,ELIGIBLE,76.40,5.0,Established in 1990 (35 years); Other status.,5.0,"2024 Revenue: KES 450,000,000.00; Accounting system: None.",2.6,B2B Sales: 0.0%; Market strategy reported.,3.4,Structured expansion plans provided,5.0,Aligned with Leather priority value chain.,3.5,Limited evidence of inclusivity profile.,,
8,Kajiado_UPL3,WOMEN IN CLIMATE CHANGE SMART FOOD SECURITY,ELIGIBLE,74.60,1.8,Established in 2024 (1 years); Other status.,2.7,"2024 Revenue: KES 350,000.00; Accounting system: QuickBooks.",5.0,B2B Sales: 70.0%; Market strategy reported.,3.6,Structured expansion plans provided,5.0,Aligned with Blue Economy priority value chain.,3.5,Limited evidence of inclusivity profile.,,
9,Kajiado_1HXC,Kaganki Ventures,ELIGIBLE,74.40,4.1,Established in 2021 (4 years); Private Company status.,2.8,"2024 Revenue: KES 875,674.00; Accounting system: None.",5.0,B2B Sales: 90.0%; Market strategy reported.,3.5,Structured expansion plans provided,3.8,Aligned with other priority value chain.,3.5,Limited evidence of inclusivity profile.,,
10,Kajiado_VLJH,Kentegra Biotechnology EPZ Ltd,ELIGIBLE,71.30,5.0,Established in 2017 (8 years); Private Company status.,5.0,"2024 Revenue: KES 697,012,076.00; Accounting system: Other.",3.5,B2B Sales: 1.0%; Market strategy reported.,3.5,Structured expansion plans provided,3.8,Aligned with other priority value chain.,1.8,Limited evidence of inclusivity profile.,,
11,Kajiado_UNCF,Samaki Delights Limited,ELIGIBLE,65.20,4.6,Established in 2019 (6 years); Private Company status.,4.2,"2024 Revenue: KES 4,800,000.00; Accounting system: QuickBooks.",2.4,B2B Sales: 0.0%; Market strategy reported.,3.4,Structured expansion plans provided,5.0,Aligned with Blue Economy priority value chain.,1.8,Limited evidence of inclusivity profile.,,
12,Kajiado_H32C,OLDONYO OROK YOUTH CBO,ELIGIBLE,62.80,4.4,Established in 2020 (5 years); Other status.,2.7,"2024 Revenue: KES 200,000.00; Accounting system: QuickBooks.",3.6,B2B Sales: 5.0%; Market strategy reported.,3.6,Structured expansion plans provided,3.8,Aligned with other priority value chain.,1.9,Limited evidence of inclusivity profile.,,
13,Kajiado_2BMT,Lenkisim marketing cooperative,ELIGIBLE,59.00,4.8,Established in 2018 (7 years); Other status.,2.7,"2024 Revenue: KES 450,000.00; Accounting system: QuickBooks.",2.4,B2B Sales: 0.0%; Market strategy reported.,3.4,Structured expansion plans provided,5.0,Aligned with Dairy priority value chain.,1.7,Limited evidence of inclusivity profile.,,
,Kajiado_OZUX,HAVILLAH SMART ENVIROS LIMITED,INELIGIBLE,0.00,,,,,,,,,,,,,E4,No financial evidence (Bank/Mpesa) attached.
