Rank,Application ID,Applicant Name,Eligibility Status,Composite Score,S1_Registration_Track_Record_5% Score,S1_Registration_Track_Record_5% Reason,S2_Financial_Position_20% Score,S2_Financial_Position_20% Reason,S3_Market_Demand_Competitiveness_20% Score,S3_Market_Demand_Competitiveness_20% Reason,S4_Business_Proposal_Viability_25% Score,S4_Business_Proposal_Viability_25% Reason,S5_Value_Chain_Alignment_10% Score,S5_Value_Chain_Alignment_10% Reason,S6_Inclusivity_Sustainability_20% Score,S6_Inclusivity_Sustainability_20% Reason,Ineligibility Criterion Failed,Reason
1,Kakamega_XL1H,ANGAZA PROCUREMENT CONSULTANTS KENYA LIMITED,ELIGIBLE,81.00,4.3,Established in 2019 (6 years); MSME Association status.,3.8,"2024 Revenue: KES 2,882,880.00; Accounting system: None.",5.0,B2B Sales: 100.0%; Market strategy reported.,3.5,Structured expansion plans provided,5.0,Aligned with Edible Oils priority value chain.,3.5,Limited evidence of inclusivity profile.,,
2,Kakamega_XRTF,DREAM TEAM YOUTH GROUP,ELIGIBLE,75.80,3.8,Established in 2022 (3 years); MSME Association status.,2.7,"2024 Revenue: KES 80,000.00; Accounting system: QuickBooks.",5.0,B2B Sales: 60.0%; Market strategy reported.,3.6,Structured expansion plans provided,5.0,Aligned with Dairy priority value chain.,3.3,Limited evidence of inclusivity profile.,,
3,Kakamega_Q0TJ,Kenya chamber of commerce Kakamega chapter,ELIGIBLE,74.00,5.0,Established in 1980 (45 years); Private Company status.,3.8,"2024 Revenue: KES 2,920,000.00; Accounting system: None.",4.9,B2B Sales: 50.0%; Market strategy reported.,3.4,Structured expansion plans provided,5.0,Aligned with Dairy priority value chain.,1.8,Limited evidence of inclusivity profile.,,
4,Kakamega_JGS5,kijiji farmers cooperation,ELIGIBLE,73.80,4.8,Established in 2017 (8 years); MSME Association status.,2.3,"2024 Revenue: KES 50,000.00; Accounting system: None.",5.0,B2B Sales: 45.0%; Market strategy reported.,3.4,Structured expansion plans provided,5.0,Aligned with Edible Oils priority value chain.,3.2,Limited evidence of inclusivity profile.,,
5,Kakamega_PXNH,Palmoil Honey Company,ELIGIBLE,72.80,5.0,Established in 2017 (8 years); Private Company status.,2.7,"2024 Revenue: KES 321,430.00; Accounting system: Other.",4.1,B2B Sales: 10.0%; Market strategy reported.,3.4,Structured expansion plans provided,5.0,Aligned with Edible Oils priority value chain.,3.4,Limited evidence of inclusivity profile.,,
6,Kakamega_X96D,MASOREKI,ELIGIBLE,70.40,3.8,Established in 2021 (4 years); MSME Association status.,2.3,"2024 Revenue: KES 5,000.00; Accounting system: None.",4.4,B2B Sales: 30.0%; Market strategy reported.,3.4,Structured expansion plans provided,5.0,Aligned with Construction priority value chain.,3.2,Limited evidence of inclusivity profile.,,
7,Kakamega_00AH,BEST LADY WOMEN GROUP,ELIGIBLE,67.20,5.0,Established in 2011 (14 years); MSME Association status.,3.2,"2024 Revenue: KES 800,000.00; Accounting system: QuickBooks.",2.4,B2B Sales: 0.0%; Market strategy reported.,3.4,Structured expansion plans provided,5.0,Aligned with Dairy priority value chain.,3.2,Limited evidence of inclusivity profile.,,
8,Kakamega_OBXD,RIVERINE AGRI-GROUP,ELIGIBLE,65.20,5.0,Established in 2012 (13 years); MSME Association status.,2.7,"2024 Revenue: KES 65,000.00; Accounting system: QuickBooks.",2.4,B2B Sales: 0.0%; Market strategy reported.,3.4,Structured expansion plans provided,5.0,Aligned with Dairy priority value chain.,3.2,Limited evidence of inclusivity profile.,,
9,Kakamega_6XKV,SHIREMBE TUINUKE C.B.O.,ELIGIBLE,65.20,5.0,Established in 2011 (14 years); MSME Association status.,2.7,"2024 Revenue: KES 100,000.00; Accounting system: QuickBooks.",2.4,B2B Sales: 0.0%; Market strategy reported.,3.4,Structured expansion plans provided,5.0,Aligned with Dairy priority value chain.,3.2,Limited evidence of inclusivity profile.,,
10,Kakamega_REG3,Mabole sawa-sawa catering women group,ELIGIBLE,65.20,5.0,Established in 2004 (21 years); MSME Association status.,2.7,"2024 Revenue: KES 100,000.00; Accounting system: QuickBooks.",2.4,B2B Sales: 0.0%; Market strategy reported.,3.4,Structured expansion plans provided,5.0,Aligned with Dairy priority value chain.,3.2,Limited evidence of inclusivity profile.,,
