Rank,Application ID,Applicant Name,Eligibility Status,Composite Score,S1_Registration_Track_Record_5% Score,S1_Registration_Track_Record_5% Reason,S2_Financial_Position_20% Score,S2_Financial_Position_20% Reason,S3_Market_Demand_Competitiveness_20% Score,S3_Market_Demand_Competitiveness_20% Reason,S4_Business_Proposal_Viability_25% Score,S4_Business_Proposal_Viability_25% Reason,S5_Value_Chain_Alignment_10% Score,S5_Value_Chain_Alignment_10% Reason,S6_Inclusivity_Sustainability_20% Score,S6_Inclusivity_Sustainability_20% Reason,Ineligibility Criterion Failed,Reason
1,Kericho_VG7B,SONGONYET FARMERS CO-OPERATIVE SOCIETY LTD.,ELIGIBLE,88.00,5,Established in 1964 (61 years); Cooperative status.,5,"2024 Revenue: KES 139,655,908.60; Accounting system: None.",5,B2B Sales: 65.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Coffee priority value chain.,5,Woman-owned enterprise,,
2,Kericho_TKI4,SOSIOT FARMERS CO-OPERATIVE SOCIETY LIMITED,ELIGIBLE,88.00,5,Established in 1965 (60 years); Cooperative status.,5,"2024 Revenue: KES 78,800,432.00; Accounting system: Other.",5,B2B Sales: 91.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Dairy priority value chain.,5,Woman-owned enterprise,,
3,Kericho_II3Q,Cherobu Dairy Farmers Cooperative Society Ltd,ELIGIBLE,87.00,4,Established in 2018 (7 years); Cooperative status.,5,"2024 Revenue: KES 119,346,896.00; Accounting system: Other.",5,B2B Sales: 60.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Dairy priority value chain.,5,Woman-owned enterprise,,
4,Kericho_LQ8K,Torochtany Farmers co-operative society limited,ELIGIBLE,86.00,3,Established in 2022 (3 years); Cooperative status.,5,"2024 Revenue: KES 30,694,293.00; Accounting system: QuickBooks.",5,B2B Sales: 85.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Dairy priority value chain.,5,Woman-owned enterprise,,
5,Kericho_LWVA,JUBILEE EVEREADY YOUTH GROUP,ELIGIBLE,84.00,5,Established in 2013 (12 years); MSME Association status.,4,"2024 Revenue: KES 645,000.00; Accounting system: None.",5,B2B Sales: 70.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Dairy priority value chain.,5,Woman-owned enterprise,,
6,Kericho_MF0K,FORFARMERS ANIMAL FEEDS LTD,ELIGIBLE,82.00,3,Established in 2022 (3 years); Private Company status.,5,"2024 Revenue: KES 5,000,000.00; Accounting system: Other.",4,B2B Sales: 30.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with other priority value chain.,5,Woman-owned enterprise,,
7,Kericho_APXQ,Boma fcs ltd,ELIGIBLE,80.00,5,Established in 1999 (26 years); Cooperative status.,5,"2024 Revenue: KES 4,324,675.00; Accounting system: None.",3,B2B Sales: 20.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Coffee priority value chain.,5,Woman-owned enterprise,,
8,Kericho_S0XL,Ainamoi Outgrowers Farmers Cooperative Society Ltd,ELIGIBLE,79.00,4,Established in 2017 (8 years); Cooperative status.,5,"2024 Revenue: KES 239,728,408.00; Accounting system: None.",3,B2B Sales: 20.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Dairy priority value chain.,5,Woman-owned enterprise,,
9,Kericho_EZ1F,dischance security company,ELIGIBLE,78.00,3,Established in 2023 (2 years); Private Company status.,3,"2024 Revenue: KES 32,000.00; Accounting system: QuickBooks.",5,B2B Sales: 55.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Tea priority value chain.,5,Woman-owned enterprise,,
10,Kericho_YIHB,NGOINO FARMERS COOPERATIVE SOCIETY LTD,ELIGIBLE,72.00,5,Established in 1973 (52 years); Cooperative status.,5,"2024 Revenue: KES 29,765,869.00; Accounting system: QuickBooks.",5,B2B Sales: 100.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Coffee priority value chain.,1,Limited evidence of inclusivity profile.,,
11,Kericho_9I0O,MECHANICAL ENGINEERING (PRODUCTION OPTION),ELIGIBLE,62.00,3,Established in 2021 (4 years); Private Company status.,2,"2024 Revenue: KES 1,470.00; Accounting system: None.",2,B2B Sales: 0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Tea priority value chain.,5,Woman-owned enterprise,,
