Rank,Application ID,Applicant Name,Eligibility Status,Composite Score,S1_Registration_Track_Record_5% Score,S1_Registration_Track_Record_5% Reason,S2_Financial_Position_20% Score,S2_Financial_Position_20% Reason,S3_Market_Demand_Competitiveness_20% Score,S3_Market_Demand_Competitiveness_20% Reason,S4_Business_Proposal_Viability_25% Score,S4_Business_Proposal_Viability_25% Reason,S5_Value_Chain_Alignment_10% Score,S5_Value_Chain_Alignment_10% Reason,S6_Inclusivity_Sustainability_20% Score,S6_Inclusivity_Sustainability_20% Reason,Ineligibility Criterion Failed,Reason
1,Kiambu_NKNR,MANGU PROGRESSIVE DAIRY CO-OPERATIVE SOCIETY LTD,ELIGIBLE,87.00,5.0,Established in 2016 (9 years); Cooperative status.,5.0,"2024 Revenue: KES 330,022,863.00; Accounting system: Other.",5.0,B2B Sales: 90.0%; Market strategy reported.,3.6,Structured expansion plans provided,5.0,Aligned with Dairy priority value chain.,3.5,Limited evidence of inclusivity profile.,,
2,Kiambu_JHYF,Avomac Industries Limited,ELIGIBLE,86.10,4.1,Established in 2021 (4 years); Private Company status.,5.0,"2024 Revenue: KES 13,332,060.00; Accounting system: Zoho Books.",5.0,B2B Sales: 70.0%; Market strategy reported.,3.6,Structured expansion plans provided,5.0,Aligned with Edible Oils priority value chain.,3.5,Limited evidence of inclusivity profile.,,
3,Kiambu_QC1U,OLE SALAJAH WOOD & METAL,ELIGIBLE,85.70,3.7,Established in 2023 (2 years); Private Company status.,5.0,"2024 Revenue: KES 24,000,000.00; Accounting system: Zoho Books.",5.0,B2B Sales: 40.0%; Market strategy reported.,3.6,Structured expansion plans provided,5.0,Aligned with Construction priority value chain.,3.5,Limited evidence of inclusivity profile.,,
4,Kiambu_TJ1S,KIKUYU DAIRY FARMERS CO-OPERATIVE SOCIETY LIMITED,ELIGIBLE,84.10,5.0,Established in 1963 (62 years); Cooperative status.,5.0,"2024 Revenue: KES 157,358,439.00; Accounting system: None.",4.6,B2B Sales: 30.0%; Market strategy reported.,3.5,Structured expansion plans provided,5.0,Aligned with Dairy priority value chain.,3.3,Limited evidence of inclusivity profile.,,
5,Kiambu_FRJY,AVOCADO SOCIETY OF KENYA (ASOK),ELIGIBLE,82.90,5.0,Established in 2007 (18 years); Cooperative status.,5.0,"2024 Revenue: KES 10,000,000.00; Accounting system: QuickBooks.",4.1,B2B Sales: 20.0%; Market strategy reported.,3.5,Structured expansion plans provided,5.0,Aligned with Edible Oils priority value chain.,3.5,Limited evidence of inclusivity profile.,,
6,Kiambu_B1BC,Delish and Nutri,ELIGIBLE,80.50,5.0,Established in 2017 (8 years); Private Company status.,5.0,"2024 Revenue: KES 31,512,417.00; Accounting system: Other.",5.0,B2B Sales: 60.0%; Market strategy reported.,3.5,Structured expansion plans provided,5.0,Aligned with Edible Oils priority value chain.,2.0,Limited evidence of inclusivity profile.,,
7,Kiambu_ECJT,AKAMIS DAIRIES,ELIGIBLE,80.30,4.3,Established in 2020 (5 years); MSME Association status.,3.7,"2024 Revenue: KES 1,200,000.00; Accounting system: Other.",5.0,B2B Sales: 40.0%; Market strategy reported.,3.6,Structured expansion plans provided,5.0,Aligned with Dairy priority value chain.,3.3,Limited evidence of inclusivity profile.,,
8,Kiambu_MCXF,Githunguri Dairy Farmers Cooperative Society,ELIGIBLE,79.60,5.0,Established in 1961 (64 years); Cooperative status.,5.0,"2024 Revenue: KES 10,490,313,562.00; Accounting system: Other.",5.0,B2B Sales: 90.0%; Market strategy reported.,3.4,Structured expansion plans provided,5.0,Aligned with Dairy priority value chain.,1.9,Limited evidence of inclusivity profile.,,
9,Kiambu_YKG7,REVAMP FLIPS,ELIGIBLE,78.70,3.7,Established in 2023 (2 years); Private Company status.,3.7,"2024 Revenue: KES 1,500,000.00; Accounting system: QuickBooks.",5.0,B2B Sales: 80.0%; Market strategy reported.,3.4,Structured expansion plans provided,5.0,Aligned with Construction priority value chain.,3.3,Limited evidence of inclusivity profile.,,
10,Kiambu_UPYV,Kawiplus Technologies Ltd,ELIGIBLE,78.50,3.6,Established in 2023 (2 years); Private Company status.,4.2,"2024 Revenue: KES 4,921,500.00; Accounting system: Other.",4.5,B2B Sales: 38.0%; Market strategy reported.,3.7,Structured expansion plans provided,3.8,Aligned with other priority value chain.,3.5,Limited evidence of inclusivity profile.,,
11,Kiambu_CQMY,Hadassah Textiles JV Post Modern Farms Limited (manufacturing clothes and apparels),ELIGIBLE,78.10,2.1,Established in 2024 (1 years); Private Company status.,5.0,"2024 Revenue: KES 50,000,000.00; Accounting system: QuickBooks.",5.0,B2B Sales: 50.0%; Market strategy reported.,3.6,Structured expansion plans provided,5.0,Aligned with Textiles priority value chain.,2.0,Limited evidence of inclusivity profile.,,
12,Kiambu_13R2,NEW GATUKUYU FARMERS CO-OPERATIVE SOCIETY LIMITED,ELIGIBLE,77.70,5.0,Established in 2007 (18 years); Cooperative status.,5.0,"2024 Revenue: KES 16,351,863.00; Accounting system: Other.",5.0,B2B Sales: 100.0%; Market strategy reported.,3.5,Structured expansion plans provided,3.8,Aligned with Coffee priority value chain.,1.9,Limited evidence of inclusivity profile.,,
13,Kiambu_1FQB,KIKUYU WARD COMMUNITY SACCO LTD,ELIGIBLE,77.10,3.7,Established in 2023 (2 years); Cooperative status.,3.3,"2024 Revenue: KES 1,489,000.00; Accounting system: None.",5.0,B2B Sales: 75.0%; Market strategy reported.,3.4,Structured expansion plans provided,5.0,Aligned with Dairy priority value chain.,3.3,Limited evidence of inclusivity profile.,,
14,Kiambu_Y0TT,Farm Share Kenya Ltd.,ELIGIBLE,75.30,4.3,Established in 2021 (4 years); Private Company status.,3.3,"2024 Revenue: KES 2,008,660.00; Accounting system: None.",5.0,B2B Sales: 60.0%; Market strategy reported.,3.4,Structured expansion plans provided,3.8,Aligned with other priority value chain.,3.3,Limited evidence of inclusivity profile.,,
15,Kiambu_NFYG,MUDRUST BUSINESS MANAGEMENT SERVICES LIMITED JV POST MODERN FARMS LIMITED (COFFEE,ELIGIBLE,75.00,5.0,Established in 2007 (18 years); Private Company status.,5.0,"2024 Revenue: KES 40,000,000.00; Accounting system: QuickBooks.",4.1,B2B Sales: 20.0%; Market strategy reported.,3.6,Structured expansion plans provided,3.8,Aligned with Coffee priority value chain.,2.0,Limited evidence of inclusivity profile.,,
16,Kiambu_TP3S,Gatamaiyu Dairy Farmers Co-operative society limited,ELIGIBLE,74.80,5.0,Established in 1963 (62 years); Cooperative status.,5.0,"2024 Revenue: KES 171,503,287.00; Accounting system: None.",2.4,B2B Sales: 0.0%; Market strategy reported.,3.4,Structured expansion plans provided,5.0,Aligned with Dairy priority value chain.,3.3,Limited evidence of inclusivity profile.,,
17,Kiambu_UG1B,Karura Community Savings And Credit Co-operative Society Limited,ELIGIBLE,74.60,5.0,Established in 2007 (18 years); Cooperative status.,5.0,"2024 Revenue: KES 55,228,734.00; Accounting system: Other.",2.5,B2B Sales: 0.0%; Market strategy reported.,3.6,Structured expansion plans provided,3.8,Aligned with other priority value chain.,3.5,Limited evidence of inclusivity profile.,,
18,Kiambu_ULXA,Buchana Coffee Growers Cooperative Societies LTB,ELIGIBLE,72.40,5.0,Established in 1995 (30 years); Cooperative status.,5.0,"2024 Revenue: KES 11,255,233.00; Accounting system: None.",2.4,B2B Sales: 0.0%; Market strategy reported.,3.4,Structured expansion plans provided,3.8,Aligned with Coffee priority value chain.,3.3,Limited evidence of inclusivity profile.,,
19,Kiambu_DLQ0,Ndumberi Coffee Growers Co-operative Society Ltd,ELIGIBLE,72.40,5.0,Established in 1962 (63 years); Cooperative status.,5.0,"2024 Revenue: KES 40,868,173.00; Accounting system: Other.",2.5,B2B Sales: 0.0%; Market strategy reported.,3.4,Structured expansion plans provided,3.8,Aligned with Coffee priority value chain.,3.2,Limited evidence of inclusivity profile.,,
20,Kiambu_MNNG,Avovida Avocado and ProduceProducers Cluster,ELIGIBLE,72.10,2.1,Established in 2024 (1 years); Private Company status.,2.8,"2024 Revenue: KES 600,000.00; Accounting system: None.",5.0,B2B Sales: 40.0%; Market strategy reported.,3.6,Structured expansion plans provided,3.8,Aligned with other priority value chain.,3.3,Limited evidence of inclusivity profile.,,
