Rank,Application ID,Applicant Name,Eligibility Status,Composite Score,S1_Registration_Track_Record_5% Score,S1_Registration_Track_Record_5% Reason,S2_Financial_Position_20% Score,S2_Financial_Position_20% Reason,S3_Market_Demand_Competitiveness_20% Score,S3_Market_Demand_Competitiveness_20% Reason,S4_Business_Proposal_Viability_25% Score,S4_Business_Proposal_Viability_25% Reason,S5_Value_Chain_Alignment_10% Score,S5_Value_Chain_Alignment_10% Reason,S6_Inclusivity_Sustainability_20% Score,S6_Inclusivity_Sustainability_20% Reason,Ineligibility Criterion Failed,Reason
1,Kirinyaga_NUJG,Jaysly Enterprise LTD,ELIGIBLE,86.00,3,Established in 2021 (4 years); Private Company status.,5,"2024 Revenue: KES 5,000,000.00; Accounting system: QuickBooks.",5,B2B Sales: 65.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Construction priority value chain.,5,Woman-owned enterprise,,
2,Kirinyaga_ZPHP,ORGANIC FERTILIZER AND INPUT MANUFACTURERS ASSOCIATION OF KENYA (OFIMAK),ELIGIBLE,84.00,1,Established in 2024 (1 years); MSME Association status.,5,"2024 Revenue: KES 242,000,000.00; Accounting system: QuickBooks.",5,B2B Sales: 65.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with other priority value chain.,5,Woman-owned enterprise,,
3,Kirinyaga_ELGK,Satima Farmhouse Ltd.,ELIGIBLE,82.00,3,Established in 2021 (4 years); Private Company status.,5,"2024 Revenue: KES 5,194,631.00; Accounting system: Zoho Books.",4,B2B Sales: 50.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Dairy priority value chain.,5,Woman-owned enterprise,,
4,Kirinyaga_FESU,Inoi Farmers Cooperative Society Limited,ELIGIBLE,76.00,5,Established in 1954 (71 years); Cooperative status.,5,"2024 Revenue: KES 208,468,948.00; Accounting system: None.",2,B2B Sales: 0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Coffee priority value chain.,5,Woman-owned enterprise,,
5,Kirinyaga_JVM2,NATURAL RESOURCES MANAGEMENT,ELIGIBLE,70.00,3,Established in 2023 (2 years); Other status.,2,"2024 Revenue: KES 57,000.00; Accounting system: None.",4,B2B Sales: 30.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with other priority value chain.,5,Woman-owned enterprise,,
6,Kirinyaga_VWCT,mt kenya youth eco-transformers,ELIGIBLE,68.00,5,Established in 2008 (17 years); Other status.,3,"2024 Revenue: KES 500,000.00; Accounting system: None.",2,B2B Sales: 0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Dairy priority value chain.,5,Woman-owned enterprise,,
7,Kirinyaga_VR5N,KIRINYAGA ORGANIC FARMERS COOPERATIVE SOCIETY LIMITED,ELIGIBLE,68.00,1,Established in 2025 (0 years); Cooperative status.,3,"2024 Revenue: KES 211,835.00; Accounting system: None.",3,B2B Sales: 20.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Edible Oils priority value chain.,5,Woman-owned enterprise,,
8,Kirinyaga_6AEB,WAKAMUTHI WOMEN MARKET MARKETING COOPERATIVE SOCIETY LIMITED,ELIGIBLE,67.00,4,Established in 2019 (6 years); Cooperative status.,3,"2024 Revenue: KES 292,982.00; Accounting system: None.",2,B2B Sales: 0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with other priority value chain.,5,Woman-owned enterprise,,
9,Kirinyaga_G6BB,TIMISA TREE PLNATERS ASSOCIATION,ELIGIBLE,66.00,3,Established in 2021 (4 years); MSME Association status.,2,"2024 Revenue: KES 30,000.00; Accounting system: None.",3,B2B Sales: 20.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with other priority value chain.,5,Woman-owned enterprise,,
10,Kirinyaga_A33A,Mwea Rice Multipurpose Cooperative Society,ELIGIBLE,64.00,5,Established in 1988 (37 years); Cooperative status.,5,"2024 Revenue: KES 41,601,254.00; Accounting system: Other.",3,B2B Sales: 7.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Rice priority value chain.,1,Limited evidence of inclusivity profile.,,
11,Kirinyaga_5YMR,WANGWANA TEXTILES AND ART DESIGNS,ELIGIBLE,64.00,1,Established in 2024 (1 years); MSME Association status.,2,"2024 Revenue: KES 95,000.00; Accounting system: None.",3,B2B Sales: 10.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Textiles priority value chain.,5,Woman-owned enterprise,,
12,Kirinyaga_ZHTQ,Knusstof Consumer,ELIGIBLE,55.00,4,Established in 2019 (6 years); MSME Association status.,2,"2024 Revenue: KES 100,000.00; Accounting system: None.",4,B2B Sales: 50.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Blue Economy priority value chain.,1,Limited evidence of inclusivity profile.,,
,Kirinyaga_QNBL,DAIRY VALUE CHAIN -MANUFACTURING,INELIGIBLE,0.00,,,,,,,,,,,,,E4,No financial evidence (Bank/Mpesa) attached.
,Kirinyaga_EXAF,KANJI KOMU,INELIGIBLE,0.00,,,,,,,,,,,,,E4,No financial evidence (Bank/Mpesa) attached.
