Rank,Application ID,Applicant Name,Eligibility Status,Composite Score,S1_Registration_Track_Record_5% Score,S1_Registration_Track_Record_5% Reason,S2_Financial_Position_20% Score,S2_Financial_Position_20% Reason,S3_Market_Demand_Competitiveness_20% Score,S3_Market_Demand_Competitiveness_20% Reason,S4_Business_Proposal_Viability_25% Score,S4_Business_Proposal_Viability_25% Reason,S5_Value_Chain_Alignment_10% Score,S5_Value_Chain_Alignment_10% Reason,S6_Inclusivity_Sustainability_20% Score,S6_Inclusivity_Sustainability_20% Reason,Ineligibility Criterion Failed,Reason
1,Kisii_CN3U,Boka eats limited,ELIGIBLE,86.00,3,Established in 2021 (4 years); Private Company status.,5,"2024 Revenue: KES 6,456,860.00; Accounting system: QuickBooks.",5,B2B Sales: 90.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with other priority value chain.,5,Woman-owned enterprise,,
2,Kisii_PGB5,KENYUNI WOMEN GROUP,ELIGIBLE,84.00,5,Established in 2005 (20 years); Other status.,4,"2024 Revenue: KES 140,000.00; Accounting system: QuickBooks.",5,B2B Sales: 70.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Dairy priority value chain.,5,Woman-owned enterprise,,
3,Kisii_Q0PZ,KENYENYA DAIRY FARMERS CO-OPERATIVE SOCIETY LIMITED,ELIGIBLE,84.00,5,Established in 2014 (11 years); Cooperative status.,4,"2024 Revenue: KES 118,000.00; Accounting system: Other.",5,B2B Sales: 60.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Dairy priority value chain.,5,Woman-owned enterprise,,
4,Kisii_HYRJ,ECO RESORT MISISITA LIMITED,ELIGIBLE,84.00,5,Established in 2015 (10 years); Other status.,5,"2024 Revenue: KES 2,000,000.00; Accounting system: Zoho Books.",4,B2B Sales: 40.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Dairy priority value chain.,5,Woman-owned enterprise,,
5,Kisii_CARO,NYAKOBOKI NAGRIP POULTRY FARMERS CO-OPERATIVE,ELIGIBLE,83.00,4,Established in 2019 (6 years); Cooperative status.,5,"2024 Revenue: KES 8,208,000.00; Accounting system: None.",4,B2B Sales: 30.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Dairy priority value chain.,5,Woman-owned enterprise,,
6,Kisii_BUWR,Gusii Farm Forestry Co-operative Society Limited,ELIGIBLE,83.00,4,Established in 2016 (9 years); Cooperative status.,5,"2024 Revenue: KES 2,500,000.00; Accounting system: None.",4,B2B Sales: 40.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with other priority value chain.,5,Woman-owned enterprise,,
7,Kisii_LTWU,NYABIGENA PARTNERS BODA BODA,ELIGIBLE,82.00,3,Established in 2022 (3 years); Cooperative status.,5,"2024 Revenue: KES 2,200,000.00; Accounting system: QuickBooks.",4,B2B Sales: 30.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Blue Economy priority value chain.,5,Woman-owned enterprise,,
8,Kisii_JORU,RIASUTA CO-OPERATIVE SOCIETY LIMITED,ELIGIBLE,80.00,5,Established in 1963 (62 years); Cooperative status.,5,"2024 Revenue: KES 36,242,384.00; Accounting system: QuickBooks.",3,B2B Sales: 20.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Coffee priority value chain.,5,Woman-owned enterprise,,
9,Kisii_VOR8,NYAMACHE FARMERS COOPERATIVE SOCIETY LIMITED,ELIGIBLE,76.00,5,Established in 1957 (68 years); Cooperative status.,5,"2024 Revenue: KES 30,000,000.00; Accounting system: None.",2,B2B Sales: 0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Coffee priority value chain.,5,Woman-owned enterprise,,
10,Kisii_6JSE,MOGONGA FARMERS CO-OPERATIVE SOCIETY LIMITED,ELIGIBLE,76.00,5,Established in 1950 (75 years); Cooperative status.,5,"2024 Revenue: KES 11,651,018.00; Accounting system: Sage.",2,B2B Sales: 0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Coffee priority value chain.,5,Woman-owned enterprise,,
