Rank,Application ID,Applicant Name,Eligibility Status,Composite Score,S1_Registration_Track_Record_5% Score,S1_Registration_Track_Record_5% Reason,S2_Financial_Position_20% Score,S2_Financial_Position_20% Reason,S3_Market_Demand_Competitiveness_20% Score,S3_Market_Demand_Competitiveness_20% Reason,S4_Business_Proposal_Viability_25% Score,S4_Business_Proposal_Viability_25% Reason,S5_Value_Chain_Alignment_10% Score,S5_Value_Chain_Alignment_10% Reason,S6_Inclusivity_Sustainability_20% Score,S6_Inclusivity_Sustainability_20% Reason,Ineligibility Criterion Failed,Reason
1,Kitui_4KRC,Aithi FSCCS Ltd,ELIGIBLE,74.90,3.7,Established in 2023 (2 years); Cooperative status.,2.3,"2024 Revenue: KES 3,488.00; Accounting system: None.",5.0,B2B Sales: 50.0%; Market strategy reported.,3.6,Structured expansion plans provided,5.0,Aligned with Dairy priority value chain.,3.5,Limited evidence of inclusivity profile.,,
2,Kitui_YJEY,SAAWEDO SHG,ELIGIBLE,74.80,3.8,Established in 2021 (4 years); Other status.,3.2,"2024 Revenue: KES 500,000.00; Accounting system: QuickBooks.",5.0,B2B Sales: 68.0%; Market strategy reported.,3.4,Structured expansion plans provided,3.8,Aligned with other priority value chain.,3.4,Limited evidence of inclusivity profile.,,
3,Kitui_SKJH,Mwingi Huruma Savings and Credit Co-operative Society Limited.,ELIGIBLE,72.80,5.0,Established in 2017 (8 years); Cooperative status.,2.3,"2024 Revenue: KES 455,000.00; Accounting system: None.",4.6,B2B Sales: 30.0%; Market strategy reported.,3.4,Structured expansion plans provided,5.0,Aligned with Construction priority value chain.,3.3,Limited evidence of inclusivity profile.,,
4,Kitui_A533,Mwingi Sand Harvesting Co-operative Society Limited,ELIGIBLE,70.40,5.0,Established in 2006 (19 years); Cooperative status.,2.3,"2024 Revenue: KES 100,000.00; Accounting system: None.",4.1,B2B Sales: 20.0%; Market strategy reported.,3.4,Structured expansion plans provided,5.0,Aligned with Construction priority value chain.,3.2,Limited evidence of inclusivity profile.,,
5,Kitui_RBLA,KIKULI BEE KEEPERS SELF HELP GROUP,ELIGIBLE,66.30,4.3,Established in 2020 (5 years); Other status.,2.3,"2024 Revenue: KES 3,000.00; Accounting system: None.",4.9,B2B Sales: 50.0%; Market strategy reported.,3.6,Structured expansion plans provided,3.8,Aligned with other priority value chain.,1.9,Limited evidence of inclusivity profile.,,
6,Kitui_GNXF,NGOONGINGO DISABILITY SELF HELP GROUP,ELIGIBLE,64.40,1.8,Established in 2025 (0 years); Other status.,1.3,2024 Revenue: KES 0.00; Accounting system: None.,4.4,B2B Sales: 30.0%; Market strategy reported.,3.4,Structured expansion plans provided,5.0,Aligned with Dairy priority value chain.,3.2,Limited evidence of inclusivity profile.,,
7,Kitui_8CSD,WIKWATYO WA MAKAIYE SOCIO ECONOMIC SELF HELP GROUP,ELIGIBLE,64.00,5.0,Established in 2005 (20 years); MSME Association status.,1.3,2024 Revenue: KES 0.00; Accounting system: None.,5.0,B2B Sales: 91.0%; Market strategy reported.,3.4,Structured expansion plans provided,5.0,Aligned with Edible Oils priority value chain.,1.7,Limited evidence of inclusivity profile.,,
8,Kitui_PMAH,MWINGI ARTISANAL MINERS COOPERATIVE SOCIETY LIMITED,ELIGIBLE,62.30,3.7,Established in 2023 (2 years); Cooperative status.,2.3,"2024 Revenue: KES 150,000.00; Accounting system: None.",2.4,B2B Sales: 0.0%; Market strategy reported.,3.4,Structured expansion plans provided,5.0,Aligned with minerals priority value chain.,3.2,Limited evidence of inclusivity profile.,,
,Kitui_IX1K,TAVONI C.B.O,INELIGIBLE,0.00,,,,,,,,,,,,,E4,No financial evidence (Bank/Mpesa) attached.
,Kitui_COOY,Kenda & Associates,INELIGIBLE,0.00,,,,,,,,,,,,,E4,No financial evidence (Bank/Mpesa) attached.
,Kitui_QZDH,KAUWI,INELIGIBLE,0.00,,,,,,,,,,,,,E4,No financial evidence (Bank/Mpesa) attached.
