Rank,Application ID,Applicant Name,Eligibility Status,Composite Score,S1_Registration_Track_Record_5% Score,S1_Registration_Track_Record_5% Reason,S2_Financial_Position_20% Score,S2_Financial_Position_20% Reason,S3_Market_Demand_Competitiveness_20% Score,S3_Market_Demand_Competitiveness_20% Reason,S4_Business_Proposal_Viability_25% Score,S4_Business_Proposal_Viability_25% Reason,S5_Value_Chain_Alignment_10% Score,S5_Value_Chain_Alignment_10% Reason,S6_Inclusivity_Sustainability_20% Score,S6_Inclusivity_Sustainability_20% Reason,Ineligibility Criterion Failed,Reason
1,Machakos_UDRH,NDALANI FARM PRODUCE LTD,ELIGIBLE,85.20,5.0,Established in 2012 (13 years); Private Company status.,5.0,"2024 Revenue: KES 43,864,586.00; Accounting system: QuickBooks.",5.0,B2B Sales: 80.0%; Market strategy reported.,3.4,Structured expansion plans provided,5.0,Aligned with Dairy priority value chain.,3.3,Limited evidence of inclusivity profile.,,
2,Machakos_XVAZ,MACHAKOS COUNTY SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED,ELIGIBLE,79.20,5.0,Established in 2013 (12 years); Cooperative status.,4.2,"2024 Revenue: KES 4,700,000.00; Accounting system: Other.",4.4,B2B Sales: 30.0%; Market strategy reported.,3.4,Structured expansion plans provided,5.0,Aligned with Edible Oils priority value chain.,3.2,Limited evidence of inclusivity profile.,,
3,Machakos_GPCC,Kathiani modern farmers cooperative,ELIGIBLE,78.80,3.6,Established in 2023 (2 years); Cooperative status.,3.7,"2024 Revenue: KES 1,279,400.00; Accounting system: Other.",4.6,B2B Sales: 30.0%; Market strategy reported.,3.6,Structured expansion plans provided,5.0,Aligned with Edible Oils priority value chain.,3.5,Limited evidence of inclusivity profile.,,
4,Machakos_1ASJ,Johari Solutions,ELIGIBLE,78.30,5.0,Established in 2005 (20 years); Private Company status.,3.3,"2024 Revenue: KES 1,411,062.00; Accounting system: None.",5.0,B2B Sales: 100.0%; Market strategy reported.,3.7,Structured expansion plans provided,3.8,Aligned with other priority value chain.,3.5,Limited evidence of inclusivity profile.,,
5,Machakos_ETOH,university youth in coffee,ELIGIBLE,77.20,5.0,Established in 2018 (7 years); Private Company status.,4.2,"2024 Revenue: KES 3,000,000.00; Accounting system: QuickBooks.",4.5,B2B Sales: 30.0%; Market strategy reported.,3.4,Structured expansion plans provided,3.8,Aligned with Coffee priority value chain.,3.2,Limited evidence of inclusivity profile.,,
6,Machakos_CRXE,Ndithini Community Development Association (NCDA),ELIGIBLE,76.60,5.0,Established in 2005 (20 years); MSME Association status.,3.2,"2024 Revenue: KES 540,000.00; Accounting system: Other.",5.0,B2B Sales: 40.0%; Market strategy reported.,3.6,Structured expansion plans provided,3.8,Aligned with other priority value chain.,3.3,Limited evidence of inclusivity profile.,,
7,Machakos_PEYN,DESTINED SISTERS GROUP,ELIGIBLE,72.90,4.2,Established in 2022 (3 years); Cooperative status.,3.7,"2024 Revenue: KES 1,020,000.00; Accounting system: Other.",4.6,B2B Sales: 25.0%; Market strategy reported.,3.5,Structured expansion plans provided,5.0,Aligned with Textiles priority value chain.,2.0,Limited evidence of inclusivity profile.,,
8,Machakos_RA5H,Master Piece Jewellers,ELIGIBLE,72.30,3.7,Established in 2023 (2 years); Private Company status.,3.3,"2024 Revenue: KES 1,150,000.00; Accounting system: None.",3.9,B2B Sales: 20.0%; Market strategy reported.,3.4,Structured expansion plans provided,5.0,Aligned with minerals priority value chain.,3.2,Limited evidence of inclusivity profile.,,
9,Machakos_HZKQ,KANZUNGO GENERAL FARMERS CO-OPERATIVE SOCIETY LTD,ELIGIBLE,72.20,3.6,Established in 2023 (2 years); Cooperative status.,2.3,"2024 Revenue: KES 385,000.00; Accounting system: None.",4.9,B2B Sales: 50.0%; Market strategy reported.,3.4,Structured expansion plans provided,5.0,Aligned with Dairy priority value chain.,3.2,Limited evidence of inclusivity profile.,,
10,Machakos_YX2U,MASINGA DIGITAL YOUTH,ELIGIBLE,70.40,5.0,Established in 2018 (7 years); Cooperative status.,3.3,"2024 Revenue: KES 1,000,000.00; Accounting system: None.",4.4,B2B Sales: 29.0%; Market strategy reported.,3.4,Structured expansion plans provided,5.0,Aligned with Textiles priority value chain.,1.9,Limited evidence of inclusivity profile.,,
11,Machakos_PPX2,WATHO SELF HELP GROUP,ELIGIBLE,69.10,3.3,Established in 2023 (2 years); Other status.,2.3,"2024 Revenue: KES 250,000.00; Accounting system: None.",4.1,B2B Sales: 20.0%; Market strategy reported.,3.4,Structured expansion plans provided,5.0,Aligned with Dairy priority value chain.,3.3,Limited evidence of inclusivity profile.,,
12,Machakos_2ULS,YATTA MULTI-PURPOSE FARMERS CO-OPERATIVE SOCIETY LIMITED,ELIGIBLE,68.80,4.6,Established in 2020 (5 years); Cooperative status.,4.2,"2024 Revenue: KES 4,000,000.00; Accounting system: Other.",4.0,B2B Sales: 10.0%; Market strategy reported.,3.4,Structured expansion plans provided,3.8,Aligned with other priority value chain.,1.7,Limited evidence of inclusivity profile.,,
13,Machakos_OJE2,Masinga Fruit Farmers Cooperative Society Limited,ELIGIBLE,66.70,2.3,Established in 2025 (0 years); Cooperative status.,3.7,"2024 Revenue: KES 1,050,000.00; Accounting system: Other.",2.6,B2B Sales: 0.0%; Market strategy reported.,3.6,Structured expansion plans provided,3.8,Aligned with other priority value chain.,3.4,Limited evidence of inclusivity profile.,,
14,Machakos_QP9I,ANZIL ARCHITECTURE,ELIGIBLE,65.60,1.8,Established in 2025 (0 years); MSME Association status.,1.3,2024 Revenue: KES 0.00; Accounting system: None.,4.5,B2B Sales: 30.0%; Market strategy reported.,3.4,Structured expansion plans provided,5.0,Aligned with Construction priority value chain.,3.4,Limited evidence of inclusivity profile.,,
15,Machakos_YOSQ,muthesya dairy farmers,ELIGIBLE,64.00,1.8,Established in 2025 (0 years); MSME Association status.,3.2,"2024 Revenue: KES 750,000.00; Accounting system: Other.",2.4,B2B Sales: 0.0%; Market strategy reported.,3.4,Structured expansion plans provided,5.0,Aligned with Dairy priority value chain.,3.2,Limited evidence of inclusivity profile.,,
16,Machakos_HRDT,GRANDPA JOE COMPANY LIMITED,ELIGIBLE,60.30,2.1,Established in 2024 (1 years); Private Company status.,1.7,2024 Revenue: KES 0.00; Accounting system: Other.,5.0,B2B Sales: 100.0%; Market strategy reported.,3.4,Structured expansion plans provided,3.8,Aligned with other priority value chain.,1.7,Limited evidence of inclusivity profile.,,
17,Machakos_DCL5,NDITHINI DAIRY FARMERS,ELIGIBLE,51.70,1.8,Established in 2025 (0 years); MSME Association status.,1.3,2024 Revenue: KES 0.00; Accounting system: None.,2.5,B2B Sales: 0.0%; Market strategy reported.,3.5,Structured expansion plans provided,5.0,Aligned with Dairy priority value chain.,1.8,Limited evidence of inclusivity profile.,,
,Machakos_RJPL,MALIMANANJA DIARY FARMERS,INELIGIBLE,0.00,,,,,,,,,,,,,E4,No financial evidence (Bank/Mpesa) attached.
