Rank,Application ID,Applicant Name,Eligibility Status,Composite Score,S1_Registration_Track_Record_5% Score,S1_Registration_Track_Record_5% Reason,S2_Financial_Position_20% Score,S2_Financial_Position_20% Reason,S3_Market_Demand_Competitiveness_20% Score,S3_Market_Demand_Competitiveness_20% Reason,S4_Business_Proposal_Viability_25% Score,S4_Business_Proposal_Viability_25% Reason,S5_Value_Chain_Alignment_10% Score,S5_Value_Chain_Alignment_10% Reason,S6_Inclusivity_Sustainability_20% Score,S6_Inclusivity_Sustainability_20% Reason,Ineligibility Criterion Failed,Reason
1,Makueni_XL1M,MAKIOU DAIRY FARMERS COOPERATIVE SOCIETY,ELIGIBLE,82.40,5.0,Established in 2011 (14 years); Cooperative status.,5.0,"2024 Revenue: KES 50,000,000.00; Accounting system: QuickBooks.",4.4,B2B Sales: 30.0%; Market strategy reported.,3.4,Structured expansion plans provided,5.0,Aligned with Dairy priority value chain.,3.2,Limited evidence of inclusivity profile.,,
2,Makueni_FCZJ,MAKUENI DAIRY FARMERS COOPERATIVE SOCIETY LIMITED,ELIGIBLE,80.40,5.0,Established in 1992 (33 years); Cooperative status.,5.0,"2024 Revenue: KES 25,568,788.00; Accounting system: None.",3.9,B2B Sales: 20.0%; Market strategy reported.,3.4,Structured expansion plans provided,5.0,Aligned with Dairy priority value chain.,3.2,Limited evidence of inclusivity profile.,,
3,Makueni_FRRU,Trueways Enterprises Ltd,ELIGIBLE,76.80,5.0,Established in 2008 (17 years); Private Company status.,2.7,"2024 Revenue: KES 470,000.00; Accounting system: QuickBooks.",5.0,B2B Sales: 50.0%; Market strategy reported.,3.4,Structured expansion plans provided,5.0,Aligned with Edible Oils priority value chain.,3.5,Limited evidence of inclusivity profile.,,
4,Makueni_HMIX,KIKIMA DAIRY CO-OPERATIVE SOCIETY,ELIGIBLE,75.60,5.0,Established in 2014 (11 years); Cooperative status.,4.2,"2024 Revenue: KES 3,012,239.00; Accounting system: QuickBooks.",5.0,B2B Sales: 60.0%; Market strategy reported.,3.4,Structured expansion plans provided,5.0,Aligned with Dairy priority value chain.,1.7,Limited evidence of inclusivity profile.,,
5,Makueni_I2M6,PEKATI GENERAL SUPPLIES,ELIGIBLE,74.60,3.6,Established in 2023 (2 years); Private Company status.,2.8,"2024 Revenue: KES 800,000.00; Accounting system: None.",5.0,B2B Sales: 62.0%; Market strategy reported.,3.4,Structured expansion plans provided,5.0,Aligned with Textiles priority value chain.,3.2,Limited evidence of inclusivity profile.,,
6,Makueni_47FT,Kikima farmers cooperative society limited,ELIGIBLE,72.00,5.0,Established in 1958 (67 years); Cooperative status.,5.0,"2024 Revenue: KES 49,050,698.00; Accounting system: None.",2.4,B2B Sales: 0.0%; Market strategy reported.,3.4,Structured expansion plans provided,3.8,Aligned with Coffee priority value chain.,3.2,Limited evidence of inclusivity profile.,,
7,Makueni_JXMY,MBOONI RANCHING & DAIRY CO-OPERATIVE SOCIETY LTD,ELIGIBLE,71.70,5.0,Established in 1964 (61 years); Cooperative status.,4.8,"2024 Revenue: KES 9,446,748.00; Accounting system: None.",2.4,B2B Sales: 0.0%; Market strategy reported.,3.5,Structured expansion plans provided,3.8,Aligned with other priority value chain.,3.2,Limited evidence of inclusivity profile.,,
8,Makueni_OFHH,NGUU/MASUMBA DAIRY FARMERS CO-OPERATIVE SOCIETY LIMITED,ELIGIBLE,68.00,4.6,Established in 2019 (6 years); Cooperative status.,5.0,"2024 Revenue: KES 13,032,927.00; Accounting system: None.",2.4,B2B Sales: 0.0%; Market strategy reported.,3.4,Structured expansion plans provided,5.0,Aligned with Dairy priority value chain.,1.7,Limited evidence of inclusivity profile.,,
9,Makueni_KU5A,KALAWA FARMERS SAVINGS AND CREDIT SOCIETY LIMITED,ELIGIBLE,64.30,3.7,Established in 2023 (2 years); Cooperative status.,2.8,"2024 Revenue: KES 748,000.00; Accounting system: None.",2.4,B2B Sales: 0.0%; Market strategy reported.,3.4,Structured expansion plans provided,5.0,Aligned with Dairy priority value chain.,3.2,Limited evidence of inclusivity profile.,,
10,Makueni_UYK6,ITITU P.I.W.D SELF HELP GROUP,ELIGIBLE,62.60,3.6,Established in 2023 (2 years); Cooperative status.,2.3,"2024 Revenue: KES 10,000.00; Accounting system: None.",2.4,B2B Sales: 0.0%; Market strategy reported.,3.4,Structured expansion plans provided,5.0,Aligned with Leather priority value chain.,3.3,Limited evidence of inclusivity profile.,,
11,Makueni_PNAL,KALAWA DAIRY FARMERS CO-OPERATIVE SOCIETY LIMITED,ELIGIBLE,60.00,5.0,Established in 2004 (21 years); Cooperative status.,2.7,2024 Revenue: KES 67.00; Accounting system: Zoho Books.,2.6,B2B Sales: 0.0%; Market strategy reported.,3.4,Structured expansion plans provided,5.0,Aligned with Dairy priority value chain.,1.7,Limited evidence of inclusivity profile.,,
,Makueni_NXTE,EMALI JUAKALI ASSOCIATION,INELIGIBLE,0.00,,,,,,,,,,,,,E4,No financial evidence (Bank/Mpesa) attached.
,Makueni_S2GZ,MAKUENI CONTRACTORS ASSOCIATION,INELIGIBLE,0.00,,,,,,,,,,,,,E4,No financial evidence (Bank/Mpesa) attached.
