Rank,Application ID,Applicant Name,Eligibility Status,Composite Score,S1_Registration_Track_Record_5% Score,S1_Registration_Track_Record_5% Reason,S2_Financial_Position_20% Score,S2_Financial_Position_20% Reason,S3_Market_Demand_Competitiveness_20% Score,S3_Market_Demand_Competitiveness_20% Reason,S4_Business_Proposal_Viability_25% Score,S4_Business_Proposal_Viability_25% Reason,S5_Value_Chain_Alignment_10% Score,S5_Value_Chain_Alignment_10% Reason,S6_Inclusivity_Sustainability_20% Score,S6_Inclusivity_Sustainability_20% Reason,Ineligibility Criterion Failed,Reason
1,Mandera_F5YI,Wayame two self help group,ELIGIBLE,88.00,5,Established in 2014 (11 years); MSME Association status.,5,"2024 Revenue: KES 1,400,000.00; Accounting system: None.",5,B2B Sales: 70.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Construction priority value chain.,5,Woman-owned enterprise,,
2,Mandera_6J6W,BULLA POSTA YOUTH BUNGE ASSOCIATION,ELIGIBLE,84.00,5,Established in 2014 (11 years); Private Company status.,4,"2024 Revenue: KES 150,000.00; Accounting system: Other.",5,B2B Sales: 60.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Edible Oils priority value chain.,5,Woman-owned enterprise,,
3,Mandera_EPPT,MANDERA HOMESTEAD HONEY,ELIGIBLE,74.00,3,Established in 2022 (3 years); Other status.,2,"2024 Revenue: KES 80,000.00; Accounting system: None.",5,B2B Sales: 60.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with other priority value chain.,5,Woman-owned enterprise,,
4,Mandera_O0BC,BANISA JAMIA JUAKALI ASSOCIATIONS,ELIGIBLE,71.00,4,Established in 2017 (8 years); MSME Association status.,4,"2024 Revenue: KES 600,000.00; Accounting system: None.",2,B2B Sales: 0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Construction priority value chain.,5,Woman-owned enterprise,,
5,Mandera_JKAG,LAKARO HONEY & GHEE,ELIGIBLE,68.00,1,Established in 2025 (0 years); MSME Association status.,4,"2024 Revenue: KES 350,000.00; Accounting system: Other.",2,B2B Sales: 0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with other priority value chain.,5,Woman-owned enterprise,,
6,Mandera_DOOF,Washamsi,ELIGIBLE,66.00,3,Established in 2023 (2 years); MSME Association status.,2,"2024 Revenue: KES 80,000.00; Accounting system: None.",3,B2B Sales: 15.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Rice priority value chain.,5,Woman-owned enterprise,,
7,Mandera_CAI4,Hussein Dadacha's Farmers Enterprise Group,ELIGIBLE,60.00,1,Established in 2024 (1 years); MSME Association status.,3,"2024 Revenue: KES 250,000.00; Accounting system: None.",5,B2B Sales: 82.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Edible Oils priority value chain.,1,Limited evidence of inclusivity profile.,,
8,Mandera_8MDR,HORSEED CARWASH,ELIGIBLE,55.00,4,Established in 2018 (7 years); Other status.,2,"2024 Revenue: KES 100,000.00; Accounting system: None.",4,B2B Sales: 50.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with other priority value chain.,1,Limited evidence of inclusivity profile.,,
9,Mandera_MZJR,Lafey Traditional Association,ELIGIBLE,54.00,3,Established in 2022 (3 years); MSME Association status.,2,"2024 Revenue: KES 80,000.00; Accounting system: None.",4,B2B Sales: 25.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with other priority value chain.,1,Limited evidence of inclusivity profile.,,
10,Mandera_KFEX,KIMS HONEY GROUP,ELIGIBLE,54.00,3,Established in 2022 (3 years); Other status.,2,"2024 Revenue: KES 80,000.00; Accounting system: None.",4,B2B Sales: 40.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with other priority value chain.,1,Limited evidence of inclusivity profile.,,
11,Mandera_9USC,BARWAQO BARBERS ASSOCIATION,ELIGIBLE,50.00,3,Established in 2022 (3 years); MSME Association status.,2,"2024 Revenue: KES 80,000.00; Accounting system: None.",3,B2B Sales: 5.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with other priority value chain.,1,Limited evidence of inclusivity profile.,,
12,Mandera_ODKD,ARABEY WELDING PLUS MOTORCYCLE SPARE PARTS,ELIGIBLE,50.00,3,Established in 2022 (3 years); Other status.,2,"2024 Revenue: KES 80,000.00; Accounting system: None.",3,B2B Sales: 20.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with other priority value chain.,1,Limited evidence of inclusivity profile.,,
,Mandera_XBLP,HAYAT JUA KALI,INELIGIBLE,0.00,,,,,,,,,,,,,E4,No financial evidence (Bank/Mpesa) attached.
,Mandera_BGPL,JABI ENTERPRISES,INELIGIBLE,0.00,,,,,,,,,,,,,E4,No financial evidence (Bank/Mpesa) attached.
