Rank,Application ID,Applicant Name,Eligibility Status,Composite Score,S1_Registration_Track_Record_5% Score,S1_Registration_Track_Record_5% Reason,S2_Financial_Position_20% Score,S2_Financial_Position_20% Reason,S3_Market_Demand_Competitiveness_20% Score,S3_Market_Demand_Competitiveness_20% Reason,S4_Business_Proposal_Viability_25% Score,S4_Business_Proposal_Viability_25% Reason,S5_Value_Chain_Alignment_10% Score,S5_Value_Chain_Alignment_10% Reason,S6_Inclusivity_Sustainability_20% Score,S6_Inclusivity_Sustainability_20% Reason,Ineligibility Criterion Failed,Reason
1,Marsabit_WICV,Falem Savings and Credit Co-operative society Limited,ELIGIBLE,74.80,4.2,Established in 2022 (3 years); Cooperative status.,2.7,"2024 Revenue: KES 444,000.00; Accounting system: QuickBooks.",4.9,B2B Sales: 50.0%; Market strategy reported.,3.4,Structured expansion plans provided,5.0,Aligned with Blue Economy priority value chain.,3.3,Limited evidence of inclusivity profile.,,
2,Marsabit_GAPS,KHANDERE FARMERS AND PRODUCE MARKETING CO-OPERATIVE SOCIETY LIMITED,ELIGIBLE,74.00,5.0,Established in 2015 (10 years); Cooperative status.,3.3,"2024 Revenue: KES 1,200,000.00; Accounting system: None.",4.0,B2B Sales: 10.0%; Market strategy reported.,3.4,Structured expansion plans provided,5.0,Aligned with Blue Economy priority value chain.,3.2,Limited evidence of inclusivity profile.,,
3,Marsabit_DLKF,GARGAR SELF HELP GROUP,ELIGIBLE,73.30,3.4,Established in 2023 (2 years); Other status.,2.8,"2024 Revenue: KES 900,000.00; Accounting system: None.",5.0,B2B Sales: 40.0%; Market strategy reported.,3.5,Structured expansion plans provided,3.8,Aligned with other priority value chain.,3.4,Limited evidence of inclusivity profile.,,
4,Marsabit_9P4G,MOYALE BODA BODA PEACE SAVING AND CREDIT CO-OPERATIVE SOCIETY LIMITED,ELIGIBLE,72.60,5.0,Established in 2015 (10 years); Cooperative status.,3.8,"2024 Revenue: KES 3,100,000.00; Accounting system: None.",4.1,B2B Sales: 15.0%; Market strategy reported.,3.6,Structured expansion plans provided,5.0,Aligned with Edible Oils priority value chain.,2.0,Limited evidence of inclusivity profile.,,
5,Marsabit_SZNM,Bilitu Savings and Co-operative Society Limited,ELIGIBLE,72.30,3.6,Established in 2023 (2 years); Cooperative status.,3.3,"2024 Revenue: KES 1,920,000.00; Accounting system: None.",4.1,B2B Sales: 20.0%; Market strategy reported.,3.5,Structured expansion plans provided,3.8,Aligned with other priority value chain.,3.5,Limited evidence of inclusivity profile.,,
6,Marsabit_5IZT,TUJIAJIRI MISA FARMERS SELF HELP GROUP,ELIGIBLE,71.70,3.3,Established in 2023 (2 years); Other status.,2.3,"2024 Revenue: KES 350,000.00; Accounting system: None.",5.0,B2B Sales: 70.0%; Market strategy reported.,3.6,Structured expansion plans provided,3.8,Aligned with other priority value chain.,3.4,Limited evidence of inclusivity profile.,,
7,Marsabit_5T9Y,NANA BEEKEEPING FARMERS GROUP,ELIGIBLE,70.80,4.0,Established in 2021 (4 years); Other status.,2.8,"2024 Revenue: KES 876,493.00; Accounting system: None.",4.0,B2B Sales: 14.0%; Market strategy reported.,3.6,Structured expansion plans provided,3.8,Aligned with other priority value chain.,3.5,Limited evidence of inclusivity profile.,,
8,Marsabit_PCDP,SARIMO MULTIPURPOSE CO-OPERATIVE SOCIETY LIMITED,ELIGIBLE,70.80,5.0,Established in 1991 (34 years); Cooperative status.,3.3,"2024 Revenue: KES 2,100,000.00; Accounting system: None.",5.0,B2B Sales: 75.0%; Market strategy reported.,3.4,Structured expansion plans provided,3.8,Aligned with other priority value chain.,2.0,Limited evidence of inclusivity profile.,,
9,Marsabit_RFWZ,YANAGO GUMS AND RESINS GROUPS,ELIGIBLE,67.40,5.0,Established in 2012 (13 years); Other status.,3.3,"2024 Revenue: KES 2,112,000.00; Accounting system: None.",2.6,B2B Sales: 0.0%; Market strategy reported.,3.6,Structured expansion plans provided,3.8,Aligned with other priority value chain.,3.3,Limited evidence of inclusivity profile.,,
10,Marsabit_EL8O,YADHKI MULTIPURPOSE CO-OPERATIVE SOCIETY LIMITED,ELIGIBLE,66.50,5.0,Established in 2011 (14 years); Cooperative status.,2.8,"2024 Revenue: KES 600,000.00; Accounting system: None.",4.0,B2B Sales: 10.0%; Market strategy reported.,3.5,Structured expansion plans provided,5.0,Aligned with Construction priority value chain.,1.7,Limited evidence of inclusivity profile.,,
