Rank,Application ID,Applicant Name,Eligibility Status,Composite Score,S1_Registration_Track_Record_5% Score,S1_Registration_Track_Record_5% Reason,S2_Financial_Position_20% Score,S2_Financial_Position_20% Reason,S3_Market_Demand_Competitiveness_20% Score,S3_Market_Demand_Competitiveness_20% Reason,S4_Business_Proposal_Viability_25% Score,S4_Business_Proposal_Viability_25% Reason,S5_Value_Chain_Alignment_10% Score,S5_Value_Chain_Alignment_10% Reason,S6_Inclusivity_Sustainability_20% Score,S6_Inclusivity_Sustainability_20% Reason,Ineligibility Criterion Failed,Reason
1,Meru_JVBP,Megatech Limited,ELIGIBLE,88.00,5,Established in 1962 (63 years); Cooperative status.,5,"2024 Revenue: KES 412,580,039.00; Accounting system: Other.",5,B2B Sales: 100.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Dairy priority value chain.,5,Woman-owned enterprise,,
2,Meru_L4J8,MERU NORTH DAIRY FARMERS COOPERATIVE SOCIETY LTD,ELIGIBLE,88.00,5,Established in 2014 (11 years); Cooperative status.,5,"2024 Revenue: KES 23,850,000.00; Accounting system: Other.",5,B2B Sales: 99.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Dairy priority value chain.,5,Woman-owned enterprise,,
3,Meru_Q6HO,HAPPI FOODS FARMS LIMITED,ELIGIBLE,87.00,4,Established in 2019 (6 years); Private Company status.,5,"2024 Revenue: KES 5,481,501.00; Accounting system: QuickBooks.",5,B2B Sales: 80.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Edible Oils priority value chain.,5,Woman-owned enterprise,,
4,Meru_ZSUV,Mwees Farm Enterprises Limited,ELIGIBLE,87.00,4,Established in 2019 (6 years); Private Company status.,5,"2024 Revenue: KES 1,900,600.00; Accounting system: Other.",5,B2B Sales: 100.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with other priority value chain.,5,Woman-owned enterprise,,
5,Meru_KVPF,NTIMA DAIRY FARMERS CO-OPERATIVE SOCIETY LIMITED,ELIGIBLE,87.00,4,Established in 2018 (7 years); Cooperative status.,5,"2024 Revenue: KES 1,597,321.59; Accounting system: Other.",5,B2B Sales: 95.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Dairy priority value chain.,5,Woman-owned enterprise,,
6,Meru_XEBV,DOZIKI CONCRETE BUILDERS LIMITED,ELIGIBLE,84.00,5,Established in 2015 (10 years); Private Company status.,5,"2024 Revenue: KES 19,000,000.00; Accounting system: QuickBooks.",4,B2B Sales: 40.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Construction priority value chain.,5,Woman-owned enterprise,,
7,Meru_SVB4,IMENTI COMMUNITY BASED ORGANISATION (ICOBO) HEALTH FOODS,ELIGIBLE,84.00,5,Established in 2004 (21 years); Other status.,5,"2024 Revenue: KES 100,000,000.00; Accounting system: QuickBooks.",4,B2B Sales: 40.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with other priority value chain.,5,Woman-owned enterprise,,
8,Meru_VYGS,NAARI FARMERS CO-OPERATIVE SOCIEY LIMITED,ELIGIBLE,80.00,5,Established in 1972 (53 years); Cooperative status.,5,"2024 Revenue: KES 4,548,221.00; Accounting system: QuickBooks.",3,B2B Sales: 2.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Dairy priority value chain.,5,Woman-owned enterprise,,
9,Meru_HF3K,Arithi dairy cooperative,ELIGIBLE,79.00,4,Established in 2018 (7 years); Cooperative status.,5,"2024 Revenue: KES 2,000,000.00; Accounting system: None.",3,B2B Sales: 20.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Dairy priority value chain.,5,Woman-owned enterprise,,
10,Meru_6FRG,KATHERI COFFEE GROWERS CO-OPERATIVE SOCIETY LIMITED,ELIGIBLE,76.00,5,Established in 1953 (72 years); Cooperative status.,5,"2024 Revenue: KES 82,585,437.00; Accounting system: Other.",2,B2B Sales: 0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Coffee priority value chain.,5,Woman-owned enterprise,,
