Rank,Application ID,Applicant Name,Eligibility Status,Composite Score,S1_Registration_Track_Record_5% Score,S1_Registration_Track_Record_5% Reason,S2_Financial_Position_20% Score,S2_Financial_Position_20% Reason,S3_Market_Demand_Competitiveness_20% Score,S3_Market_Demand_Competitiveness_20% Reason,S4_Business_Proposal_Viability_25% Score,S4_Business_Proposal_Viability_25% Reason,S5_Value_Chain_Alignment_10% Score,S5_Value_Chain_Alignment_10% Reason,S6_Inclusivity_Sustainability_20% Score,S6_Inclusivity_Sustainability_20% Reason,Ineligibility Criterion Failed,Reason
1,Migori_4IRV,Dashcrop Limited,ELIGIBLE,85.80,5.0,Established in 2015 (10 years); Private Company status.,4.7,"2024 Revenue: KES 6,998,511.00; Accounting system: Other.",5.0,B2B Sales: 70.0%; Market strategy reported.,3.6,Structured expansion plans provided,5.0,Aligned with Blue Economy priority value chain.,3.5,Limited evidence of inclusivity profile.,,
2,Migori_CSYO,RONGO ORGANIC COFFEE COOPERATIVE SOCIETY,ELIGIBLE,82.40,5.0,Established in 2016 (9 years); Cooperative status.,5.0,"2024 Revenue: KES 16,000,000.00; Accounting system: None.",5.0,B2B Sales: 80.0%; Market strategy reported.,3.4,Structured expansion plans provided,3.8,Aligned with Coffee priority value chain.,3.2,Limited evidence of inclusivity profile.,,
3,Migori_IFP5,Rongo Dairy Cooperative society limited,ELIGIBLE,79.20,5.0,Established in 1988 (37 years); Cooperative status.,3.3,"2024 Revenue: KES 1,483,579.00; Accounting system: None.",5.0,B2B Sales: 80.0%; Market strategy reported.,3.4,Structured expansion plans provided,5.0,Aligned with Dairy priority value chain.,3.5,Limited evidence of inclusivity profile.,,
4,Migori_YUCF,WITHUR AGROCONSULTANTS LIMITED,ELIGIBLE,77.80,5.0,Established in 2018 (7 years); Private Company status.,3.3,"2024 Revenue: KES 1,000,000.00; Accounting system: None.",5.0,B2B Sales: 58.0%; Market strategy reported.,3.6,Structured expansion plans provided,3.8,Aligned with Coffee priority value chain.,3.5,Limited evidence of inclusivity profile.,,
5,Migori_JAE2,KITERE MINING AND MARKETING COOPERATIVE SOCIETY,ELIGIBLE,76.80,2.2,Established in 2024 (1 years); Cooperative status.,3.7,"2024 Revenue: KES 1,600,000.00; Accounting system: Other.",5.0,B2B Sales: 100.0%; Market strategy reported.,3.4,Structured expansion plans provided,5.0,Aligned with Blue Economy priority value chain.,3.2,Limited evidence of inclusivity profile.,,
6,Migori_PUC1,MIGORI COUNTY AGRICULTURAL ENTERPRISE PROGRAMME(MICAEPP),ELIGIBLE,76.10,5.0,Established in 2014 (11 years); MSME Association status.,3.8,"2024 Revenue: KES 3,400,000.00; Accounting system: None.",3.6,B2B Sales: 3.0%; Market strategy reported.,3.5,Structured expansion plans provided,5.0,Aligned with Edible Oils priority value chain.,3.5,Limited evidence of inclusivity profile.,,
7,Migori_8763,NAAO FARMERS SACCO SOCIETY LTD,ELIGIBLE,74.70,3.7,Established in 2023 (2 years); Cooperative status.,3.2,"2024 Revenue: KES 600,000.00; Accounting system: QuickBooks.",4.9,B2B Sales: 40.0%; Market strategy reported.,3.4,Structured expansion plans provided,3.8,Aligned with other priority value chain.,3.5,Limited evidence of inclusivity profile.,,
8,Migori_TMMM,Siabai farmers co-operative society limited,ELIGIBLE,72.00,5.0,Established in 2018 (7 years); Cooperative status.,5.0,"2024 Revenue: KES 8,850,300.00; Accounting system: Pastel.",2.4,B2B Sales: 0.0%; Market strategy reported.,3.4,Structured expansion plans provided,3.8,Aligned with Coffee priority value chain.,3.2,Limited evidence of inclusivity profile.,,
9,Migori_28YA,Garden of Delight Banana Farmers' Co-operative Society Limited,ELIGIBLE,69.00,2.2,Established in 2024 (1 years); Cooperative status.,4.2,"2024 Revenue: KES 4,987,596.00; Accounting system: Other.",2.6,B2B Sales: 0.0%; Market strategy reported.,3.6,Structured expansion plans provided,3.8,Aligned with other priority value chain.,3.5,Limited evidence of inclusivity profile.,,
10,Migori_OPXO,GINGO YOUTH GROUP,ELIGIBLE,66.60,5.0,Established in 2012 (13 years); Other status.,2.3,"2024 Revenue: KES 350,000.00; Accounting system: None.",2.6,B2B Sales: 0.0%; Market strategy reported.,3.6,Structured expansion plans provided,5.0,Aligned with Dairy priority value chain.,3.5,Limited evidence of inclusivity profile.,,
11,Migori_NYSM,Soil Is Gold Farmers Service Centre Co.Ltd,ELIGIBLE,62.70,4.1,Established in 2022 (3 years); Private Company status.,2.3,"2024 Revenue: KES 470,000.00; Accounting system: None.",2.4,B2B Sales: 0.0%; Market strategy reported.,3.4,Structured expansion plans provided,5.0,Aligned with Dairy priority value chain.,3.2,Limited evidence of inclusivity profile.,,
12,Migori_4DPG,George254 Cyber,ELIGIBLE,62.00,3.8,Established in 2022 (3 years); Other status.,2.7,"2024 Revenue: KES 32,000.00; Accounting system: Other.",3.9,B2B Sales: 20.0%; Market strategy reported.,3.4,Structured expansion plans provided,3.8,Aligned with other priority value chain.,1.8,Limited evidence of inclusivity profile.,,
