Rank,Application ID,Applicant Name,Eligibility Status,Composite Score,S1_Registration_Track_Record_5% Score,S1_Registration_Track_Record_5% Reason,S2_Financial_Position_20% Score,S2_Financial_Position_20% Reason,S3_Market_Demand_Competitiveness_20% Score,S3_Market_Demand_Competitiveness_20% Reason,S4_Business_Proposal_Viability_25% Score,S4_Business_Proposal_Viability_25% Reason,S5_Value_Chain_Alignment_10% Score,S5_Value_Chain_Alignment_10% Reason,S6_Inclusivity_Sustainability_20% Score,S6_Inclusivity_Sustainability_20% Reason,Ineligibility Criterion Failed,Reason
1,Mombasa_PYKL,WAKILISHA LOGISTICS & GENERAL,ELIGIBLE,87.00,4,Established in 2020 (5 years); Private Company status.,5,"2024 Revenue: KES 2,000,000.00; Accounting system: QuickBooks.",5,B2B Sales: 60.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Blue Economy priority value chain.,5,Woman-owned enterprise,,
2,Mombasa_DRDT,gemini flour mills,ELIGIBLE,87.00,4,Established in 2019 (6 years); Private Company status.,5,"2024 Revenue: KES 1,400,000.00; Accounting system: Other.",5,B2B Sales: 75.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with other priority value chain.,5,Woman-owned enterprise,,
3,Mombasa_GJC8,CESHA INVESTMENT LTD,ELIGIBLE,86.00,3,Established in 2021 (4 years); Private Company status.,5,"2024 Revenue: KES 528,000.00; Accounting system: Zoho Books.",5,B2B Sales: 65.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with other priority value chain.,5,Woman-owned enterprise,,
4,Mombasa_RA8R,UMOJA CLEANERS YOUTH GROUP,ELIGIBLE,83.00,4,Established in 2020 (5 years); Private Company status.,4,"2024 Revenue: KES 200,750.00; Accounting system: Other.",5,B2B Sales: 75.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Blue Economy priority value chain.,5,Woman-owned enterprise,,
5,Mombasa_DLRJ,Mtopanga river C.B.O,ELIGIBLE,83.00,4,Established in 2019 (6 years); MSME Association status.,5,"2024 Revenue: KES 2,076,000.00; Accounting system: Other.",4,B2B Sales: 35.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Blue Economy priority value chain.,5,Woman-owned enterprise,,
6,Mombasa_VQWR,Mrima Community Health Unit,ELIGIBLE,79.00,4,Established in 2019 (6 years); Private Company status.,5,"2024 Revenue: KES 950,000.00; Accounting system: Other.",3,B2B Sales: 20.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Blue Economy priority value chain.,5,Woman-owned enterprise,,
7,Mombasa_OJA3,M-PAWA C.B.O,ELIGIBLE,75.00,4,Established in 2016 (9 years); Other status.,3,"2024 Revenue: KES 200,000.00; Accounting system: None.",4,B2B Sales: 50.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Blue Economy priority value chain.,5,Woman-owned enterprise,,
8,Mombasa_BSOF,global champions,ELIGIBLE,74.00,3,Established in 2023 (2 years); Other status.,3,2024 Revenue: KES 5.00; Accounting system: Zoho Books.,4,B2B Sales: 44.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Blue Economy priority value chain.,5,Woman-owned enterprise,,
9,Mombasa_JNSB,COAST DEVELOPMENT LOBBY SELF HELP GROUP,ELIGIBLE,74.00,3,Established in 2022 (3 years); Other status.,2,"2024 Revenue: KES 50,000.00; Accounting system: None.",5,B2B Sales: 100.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Blue Economy priority value chain.,5,Woman-owned enterprise,,
10,Mombasa_FASC,Clean Flow expert Waste management and Recycling Company,ELIGIBLE,72.00,1,Established in 2025 (0 years); Private Company status.,2,2024 Revenue: KES 0.00; Accounting system: Other.,5,B2B Sales: 60.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Blue Economy priority value chain.,5,Woman-owned enterprise,,
