Rank,Application ID,Applicant Name,Eligibility Status,Composite Score,S1_Registration_Track_Record_5% Score,S1_Registration_Track_Record_5% Reason,S2_Financial_Position_20% Score,S2_Financial_Position_20% Reason,S3_Market_Demand_Competitiveness_20% Score,S3_Market_Demand_Competitiveness_20% Reason,S4_Business_Proposal_Viability_25% Score,S4_Business_Proposal_Viability_25% Reason,S5_Value_Chain_Alignment_10% Score,S5_Value_Chain_Alignment_10% Reason,S6_Inclusivity_Sustainability_20% Score,S6_Inclusivity_Sustainability_20% Reason,Ineligibility Criterion Failed,Reason
1,Murang_a_6PEX,KAKAKI DAIRY FARMERS CO-OPERATIVE SOCIETY LTD,ELIGIBLE,88.00,5,Established in 2015 (10 years); Cooperative status.,5,"2024 Revenue: KES 46,599,644.00; Accounting system: None.",5,B2B Sales: 90.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Dairy priority value chain.,5,Woman-owned enterprise,,
2,Murang_a_FVXE,Forthall CBO,ELIGIBLE,87.00,4,Established in 2020 (5 years); Other status.,5,"2024 Revenue: KES 2,500,000.00; Accounting system: QuickBooks.",5,B2B Sales: 70.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Dairy priority value chain.,5,Woman-owned enterprise,,
3,Murang_a_MQCY,Nduti Tea Factory,ELIGIBLE,80.00,5,Established in 2002 (23 years); Private Company status.,5,"2024 Revenue: KES 1,300,000,000.00; Accounting system: Other.",3,B2B Sales: 1.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Tea priority value chain.,5,Woman-owned enterprise,,
4,Murang_a_CVA8,KANGIRI FARMERS COOPERATIVE SOCIETY LTD,ELIGIBLE,76.00,5,Established in 2005 (20 years); Cooperative status.,5,"2024 Revenue: KES 128,111,796.52; Accounting system: None.",2,B2B Sales: 0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Coffee priority value chain.,5,Woman-owned enterprise,,
5,Murang_a_IT0C,KIAWANDUMA,ELIGIBLE,76.00,5,Established in 1998 (27 years); MSME Association status.,5,"2024 Revenue: KES 13,485,995.00; Accounting system: None.",2,B2B Sales: 0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Coffee priority value chain.,5,Woman-owned enterprise,,
6,Murang_a_XWKM,MURANGA AVOCADO FARMERS COOPERATIVE UNION LTD,ELIGIBLE,75.00,4,Established in 2020 (5 years); Cooperative status.,5,"2024 Revenue: KES 6,524,800.00; Accounting system: QuickBooks.",2,B2B Sales: 0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Edible Oils priority value chain.,5,Woman-owned enterprise,,
7,Murang_a_XADX,New Nginda Dairy Cooperative society Ltd,ELIGIBLE,72.00,5,Established in 2011 (14 years); Cooperative status.,5,"2024 Revenue: KES 241,098,109.00; Accounting system: None.",5,B2B Sales: 98.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Dairy priority value chain.,1,Limited evidence of inclusivity profile.,,
8,Murang_a_SDEH,Kiharu avocado Growers Cooperative Society,ELIGIBLE,68.00,5,Established in 2015 (10 years); Cooperative status.,5,"2024 Revenue: KES 745,420.00; Accounting system: Other.",4,B2B Sales: 47.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with other priority value chain.,1,Limited evidence of inclusivity profile.,,
9,Murang_a_DASF,PEASANT COFFEE FARMERS ASSOCIATION OF KENYA,ELIGIBLE,63.00,4,Established in 2016 (9 years); Other status.,2,2024 Revenue: KES 0.00; Accounting system: Other.,2,B2B Sales: 0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Coffee priority value chain.,5,Woman-owned enterprise,,
10,Murang_a_4JGB,KAMACHARIA FARMERS CO-OPERATICE SOCIETY LIMITED,ELIGIBLE,60.00,5,Established in 1993 (32 years); Cooperative status.,5,"2024 Revenue: KES 340,167,101.96; Accounting system: Other.",2,B2B Sales: 0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Coffee priority value chain.,1,Limited evidence of inclusivity profile.,,
11,Murang_a_ICCR,Olivado Fresh,ELIGIBLE,59.00,4,Established in 2016 (9 years); Private Company status.,5,"2024 Revenue: KES 20,780,074.00; Accounting system: Other.",2,B2B Sales: 0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Edible Oils priority value chain.,1,Limited evidence of inclusivity profile.,,
,Murang_a_L5WF,IYEGO FARMERS COOPERATIVE SOCIETY LTD,INELIGIBLE,0.00,,,,,,,,,,,,,E4,No financial evidence (Bank/Mpesa) attached.
,Murang_a_RKJU,Mali Shabani Self Help Group,INELIGIBLE,0.00,,,,,,,,,,,,,E4,No financial evidence (Bank/Mpesa) attached.
