Rank,Application ID,Applicant Name,Eligibility Status,Composite Score,S1_Registration_Track_Record_5% Score,S1_Registration_Track_Record_5% Reason,S2_Financial_Position_20% Score,S2_Financial_Position_20% Reason,S3_Market_Demand_Competitiveness_20% Score,S3_Market_Demand_Competitiveness_20% Reason,S4_Business_Proposal_Viability_25% Score,S4_Business_Proposal_Viability_25% Reason,S5_Value_Chain_Alignment_10% Score,S5_Value_Chain_Alignment_10% Reason,S6_Inclusivity_Sustainability_20% Score,S6_Inclusivity_Sustainability_20% Reason,Ineligibility Criterion Failed,Reason
1,Nairobi_X0WP,FOMM DECOR,ELIGIBLE,87.00,5.0,Established in 2018 (7 years); Private Company status.,5.0,"2024 Revenue: KES 17,284,675.00; Accounting system: Zoho Books.",5.0,B2B Sales: 70.0%; Market strategy reported.,3.6,Structured expansion plans provided,5.0,Aligned with Construction priority value chain.,3.5,Limited evidence of inclusivity profile.,,
2,Nairobi_T2UY,LEATHER AND FOOTWARE MANUFACTURING CLUSTER,ELIGIBLE,85.60,3.6,Established in 2023 (2 years); Private Company status.,5.0,"2024 Revenue: KES 14,963,790.00; Accounting system: QuickBooks.",5.0,B2B Sales: 40.0%; Market strategy reported.,3.6,Structured expansion plans provided,5.0,Aligned with Leather priority value chain.,3.5,Limited evidence of inclusivity profile.,,
3,Nairobi_NFJ3,DAVIS B KENYA ENTERPRISES,ELIGIBLE,85.50,4.8,Established in 2017 (8 years); MSME Association status.,5.0,"2024 Revenue: KES 11,233,496.00; Accounting system: QuickBooks.",5.0,B2B Sales: 40.0%; Market strategy reported.,3.5,Structured expansion plans provided,5.0,Aligned with Edible Oils priority value chain.,3.3,Limited evidence of inclusivity profile.,,
4,Nairobi_60AJ,TUFROS GENERAL ENTERPRISE JV POST MODERN FARMS LIMITED (DAIRY Animal Feeds production),ELIGIBLE,85.00,4.6,Established in 2019 (6 years); Private Company status.,5.0,"2024 Revenue: KES 150,000,000.00; Accounting system: QuickBooks.",4.6,B2B Sales: 35.0%; Market strategy reported.,3.6,Structured expansion plans provided,5.0,Aligned with Dairy priority value chain.,3.5,Limited evidence of inclusivity profile.,,
5,Nairobi_PQUT,Riagah general supplies,ELIGIBLE,84.80,4.6,Established in 2020 (5 years); Private Company status.,5.0,"2024 Revenue: KES 73,000,000.00; Accounting system: QuickBooks.",4.9,B2B Sales: 40.0%; Market strategy reported.,3.4,Structured expansion plans provided,5.0,Aligned with Blue Economy priority value chain.,3.4,Limited evidence of inclusivity profile.,,
6,Nairobi_TRZ5,Kayworks Trading Company Limited,ELIGIBLE,83.90,4.1,Established in 2021 (4 years); Private Company status.,4.7,"2024 Revenue: KES 5,000,000.00; Accounting system: QuickBooks.",5.0,B2B Sales: 40.0%; Market strategy reported.,3.4,Structured expansion plans provided,5.0,Aligned with Edible Oils priority value chain.,3.5,Limited evidence of inclusivity profile.,,
7,Nairobi_TCK6,AMORE BUSINESS SYSTEMS AND,ELIGIBLE,83.00,4.2,Established in 2022 (3 years); Private Company status.,4.2,"2024 Revenue: KES 4,089,718.00; Accounting system: Other.",5.0,B2B Sales: 40.0%; Market strategy reported.,3.6,Structured expansion plans provided,5.0,Aligned with Textiles priority value chain.,3.5,Limited evidence of inclusivity profile.,,
8,Nairobi_WUY9,MUHARATA FOOD CO. LTD.,ELIGIBLE,82.40,5.0,Established in 1983 (42 years); Private Company status.,5.0,"2024 Revenue: KES 30,999,494.00; Accounting system: None.",4.9,B2B Sales: 50.0%; Market strategy reported.,3.4,Structured expansion plans provided,3.8,Aligned with other priority value chain.,3.3,Limited evidence of inclusivity profile.,,
9,Nairobi_NCJY,MUHARATA FOOD CO. LTD.,ELIGIBLE,82.00,5.0,Established in 1983 (42 years); Private Company status.,5.0,"2024 Revenue: KES 32,984,123.00; Accounting system: None.",4.9,B2B Sales: 50.0%; Market strategy reported.,3.4,Structured expansion plans provided,3.8,Aligned with other priority value chain.,3.2,Limited evidence of inclusivity profile.,,
10,Nairobi_KMOJ,Kamukunji Jua Kali Association,ELIGIBLE,81.60,5.0,Established in 1994 (31 years); MSME Association status.,4.2,"2024 Revenue: KES 3,240,000.00; Accounting system: QuickBooks.",5.0,B2B Sales: 89.0%; Market strategy reported.,3.4,Structured expansion plans provided,5.0,Aligned with Construction priority value chain.,3.2,Limited evidence of inclusivity profile.,,
