Rank,Application ID,Applicant Name,Eligibility Status,Composite Score,S1_Registration_Track_Record_5% Score,S1_Registration_Track_Record_5% Reason,S2_Financial_Position_20% Score,S2_Financial_Position_20% Reason,S3_Market_Demand_Competitiveness_20% Score,S3_Market_Demand_Competitiveness_20% Reason,S4_Business_Proposal_Viability_25% Score,S4_Business_Proposal_Viability_25% Reason,S5_Value_Chain_Alignment_10% Score,S5_Value_Chain_Alignment_10% Reason,S6_Inclusivity_Sustainability_20% Score,S6_Inclusivity_Sustainability_20% Reason,Ineligibility Criterion Failed,Reason
1,Nakuru_PL26,Waranna AO Enterprises Limited,ELIGIBLE,88.00,5,Established in 2004 (21 years); Private Company status.,5,"2024 Revenue: KES 20,000,000.00; Accounting system: Zoho Books.",5,B2B Sales: 60.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Construction priority value chain.,5,Woman-owned enterprise,,
2,Nakuru_XYVX,VUNALOT FARM2FORK LIMITED,ELIGIBLE,86.00,3,Established in 2022 (3 years); Private Company status.,5,"2024 Revenue: KES 3,654,700.00; Accounting system: QuickBooks.",5,B2B Sales: 60.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with other priority value chain.,5,Woman-owned enterprise,,
3,Nakuru_W2VR,wikurie coffee growers co-operative society limited,ELIGIBLE,84.00,5,Established in 1980 (45 years); Cooperative status.,4,"2024 Revenue: KES 750,000.00; Accounting system: None.",5,B2B Sales: 100.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Coffee priority value chain.,5,Woman-owned enterprise,,
4,Nakuru_ZVA2,ENSURE VENTURES,ELIGIBLE,82.00,3,Established in 2022 (3 years); Other status.,5,"2024 Revenue: KES 3,000,000.00; Accounting system: QuickBooks.",4,B2B Sales: 30.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Construction priority value chain.,5,Woman-owned enterprise,,
5,Nakuru_MH5U,Association of Insect Food and Feed Industry Professionals (AIFIP),ELIGIBLE,78.00,3,Established in 2023 (2 years); Private Company status.,5,"2024 Revenue: KES 732,500.00; Accounting system: Other.",3,B2B Sales: 20.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Blue Economy priority value chain.,5,Woman-owned enterprise,,
6,Nakuru_Z9O9,KIREMBA FCS,ELIGIBLE,76.00,5,Established in 2006 (19 years); Cooperative status.,5,"2024 Revenue: KES 40,000,000.00; Accounting system: QuickBooks.",2,B2B Sales: 0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Coffee priority value chain.,5,Woman-owned enterprise,,
7,Nakuru_YC9M,SEASONSPRING FRESH SUPPLIERS LTD.,ELIGIBLE,70.00,3,Established in 2022 (3 years); Private Company status.,5,"2024 Revenue: KES 1,924,554.00; Accounting system: Other.",5,B2B Sales: 60.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Dairy priority value chain.,1,Limited evidence of inclusivity profile.,,
8,Nakuru_X343,NOVAIN LIMITED,ELIGIBLE,67.00,4,Established in 2020 (5 years); Private Company status.,5,"2024 Revenue: KES 2,500,000.00; Accounting system: QuickBooks.",4,B2B Sales: 30.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Construction priority value chain.,1,Limited evidence of inclusivity profile.,,
9,Nakuru_5N6P,Dapdapoi Enterprises,ELIGIBLE,66.00,3,Established in 2023 (2 years); MSME Association status.,2,"2024 Revenue: KES 100,000.00; Accounting system: None.",3,B2B Sales: 1.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Dairy priority value chain.,5,Woman-owned enterprise,,
10,Nakuru_V7JB,Youth,ELIGIBLE,59.00,4,Established in 2019 (6 years); Private Company status.,3,"2024 Revenue: KES 90,000.00; Accounting system: Other.",4,B2B Sales: 23.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with other priority value chain.,1,Limited evidence of inclusivity profile.,,
,Nakuru_CWHO,ENDAO SOLAI FARMERS CO-OPERATIVE SOCIETY LIMITED,INELIGIBLE,0.00,,,,,,,,,,,,,E4,No financial evidence (Bank/Mpesa) attached.
,Nakuru_DCFM,Farm Links Veterinary and Consultancy services,INELIGIBLE,0.00,,,,,,,,,,,,,E4,No financial evidence (Bank/Mpesa) attached.
