Rank,Application ID,Applicant Name,Eligibility Status,Composite Score,S1_Registration_Track_Record_5% Score,S1_Registration_Track_Record_5% Reason,S2_Financial_Position_20% Score,S2_Financial_Position_20% Reason,S3_Market_Demand_Competitiveness_20% Score,S3_Market_Demand_Competitiveness_20% Reason,S4_Business_Proposal_Viability_25% Score,S4_Business_Proposal_Viability_25% Reason,S5_Value_Chain_Alignment_10% Score,S5_Value_Chain_Alignment_10% Reason,S6_Inclusivity_Sustainability_20% Score,S6_Inclusivity_Sustainability_20% Reason,Ineligibility Criterion Failed,Reason
1,Nandi_HBDN,CHEBARUS MARKETING COOPERATIVE SOCIETY LIMITED,ELIGIBLE,88.00,5,Established in 2010 (15 years); Cooperative status.,5,"2024 Revenue: KES 22,697,409.00; Accounting system: QuickBooks.",5,B2B Sales: 100.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Dairy priority value chain.,5,Woman-owned enterprise,,
2,Nandi_KG3D,TANYKINA DARIRY PLANT LIMITED,ELIGIBLE,88.00,5,Established in 2003 (22 years); Private Company status.,5,"2024 Revenue: KES 205,196,563.00; Accounting system: Other.",5,B2B Sales: 95.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Dairy priority value chain.,5,Woman-owned enterprise,,
3,Nandi_YUHN,CHESTENA TECHNOLOGY ENTERPRISES,ELIGIBLE,84.00,5,Established in 2012 (13 years); MSME Association status.,5,"2024 Revenue: KES 1,000,000.00; Accounting system: Other.",4,B2B Sales: 25.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with other priority value chain.,5,Woman-owned enterprise,,
4,Nandi_NB32,GEOSHA BUILDING AND CONSTRUCTION,ELIGIBLE,78.00,3,Established in 2022 (3 years); MSME Association status.,3,"2024 Revenue: KES 279,000.00; Accounting system: None.",5,B2B Sales: 55.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Construction priority value chain.,5,Woman-owned enterprise,,
5,Nandi_3MFT,Kelvin,ELIGIBLE,76.00,1,Established in 2025 (0 years); Private Company status.,4,"2024 Revenue: KES 250,000.00; Accounting system: Wave.",4,B2B Sales: 25.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with other priority value chain.,5,Woman-owned enterprise,,
6,Nandi_E5HD,SIGILAI COFFEE FARMERS COOPERATIVE SOCIETY,ELIGIBLE,76.00,5,Established in 2015 (10 years); Cooperative status.,5,"2024 Revenue: KES 960,000.00; Accounting system: QuickBooks.",2,B2B Sales: 0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Coffee priority value chain.,5,Woman-owned enterprise,,
7,Nandi_G258,KOIMET FARMERS COOPERATIVE SOCIETY LTD,ELIGIBLE,76.00,5,Established in 2011 (14 years); Cooperative status.,5,"2024 Revenue: KES 41,928,371.00; Accounting system: None.",2,B2B Sales: 0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Coffee priority value chain.,5,Woman-owned enterprise,,
8,Nandi_DSH5,CHEBOKAPTICH SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED,ELIGIBLE,76.00,5,Established in 2015 (10 years); Cooperative status.,5,"2024 Revenue: KES 2,688,435.00; Accounting system: Other.",2,B2B Sales: 0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Tea priority value chain.,5,Woman-owned enterprise,,
9,Nandi_NJAG,KIPSIELE FARMERS CO-OPERATIVE SOCIETY LIMITED,ELIGIBLE,74.00,3,Established in 2022 (3 years); Cooperative status.,5,"2024 Revenue: KES 154,133,799.00; Accounting system: QuickBooks.",2,B2B Sales: 0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Coffee priority value chain.,5,Woman-owned enterprise,,
10,Nandi_ZGVY,KIPSANGUI DAIRY FARMERS CO-OPERATIVE SOCIETY LIMITED,ELIGIBLE,71.00,4,Established in 2019 (6 years); Cooperative status.,5,"2024 Revenue: KES 18,000,000.00; Accounting system: None.",5,B2B Sales: 95.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Dairy priority value chain.,1,Limited evidence of inclusivity profile.,,
