Rank,Application ID,Applicant Name,Eligibility Status,Composite Score,S1_Registration_Track_Record_5% Score,S1_Registration_Track_Record_5% Reason,S2_Financial_Position_20% Score,S2_Financial_Position_20% Reason,S3_Market_Demand_Competitiveness_20% Score,S3_Market_Demand_Competitiveness_20% Reason,S4_Business_Proposal_Viability_25% Score,S4_Business_Proposal_Viability_25% Reason,S5_Value_Chain_Alignment_10% Score,S5_Value_Chain_Alignment_10% Reason,S6_Inclusivity_Sustainability_20% Score,S6_Inclusivity_Sustainability_20% Reason,Ineligibility Criterion Failed,Reason
1,Nyamira_CZAD,LIGHT-OF-HOPE,ELIGIBLE,87.00,4,Established in 2020 (5 years); Other status.,5,"2024 Revenue: KES 794,450.00; Accounting system: Other.",5,B2B Sales: 80.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Textiles priority value chain.,5,Woman-owned enterprise,,
2,Nyamira_Q7OL,ZEENAP PEDNYE DISTRIBUTORS,ELIGIBLE,86.00,3,Established in 2023 (2 years); Private Company status.,5,"2024 Revenue: KES 1,500,750.00; Accounting system: Zoho Books.",5,B2B Sales: 95.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with other priority value chain.,5,Woman-owned enterprise,,
3,Nyamira_ZQGG,ISOGE FARMERS CO-OPERATIVE SOCIETY LIMITED,ELIGIBLE,84.00,5,Established in 1967 (58 years); Cooperative status.,4,"2024 Revenue: KES 262,669.00; Accounting system: QuickBooks.",5,B2B Sales: 100.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Dairy priority value chain.,5,Woman-owned enterprise,,
4,Nyamira_FB0W,Nyamira Rural Women Farmers Cooperative Society,ELIGIBLE,82.00,3,Established in 2021 (4 years); Cooperative status.,5,"2024 Revenue: KES 4,918,363.00; Accounting system: QuickBooks.",4,B2B Sales: 50.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Textiles priority value chain.,5,Woman-owned enterprise,,
5,Nyamira_H5ZJ,Nyangorora Banana Processors Limited Company,ELIGIBLE,80.00,5,Established in 2013 (12 years); Private Company status.,5,"2024 Revenue: KES 6,500,000.00; Accounting system: Zoho Books.",3,B2B Sales: 20.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with other priority value chain.,5,Woman-owned enterprise,,
6,Nyamira_4RV3,EAKA FARMERS CO-OPERATIVE SOCIETY LIMITED,ELIGIBLE,72.00,5,Established in 1957 (68 years); Cooperative status.,5,"2024 Revenue: KES 17,000,000.00; Accounting system: QuickBooks.",5,B2B Sales: 100.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Coffee priority value chain.,1,Limited evidence of inclusivity profile.,,
7,Nyamira_SB78,Keera Kiendege FCS,ELIGIBLE,72.00,5,Established in 2009 (16 years); Cooperative status.,5,"2024 Revenue: KES 3,829,115.00; Accounting system: None.",5,B2B Sales: 100.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Coffee priority value chain.,1,Limited evidence of inclusivity profile.,,
8,Nyamira_Y5R5,MKULIMA SAWA YOUTH GROUP,ELIGIBLE,71.00,4,Established in 2020 (5 years); Other status.,3,"2024 Revenue: KES 320,000.00; Accounting system: None.",3,B2B Sales: 15.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with other priority value chain.,5,Woman-owned enterprise,,
9,Nyamira_LUYO,GACHUBA COMMUNITY SACCO,ELIGIBLE,70.00,3,Established in 2023 (2 years); Cooperative status.,4,"2024 Revenue: KES 135,750.00; Accounting system: Other.",2,B2B Sales: 0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Coffee priority value chain.,5,Woman-owned enterprise,,
10,Nyamira_CWO9,MAGWAGWA FCS LTD,ELIGIBLE,64.00,5,Established in 1959 (66 years); Cooperative status.,5,"2024 Revenue: KES 29,817,752.00; Accounting system: None.",3,B2B Sales: 10.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Coffee priority value chain.,1,Limited evidence of inclusivity profile.,,
