Rank,Application ID,Applicant Name,Eligibility Status,Composite Score,S1_Registration_Track_Record_5% Score,S1_Registration_Track_Record_5% Reason,S2_Financial_Position_20% Score,S2_Financial_Position_20% Reason,S3_Market_Demand_Competitiveness_20% Score,S3_Market_Demand_Competitiveness_20% Reason,S4_Business_Proposal_Viability_25% Score,S4_Business_Proposal_Viability_25% Reason,S5_Value_Chain_Alignment_10% Score,S5_Value_Chain_Alignment_10% Reason,S6_Inclusivity_Sustainability_20% Score,S6_Inclusivity_Sustainability_20% Reason,Ineligibility Criterion Failed,Reason
1,Nyeri_7LZE,BRADEGATE ORGANIC COFFEE ESTATE,ELIGIBLE,88.00,5,Established in 2011 (14 years); MSME Association status.,5,"2024 Revenue: KES 3,002,749.00; Accounting system: None.",5,B2B Sales: 60.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Coffee priority value chain.,5,Woman-owned enterprise,,
2,Nyeri_6QOQ,SLOPES DAIRY CO-OPERATIVE SOCIETY LIMITED,ELIGIBLE,84.00,5,Established in 2015 (10 years); Cooperative status.,5,"2024 Revenue: KES 355,502,494.00; Accounting system: Other.",4,B2B Sales: 50.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Dairy priority value chain.,5,Woman-owned enterprise,,
3,Nyeri_7IWV,GATURIRI DAIRY FARMERS CO-OPERATIVE SOCIETY LIMITED,ELIGIBLE,84.00,5,Established in 1991 (34 years); Cooperative status.,5,"2024 Revenue: KES 13,000,000.00; Accounting system: None.",4,B2B Sales: 50.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Dairy priority value chain.,5,Woman-owned enterprise,,
4,Nyeri_AUX6,Waihiga Coffee Estate,ELIGIBLE,80.00,5,Established in 2000 (25 years); Private Company status.,5,"2024 Revenue: KES 1,200,000.00; Accounting system: None.",3,B2B Sales: 1.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Coffee priority value chain.,5,Woman-owned enterprise,,
5,Nyeri_6XPE,LIGHT GENESIS WOMEN GROUP,ELIGIBLE,78.00,3,Established in 2022 (3 years); MSME Association status.,3,"2024 Revenue: KES 200,000.00; Accounting system: None.",5,B2B Sales: 100.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Tea priority value chain.,5,Woman-owned enterprise,,
6,Nyeri_D4BD,NEW GIKARU FARMERS CO-OPERATIVE SOCIETY LIMITED,ELIGIBLE,76.00,5,Established in 2001 (24 years); Cooperative status.,5,"2024 Revenue: KES 301,000,000.00; Accounting system: None.",2,B2B Sales: 0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Coffee priority value chain.,5,Woman-owned enterprise,,
7,Nyeri_REEU,M HUB ARTISANS,ELIGIBLE,72.00,1,Established in 2025 (0 years); MSME Association status.,2,"2024 Revenue: KES 100,000.00; Accounting system: None.",5,B2B Sales: 55.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with other priority value chain.,5,Woman-owned enterprise,,
8,Nyeri_EENW,Tetu visionary,ELIGIBLE,70.00,3,Established in 2021 (4 years); MSME Association status.,4,"2024 Revenue: KES 235,000.00; Accounting system: QuickBooks.",2,B2B Sales: 0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Dairy priority value chain.,5,Woman-owned enterprise,,
9,Nyeri_Y3HI,Endana JuakaliFocus,ELIGIBLE,58.00,3,Established in 2022 (3 years); MSME Association status.,4,"2024 Revenue: KES 155,000.00; Accounting system: QuickBooks.",3,B2B Sales: 19.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with other priority value chain.,1,Limited evidence of inclusivity profile.,,
10,Nyeri_NO0K,MT KENYA HONEY VENTURES SHG,ELIGIBLE,42.00,3,Established in 2023 (2 years); Other status.,1,2024 Revenue: KES 0.00; Accounting system: None.,2,B2B Sales: 0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with other priority value chain.,1,Limited evidence of inclusivity profile.,,
,Nyeri_G1QL,PIO NYERI YOUTH GROUP,INELIGIBLE,0.00,,,,,,,,,,,,,E4,No financial evidence (Bank/Mpesa) attached.
