Rank,Application ID,Applicant Name,Eligibility Status,Composite Score,S1_Registration_Track_Record_5% Score,S1_Registration_Track_Record_5% Reason,S2_Financial_Position_20% Score,S2_Financial_Position_20% Reason,S3_Market_Demand_Competitiveness_20% Score,S3_Market_Demand_Competitiveness_20% Reason,S4_Business_Proposal_Viability_25% Score,S4_Business_Proposal_Viability_25% Reason,S5_Value_Chain_Alignment_10% Score,S5_Value_Chain_Alignment_10% Reason,S6_Inclusivity_Sustainability_20% Score,S6_Inclusivity_Sustainability_20% Reason,Ineligibility Criterion Failed,Reason
1,Samburu_6SPV,RESTORATION HOUSING CO-OPERATIVE,ELIGIBLE,79.60,5.0,Established in 2014 (11 years); Cooperative status.,3.7,"2024 Revenue: KES 1,500,000.00; Accounting system: QuickBooks.",5.0,B2B Sales: 60.0%; Market strategy reported.,3.4,Structured expansion plans provided,5.0,Aligned with Construction priority value chain.,3.2,Limited evidence of inclusivity profile.,,
2,Samburu_DT6K,SAMBURU LITERACY INITIATIVE,ELIGIBLE,78.80,3.8,Established in 2021 (4 years); MSME Association status.,3.7,"2024 Revenue: KES 1,200,000.00; Accounting system: QuickBooks.",5.0,B2B Sales: 70.0%; Market strategy reported.,3.4,Structured expansion plans provided,5.0,Aligned with Dairy priority value chain.,3.3,Limited evidence of inclusivity profile.,,
3,Samburu_QQS9,METUMI SELF HELP GROUP,ELIGIBLE,77.50,3.3,Established in 2023 (2 years); MSME Association status.,3.7,"2024 Revenue: KES 1,200,000.00; Accounting system: QuickBooks.",4.9,B2B Sales: 40.0%; Market strategy reported.,3.4,Structured expansion plans provided,5.0,Aligned with Construction priority value chain.,3.2,Limited evidence of inclusivity profile.,,
4,Samburu_0F32,NKISERIAN SILANGO SELF HELP GROUP,ELIGIBLE,75.10,3.3,Established in 2023 (2 years); Other status.,3.7,"2024 Revenue: KES 1,250,000.00; Accounting system: QuickBooks.",4.9,B2B Sales: 45.0%; Market strategy reported.,3.4,Structured expansion plans provided,3.8,Aligned with other priority value chain.,3.2,Limited evidence of inclusivity profile.,,
5,Samburu_NQAE,SAMBURU WOMEN EMPOWERMENT PROGRAMME,ELIGIBLE,73.20,3.8,Established in 2022 (3 years); MSME Association status.,2.7,"2024 Revenue: KES 200,000.00; Accounting system: QuickBooks.",5.0,B2B Sales: 60.0%; Market strategy reported.,3.4,Structured expansion plans provided,3.8,Aligned with other priority value chain.,3.5,Limited evidence of inclusivity profile.,,
6,Samburu_V9KT,WARDAN AGENCIES,ELIGIBLE,70.30,3.6,Established in 2023 (2 years); Private Company status.,3.2,"2024 Revenue: KES 800,000.00; Accounting system: QuickBooks.",4.9,B2B Sales: 40.0%; Market strategy reported.,3.5,Structured expansion plans provided,5.0,Aligned with Construction priority value chain.,1.7,Limited evidence of inclusivity profile.,,
7,Samburu_HACC,Marmar Suguta Honey,ELIGIBLE,68.50,2.1,Established in 2024 (1 years); Private Company status.,2.3,"2024 Revenue: KES 50,000.00; Accounting system: None.",4.5,B2B Sales: 30.0%; Market strategy reported.,3.6,Structured expansion plans provided,3.8,Aligned with other priority value chain.,3.4,Limited evidence of inclusivity profile.,,
8,Samburu_PRNO,ntarasi association,ELIGIBLE,65.90,3.3,Established in 2023 (2 years); MSME Association status.,2.7,"2024 Revenue: KES 350,000.00; Accounting system: QuickBooks.",5.0,B2B Sales: 80.0%; Market strategy reported.,3.4,Structured expansion plans provided,3.8,Aligned with other priority value chain.,1.8,Limited evidence of inclusivity profile.,,
9,Samburu_PFPM,NARAMAT NTANASI GROUP,ELIGIBLE,64.80,1.8,Established in 2024 (1 years); MSME Association status.,2.3,"2024 Revenue: KES 300,000.00; Accounting system: None.",5.0,B2B Sales: 60.0%; Market strategy reported.,3.4,Structured expansion plans provided,5.0,Aligned with Dairy priority value chain.,1.7,Limited evidence of inclusivity profile.,,
,Samburu_9A5J,APIARO WINDOWS group,INELIGIBLE,0.00,,,,,,,,,,,,,E4,No financial evidence (Bank/Mpesa) attached.
