Rank,Application ID,Applicant Name,Eligibility Status,Composite Score,S1_Registration_Track_Record_5% Score,S1_Registration_Track_Record_5% Reason,S2_Financial_Position_20% Score,S2_Financial_Position_20% Reason,S3_Market_Demand_Competitiveness_20% Score,S3_Market_Demand_Competitiveness_20% Reason,S4_Business_Proposal_Viability_25% Score,S4_Business_Proposal_Viability_25% Reason,S5_Value_Chain_Alignment_10% Score,S5_Value_Chain_Alignment_10% Reason,S6_Inclusivity_Sustainability_20% Score,S6_Inclusivity_Sustainability_20% Reason,Ineligibility Criterion Failed,Reason
1,Siaya_SRFO,Greatlakes Feeds ltd,ELIGIBLE,85.10,4.1,Established in 2021 (4 years); Private Company status.,5.0,"2024 Revenue: KES 48,222,019.00; Accounting system: QuickBooks.",5.0,B2B Sales: 40.0%; Market strategy reported.,3.4,Structured expansion plans provided,5.0,Aligned with Blue Economy priority value chain.,3.5,Limited evidence of inclusivity profile.,,
2,Siaya_VFMH,Pendeza Weaving Project,ELIGIBLE,82.50,5.0,Established in 2006 (19 years); Other status.,5.0,"2024 Revenue: KES 11,826,765.00; Accounting system: Other.",4.0,B2B Sales: 10.0%; Market strategy reported.,3.5,Structured expansion plans provided,5.0,Aligned with Textiles priority value chain.,3.5,Limited evidence of inclusivity profile.,,
3,Siaya_DTSV,Siaya County Kuku Farmers Co-operative Society Limited,ELIGIBLE,81.80,5.0,Established in 2014 (11 years); Cooperative status.,3.7,"2024 Revenue: KES 1,000,000.00; Accounting system: Zoho Books.",5.0,B2B Sales: 45.0%; Market strategy reported.,3.6,Structured expansion plans provided,5.0,Aligned with Blue Economy priority value chain.,3.5,Limited evidence of inclusivity profile.,,
4,Siaya_DXR7,SEAFIRM GENERAL MERCHANTS LIMITED,ELIGIBLE,80.80,5.0,Established in 2011 (14 years); Private Company status.,3.7,"2024 Revenue: KES 2,000,000.00; Accounting system: QuickBooks.",5.0,B2B Sales: 60.0%; Market strategy reported.,3.4,Structured expansion plans provided,5.0,Aligned with Construction priority value chain.,3.5,Limited evidence of inclusivity profile.,,
5,Siaya_5MRH,Lakeland Dairy Cooperative Society Ltd,ELIGIBLE,78.00,5.0,Established in 1993 (32 years); Cooperative status.,3.3,"2024 Revenue: KES 1,248,240.00; Accounting system: None.",5.0,B2B Sales: 60.0%; Market strategy reported.,3.4,Structured expansion plans provided,5.0,Aligned with Dairy priority value chain.,3.2,Limited evidence of inclusivity profile.,,
6,Siaya_HTVQ,Light Youth group Cbo,ELIGIBLE,77.20,5.0,Established in 2012 (13 years); Private Company status.,3.2,"2024 Revenue: KES 500,000.00; Accounting system: Other.",4.9,B2B Sales: 50.0%; Market strategy reported.,3.4,Structured expansion plans provided,5.0,Aligned with Blue Economy priority value chain.,3.2,Limited evidence of inclusivity profile.,,
7,Siaya_MFT0,NEW YALA DAIRY FARMERS COOPERATIVE SOCIETY LTD,ELIGIBLE,76.00,5.0,Established in 1989 (36 years); Cooperative status.,3.8,"2024 Revenue: KES 4,600,000.00; Accounting system: None.",3.9,B2B Sales: 20.0%; Market strategy reported.,3.4,Structured expansion plans provided,5.0,Aligned with Dairy priority value chain.,3.3,Limited evidence of inclusivity profile.,,
8,Siaya_HGG2,DOMBA GENDER ARTISANAL MINERS CO-OPERATIVE SOCIETY LTD,ELIGIBLE,74.70,3.6,Established in 2023 (2 years); Cooperative status.,5.0,"2024 Revenue: KES 1,800,000,000.00; Accounting system: None.",2.4,B2B Sales: 0.0%; Market strategy reported.,3.5,Structured expansion plans provided,5.0,Aligned with minerals priority value chain.,3.5,Limited evidence of inclusivity profile.,,
9,Siaya_STB3,Alauka Business Solutions,ELIGIBLE,73.10,4.3,Established in 2019 (6 years); Other status.,3.3,"2024 Revenue: KES 1,100,000.00; Accounting system: None.",5.0,B2B Sales: 55.0%; Market strategy reported.,3.6,Structured expansion plans provided,5.0,Aligned with Construction priority value chain.,1.9,Limited evidence of inclusivity profile.,,
10,Siaya_UMIA,UPENDO SIAYA SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED,ELIGIBLE,72.40,5.0,Established in 2018 (7 years); Cooperative status.,1.7,2024 Revenue: KES 0.00; Accounting system: QuickBooks.,5.0,B2B Sales: 60.0%; Market strategy reported.,3.4,Structured expansion plans provided,5.0,Aligned with Construction priority value chain.,3.4,Limited evidence of inclusivity profile.,,
