Rank,Application ID,Applicant Name,Eligibility Status,Composite Score,S1_Registration_Track_Record_5% Score,S1_Registration_Track_Record_5% Reason,S2_Financial_Position_20% Score,S2_Financial_Position_20% Reason,S3_Market_Demand_Competitiveness_20% Score,S3_Market_Demand_Competitiveness_20% Reason,S4_Business_Proposal_Viability_25% Score,S4_Business_Proposal_Viability_25% Reason,S5_Value_Chain_Alignment_10% Score,S5_Value_Chain_Alignment_10% Reason,S6_Inclusivity_Sustainability_20% Score,S6_Inclusivity_Sustainability_20% Reason,Ineligibility Criterion Failed,Reason
1,Taita Taveta_RZME,TAVETA PAMBA NI MALI COOPERATIVE SOCIETY LTD,ELIGIBLE,86.00,3,Established in 2021 (4 years); Cooperative status.,5,"2024 Revenue: KES 6,800,000.00; Accounting system: None.",5,B2B Sales: 100.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Textiles priority value chain.,5,Woman-owned enterprise,,
2,Taita Taveta_DUCU,ORGANIC ILEMBA LIMITED,ELIGIBLE,75.00,4,Established in 2019 (6 years); Private Company status.,5,"2024 Revenue: KES 1,200,000.00; Accounting system: None.",2,B2B Sales: 0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Edible Oils priority value chain.,5,Woman-owned enterprise,,
3,Taita Taveta_U0YX,SKYWEB GENERAL SUPPLIES,ELIGIBLE,75.00,4,Established in 2018 (7 years); Other status.,5,"2024 Revenue: KES 8,338,658.00; Accounting system: None.",2,B2B Sales: 0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Construction priority value chain.,5,Woman-owned enterprise,,
4,Taita Taveta_IYYI,NZEVE NZAU WOMEN GROUP,ELIGIBLE,68.00,5,Established in 2012 (13 years); Other status.,3,"2024 Revenue: KES 100,000.00; Accounting system: QuickBooks.",2,B2B Sales: 0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Edible Oils priority value chain.,5,Woman-owned enterprise,,
5,Taita Taveta_OHIO,LESSESIA FARMERS AND ENVIRONMENT CONSERVATION GROUP,ELIGIBLE,66.00,3,Established in 2023 (2 years); Other status.,3,"2024 Revenue: KES 95,000.00; Accounting system: QuickBooks.",2,B2B Sales: 0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Edible Oils priority value chain.,5,Woman-owned enterprise,,
6,Taita Taveta_NDCH,NEW LIGHT WOMEN GROUP,ELIGIBLE,66.00,3,Established in 2023 (2 years); Other status.,3,"2024 Revenue: KES 60,000.00; Accounting system: QuickBooks.",2,B2B Sales: 0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Edible Oils priority value chain.,5,Woman-owned enterprise,,
7,Taita Taveta_JTI6,CHAWIA JITEGEMEE YOUTH GROUP,ELIGIBLE,60.00,5,Established in 2014 (11 years); Other status.,4,"2024 Revenue: KES 880,000.00; Accounting system: None.",3,B2B Sales: 20.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Blue Economy priority value chain.,1,Limited evidence of inclusivity profile.,,
8,Taita Taveta_XTTY,Taita Taveta Women Mining Group,ELIGIBLE,60.00,5,Established in 2007 (18 years); MSME Association status.,1,2024 Revenue: KES 0.00; Accounting system: None.,2,B2B Sales: 0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with minerals priority value chain.,5,Woman-owned enterprise,,
9,Taita Taveta_VN2P,AGLIECE-Agric Livestock and Economic Experts,ELIGIBLE,59.00,4,Established in 2019 (6 years); Private Company status.,1,2024 Revenue: KES 0.00; Accounting system: None.,2,B2B Sales: 0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Dairy priority value chain.,5,Woman-owned enterprise,,
,Taita Taveta_QNEI,Huruma Lessesia CBO,INELIGIBLE,0.00,,,,,,,,,,,,,E4,No financial evidence (Bank/Mpesa) attached.
,Taita Taveta_PF2N,Taita Group Ranches Cluster,INELIGIBLE,0.00,,,,,,,,,,,,,E4,No financial evidence (Bank/Mpesa) attached.
,Taita Taveta_ACWD,Taita Taveta Artisanal Miners Association (TTAMA),INELIGIBLE,0.00,,,,,,,,,,,,,E4,No financial evidence (Bank/Mpesa) attached.
