Rank,Application ID,Applicant Name,Eligibility Status,Composite Score,S1_Registration_Track_Record_5% Score,S1_Registration_Track_Record_5% Reason,S2_Financial_Position_20% Score,S2_Financial_Position_20% Reason,S3_Market_Demand_Competitiveness_20% Score,S3_Market_Demand_Competitiveness_20% Reason,S4_Business_Proposal_Viability_25% Score,S4_Business_Proposal_Viability_25% Reason,S5_Value_Chain_Alignment_10% Score,S5_Value_Chain_Alignment_10% Reason,S6_Inclusivity_Sustainability_20% Score,S6_Inclusivity_Sustainability_20% Reason,Ineligibility Criterion Failed,Reason
1,Trans Nzoia_NBI3,JACBEN COMPANY LIMITED,ELIGIBLE,87.00,4,Established in 2018 (7 years); Private Company status.,5,"2024 Revenue: KES 543,234.00; Accounting system: QuickBooks.",5,B2B Sales: 85.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Construction priority value chain.,5,Woman-owned enterprise,,
2,Trans Nzoia_VVQP,NURU WOMEN CBO,ELIGIBLE,86.00,3,Established in 2022 (3 years); Private Company status.,5,"2024 Revenue: KES 1,440,000.00; Accounting system: QuickBooks.",5,B2B Sales: 65.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Textiles priority value chain.,5,Woman-owned enterprise,,
3,Trans Nzoia_YYYA,ELGONFINE ENTERPRISES LIMITED,ELIGIBLE,84.00,5,Established in 2010 (15 years); Private Company status.,4,"2024 Revenue: KES 600,000.00; Accounting system: None.",5,B2B Sales: 80.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Edible Oils priority value chain.,5,Woman-owned enterprise,,
4,Trans Nzoia_RUN5,UMAK COTTAGE TEXTILE INDUSTRY,ELIGIBLE,84.00,5,Established in 2014 (11 years); Private Company status.,5,"2024 Revenue: KES 7,680,360.00; Accounting system: None.",4,B2B Sales: 32.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Textiles priority value chain.,5,Woman-owned enterprise,,
5,Trans Nzoia_ALVB,TRANS QUEENS AND KINGS POULTRY FARMERS CO-OPERATIVE SOCIETY LTD,ELIGIBLE,83.00,4,Established in 2019 (6 years); Cooperative status.,5,"2024 Revenue: KES 2,037,050.00; Accounting system: Other.",4,B2B Sales: 30.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with other priority value chain.,5,Woman-owned enterprise,,
6,Trans Nzoia_FKAS,UJIRANI MWEMA NA AMANI ASSOCIATION,ELIGIBLE,83.00,4,Established in 2019 (6 years); MSME Association status.,5,"2024 Revenue: KES 16,563,431.00; Accounting system: None.",4,B2B Sales: 30.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Textiles priority value chain.,5,Woman-owned enterprise,,
7,Trans Nzoia_LBVE,GREEN WAY SOLUTIONS LTD,ELIGIBLE,66.00,3,Established in 2022 (3 years); Private Company status.,5,"2024 Revenue: KES 2,134,761.00; Accounting system: Other.",4,B2B Sales: 40.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Dairy priority value chain.,1,Limited evidence of inclusivity profile.,,
8,Trans Nzoia_C9XX,ISROMBO SERVICES,ELIGIBLE,64.00,5,Established in 2014 (11 years); Private Company status.,4,"2024 Revenue: KES 350,000.00; Accounting system: Other.",4,B2B Sales: 30.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Textiles priority value chain.,1,Limited evidence of inclusivity profile.,,
9,Trans Nzoia_RX7F,TRANS-COUNTIES SACCO SOCIETY LIMITED,ELIGIBLE,60.00,5,Established in 1993 (32 years); Cooperative status.,5,"2024 Revenue: KES 37,138,119.00; Accounting system: Other.",2,B2B Sales: 0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Tea priority value chain.,1,Limited evidence of inclusivity profile.,,
,Trans Nzoia_OAPF,WOMEN FARMERS ASSOCIATION,INELIGIBLE,0.00,,,,,,,,,,,,,E4,No financial evidence (Bank/Mpesa) attached.
