Rank,Application ID,Applicant Name,Eligibility Status,Composite Score,S1_Registration_Track_Record_5% Score,S1_Registration_Track_Record_5% Reason,S2_Financial_Position_20% Score,S2_Financial_Position_20% Reason,S3_Market_Demand_Competitiveness_20% Score,S3_Market_Demand_Competitiveness_20% Reason,S4_Business_Proposal_Viability_25% Score,S4_Business_Proposal_Viability_25% Reason,S5_Value_Chain_Alignment_10% Score,S5_Value_Chain_Alignment_10% Reason,S6_Inclusivity_Sustainability_20% Score,S6_Inclusivity_Sustainability_20% Reason,Ineligibility Criterion Failed,Reason
1,Turkana_AM4M,NATUMAMONG WOMEN HOUSING CO-OPERATIVE SOCIETY LIMITED,ELIGIBLE,86.00,3,Established in 2021 (4 years); Cooperative status.,5,"2024 Revenue: KES 2,306,031.62; Accounting system: None.",5,B2B Sales: 70.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Construction priority value chain.,5,Woman-owned enterprise,,
2,Turkana_QMGU,Kakuma Bee Social Enterprise Limited,ELIGIBLE,83.00,4,Established in 2019 (6 years); Other status.,5,"2024 Revenue: KES 3,000,000.00; Accounting system: Zoho Books.",4,B2B Sales: 25.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with other priority value chain.,5,Woman-owned enterprise,,
3,Turkana_MYIO,Naruko Kerio delta Fresh fish self help group,ELIGIBLE,80.00,1,Established in 2024 (1 years); MSME Association status.,4,"2024 Revenue: KES 300,000.00; Accounting system: QuickBooks.",5,B2B Sales: 60.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Blue Economy priority value chain.,5,Woman-owned enterprise,,
4,Turkana_W9ZP,Lodwar Fish Mongers,ELIGIBLE,79.00,4,Established in 2017 (8 years); Other status.,5,"2024 Revenue: KES 1,357,428.00; Accounting system: None.",3,B2B Sales: 10.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Blue Economy priority value chain.,5,Woman-owned enterprise,,
5,Turkana_7BUU,Turkana county Association of Miners_TCAM,ELIGIBLE,75.00,4,Established in 2020 (5 years); MSME Association status.,5,"2024 Revenue: KES 10,800,000.00; Accounting system: Other.",2,B2B Sales: 0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with minerals priority value chain.,5,Woman-owned enterprise,,
6,Turkana_JDC6,LOKORI WARD CDDC SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED,ELIGIBLE,74.00,3,Established in 2022 (3 years); Cooperative status.,5,"2024 Revenue: KES 617,000.00; Accounting system: Other.",2,B2B Sales: 0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with other priority value chain.,5,Woman-owned enterprise,,
7,Turkana_K7F0,Pastoralists Poverty Eradication Initiative (OPPEI),ELIGIBLE,70.00,3,Established in 2021 (4 years); Other status.,4,"2024 Revenue: KES 480,000.00; Accounting system: QuickBooks.",2,B2B Sales: 0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with other priority value chain.,5,Woman-owned enterprise,,
8,Turkana_XANC,NADOME HOUSING CO-OPERATIVE SOCIETY LIMITED,ELIGIBLE,66.00,3,Established in 2023 (2 years); Cooperative status.,4,"2024 Revenue: KES 681,968.57; Accounting system: None.",5,B2B Sales: 60.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Construction priority value chain.,1,Limited evidence of inclusivity profile.,,
9,Turkana_2FO1,Kapedo CDDC savings and credit co-operative society limited,ELIGIBLE,62.00,3,Established in 2023 (2 years); Cooperative status.,5,"2024 Revenue: KES 2,928,000.00; Accounting system: None.",3,B2B Sales: 10.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with other priority value chain.,1,Limited evidence of inclusivity profile.,,
10,Turkana_IDJK,LOKICHOGGIO LIVESTOCK MARKETING ASSOCIATION,ELIGIBLE,60.00,5,Established in 2011 (14 years); MSME Association status.,4,"2024 Revenue: KES 360,000.00; Accounting system: QuickBooks.",3,B2B Sales: 20.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with other priority value chain.,1,Limited evidence of inclusivity profile.,,
,Turkana_XFHO,MURUONGOR BMU,INELIGIBLE,0.00,,,,,,,,,,,,,E4,No financial evidence (Bank/Mpesa) attached.
