Rank,Application ID,Applicant Name,Eligibility Status,Composite Score,S1_Registration_Track_Record_5% Score,S1_Registration_Track_Record_5% Reason,S2_Financial_Position_20% Score,S2_Financial_Position_20% Reason,S3_Market_Demand_Competitiveness_20% Score,S3_Market_Demand_Competitiveness_20% Reason,S4_Business_Proposal_Viability_25% Score,S4_Business_Proposal_Viability_25% Reason,S5_Value_Chain_Alignment_10% Score,S5_Value_Chain_Alignment_10% Reason,S6_Inclusivity_Sustainability_20% Score,S6_Inclusivity_Sustainability_20% Reason,Ineligibility Criterion Failed,Reason
1,Uasin Gishu_UKFJ,Singalo Farmers Cooperative Society LTD,ELIGIBLE,88.00,5,Established in 2007 (18 years); Cooperative status.,5,"2024 Revenue: KES 2,814,782.00; Accounting system: QuickBooks.",5,B2B Sales: 68.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Dairy priority value chain.,5,Woman-owned enterprise,,
2,Uasin Gishu_WMQQ,KUONA MBELE INVESTMENT CO-OPERATIVE SOCIETY LIMITED,ELIGIBLE,88.00,5,Established in 2015 (10 years); Cooperative status.,5,"2024 Revenue: KES 6,800,000.00; Accounting system: QuickBooks.",5,B2B Sales: 85.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with other priority value chain.,5,Woman-owned enterprise,,
3,Uasin Gishu_C82I,NEW PROGRESS FARMERS CO-OPERATIVE SOCIETY LIMITED,ELIGIBLE,88.00,5,Established in 1963 (62 years); Cooperative status.,5,"2024 Revenue: KES 56,000,001.00; Accounting system: QuickBooks.",5,B2B Sales: 60.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with other priority value chain.,5,Woman-owned enterprise,,
4,Uasin Gishu_KUBJ,CHEMARER MULTIPURPOSE COOPERATIVE SOCIETY,ELIGIBLE,88.00,5,Established in 1987 (38 years); Cooperative status.,5,"2024 Revenue: KES 80,150,624.00; Accounting system: None.",5,B2B Sales: 99.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Dairy priority value chain.,5,Woman-owned enterprise,,
5,Uasin Gishu_QMP9,TECHECHY LOGISTICS LIMITED,ELIGIBLE,87.00,4,Established in 2017 (8 years); Private Company status.,5,"2024 Revenue: KES 40,120,303.00; Accounting system: None.",5,B2B Sales: 100.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Construction priority value chain.,5,Woman-owned enterprise,,
6,Uasin Gishu_1MRQ,MACE FOODS,ELIGIBLE,84.00,5,Established in 2015 (10 years); Private Company status.,5,"2024 Revenue: KES 25,175,342.00; Accounting system: Other.",4,B2B Sales: 30.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with other priority value chain.,5,Woman-owned enterprise,,
7,Uasin Gishu_BQ9T,UASIN GISHU FASHION AND DESIGN ASSOCIATION,ELIGIBLE,82.00,3,Established in 2023 (2 years); Other status.,5,"2024 Revenue: KES 1,250,000.00; Accounting system: None.",4,B2B Sales: 35.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Textiles priority value chain.,5,Woman-owned enterprise,,
8,Uasin Gishu_WCZE,PLATEAU LELIT FARMERS CO-OPERATIVE SOCIETY LIMITED,ELIGIBLE,80.00,5,Established in 2013 (12 years); Cooperative status.,3,"2024 Revenue: KES 67,000.00; Accounting system: QuickBooks.",5,B2B Sales: 54.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Dairy priority value chain.,5,Woman-owned enterprise,,
9,Uasin Gishu_O3EF,Eldo Usafric Limited,ELIGIBLE,80.00,1,Established in 2025 (0 years); Private Company status.,5,"2024 Revenue: KES 750,000.00; Accounting system: QuickBooks.",4,B2B Sales: 45.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Coffee priority value chain.,5,Woman-owned enterprise,,
10,Uasin Gishu_IWWN,SACTEL THREE LIMITED COMPANY,ELIGIBLE,78.00,3,Established in 2023 (2 years); Private Company status.,4,"2024 Revenue: KES 500,000.00; Accounting system: Other.",4,B2B Sales: 30.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with other priority value chain.,5,Woman-owned enterprise,,
