Rank,Application ID,Applicant Name,Eligibility Status,Composite Score,S1_Registration_Track_Record_5% Score,S1_Registration_Track_Record_5% Reason,S2_Financial_Position_20% Score,S2_Financial_Position_20% Reason,S3_Market_Demand_Competitiveness_20% Score,S3_Market_Demand_Competitiveness_20% Reason,S4_Business_Proposal_Viability_25% Score,S4_Business_Proposal_Viability_25% Reason,S5_Value_Chain_Alignment_10% Score,S5_Value_Chain_Alignment_10% Reason,S6_Inclusivity_Sustainability_20% Score,S6_Inclusivity_Sustainability_20% Reason,Ineligibility Criterion Failed,Reason
1,Vihiga_9VLT,SABATIA MICRO AND SMALL ENTERPRISE ASSOCIATION,ELIGIBLE,88.00,5,Established in 2015 (10 years); MSME Association status.,5,"2024 Revenue: KES 2,300,000.00; Accounting system: None.",5,B2B Sales: 80.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with minerals priority value chain.,5,Woman-owned enterprise,,
2,Vihiga_BPBK,SABATIA MULEMBE WOMEN CONGRESS,ELIGIBLE,84.00,1,Established in 2024 (1 years); Private Company status.,5,"2024 Revenue: KES 2,500,000.00; Accounting system: Other.",5,B2B Sales: 70.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Edible Oils priority value chain.,5,Woman-owned enterprise,,
3,Vihiga_GGWZ,Maragrow,ELIGIBLE,83.00,4,Established in 2019 (6 years); Private Company status.,5,"2024 Revenue: KES 875,000.00; Accounting system: QuickBooks.",4,B2B Sales: 30.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Blue Economy priority value chain.,5,Woman-owned enterprise,,
4,Vihiga_OB8O,SACODEF,ELIGIBLE,78.00,3,Established in 2022 (3 years); MSME Association status.,4,"2024 Revenue: KES 480,000.00; Accounting system: QuickBooks.",4,B2B Sales: 30.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with other priority value chain.,5,Woman-owned enterprise,,
5,Vihiga_GGSD,Mungoma hospital,ELIGIBLE,76.00,5,Established in 2014 (11 years); Private Company status.,5,"2024 Revenue: KES 2,000,000.00; Accounting system: Sage.",2,B2B Sales: 0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with other priority value chain.,5,Woman-owned enterprise,,
6,Vihiga_37OM,Emuhaya united youth,ELIGIBLE,74.00,3,Established in 2023 (2 years); Cooperative status.,3,"2024 Revenue: KES 70,000.00; Accounting system: Other.",4,B2B Sales: 40.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Dairy priority value chain.,5,Woman-owned enterprise,,
7,Vihiga_GW6R,Progress PYG038 Group Limited,ELIGIBLE,66.00,3,Established in 2023 (2 years); Private Company status.,3,"2024 Revenue: KES 21,160.00; Accounting system: Wave.",2,B2B Sales: 0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Construction priority value chain.,5,Woman-owned enterprise,,
8,Vihiga_GW6R,Progress PYG038 Group Limited,ELIGIBLE,66.00,3,Established in 2023 (2 years); Private Company status.,3,"2024 Revenue: KES 21,160.00; Accounting system: Wave.",2,B2B Sales: 0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Construction priority value chain.,5,Woman-owned enterprise,,
9,Vihiga_LHUO,Vihiga County Boda Boda Savings and credit cooperative society ltd,ELIGIBLE,62.00,3,Established in 2021 (4 years); Cooperative status.,4,"2024 Revenue: KES 900,000.00; Accounting system: None.",4,B2B Sales: 40.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Dairy priority value chain.,1,Limited evidence of inclusivity profile.,,
10,Vihiga_VZVN,Lyimarose Agencies Limited,ELIGIBLE,60.00,1,Established in 2024 (1 years); Private Company status.,2,2024 Revenue: KES 0.00; Accounting system: QuickBooks.,2,B2B Sales: 0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with other priority value chain.,5,Woman-owned enterprise,,
11,Vihiga_EBYL,Manyatta Agro Processing,ELIGIBLE,58.00,3,Established in 2021 (4 years); MSME Association status.,3,"2024 Revenue: KES 200,000.00; Accounting system: None.",4,B2B Sales: 30.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Edible Oils priority value chain.,1,Limited evidence of inclusivity profile.,,
12,Vihiga_PXJ8,Bunyore Social Welfare Organization,ELIGIBLE,58.00,3,Established in 2022 (3 years); MSME Association status.,5,"2024 Revenue: KES 540,000.00; Accounting system: QuickBooks.",2,B2B Sales: 0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Edible Oils priority value chain.,1,Limited evidence of inclusivity profile.,,
,Vihiga_NXAV,Masero self help group,INELIGIBLE,0.00,,,,,,,,,,,,,E4,No financial evidence (Bank/Mpesa) attached.
