Rank,Application ID,Applicant Name,Eligibility Status,Composite Score,S1_Registration_Track_Record_5% Score,S1_Registration_Track_Record_5% Reason,S2_Financial_Position_20% Score,S2_Financial_Position_20% Reason,S3_Market_Demand_Competitiveness_20% Score,S3_Market_Demand_Competitiveness_20% Reason,S4_Business_Proposal_Viability_25% Score,S4_Business_Proposal_Viability_25% Reason,S5_Value_Chain_Alignment_10% Score,S5_Value_Chain_Alignment_10% Reason,S6_Inclusivity_Sustainability_20% Score,S6_Inclusivity_Sustainability_20% Reason,Ineligibility Criterion Failed,Reason
1,Wajir_EVIM,Showli women group,ELIGIBLE,79.00,4,Established in 2017 (8 years); Cooperative status.,4,"2024 Revenue: KES 600,000.00; Accounting system: None.",4,B2B Sales: 30.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Dairy priority value chain.,5,Woman-owned enterprise,,
2,Wajir_XMXT,BARWAKO WEAVES,ELIGIBLE,79.00,4,Established in 2020 (5 years); MSME Association status.,3,"2024 Revenue: KES 175,000.00; Accounting system: None.",5,B2B Sales: 65.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with other priority value chain.,5,Woman-owned enterprise,,
3,Wajir_1GCL,GRIFTU KULMIYE MILK MARKETING CO-OPERATIVE SOCIETY LIMITED,ELIGIBLE,78.00,3,Established in 2023 (2 years); Cooperative status.,3,"2024 Revenue: KES 484,000.00; Accounting system: None.",5,B2B Sales: 70.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Dairy priority value chain.,5,Woman-owned enterprise,,
4,Wajir_HGIQ,Tailoring and clothing production,ELIGIBLE,74.00,3,Established in 2022 (3 years); MSME Association status.,2,"2024 Revenue: KES 13,000.00; Accounting system: None.",5,B2B Sales: 60.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Textiles priority value chain.,5,Woman-owned enterprise,,
5,Wajir_RMUM,AL HIDAYA YOUTH GROUP,ELIGIBLE,74.00,3,Established in 2021 (4 years); MSME Association status.,2,"2024 Revenue: KES 80,000.00; Accounting system: None.",5,B2B Sales: 70.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Rice priority value chain.,5,Woman-owned enterprise,,
6,Wajir_T0ER,YOUNG TECHNOLOGY YOUTH SELF HELP GROUP,ELIGIBLE,72.00,5,Established in 2015 (10 years); Other status.,3,"2024 Revenue: KES 100,000.00; Accounting system: Other.",3,B2B Sales: 15.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Construction priority value chain.,5,Woman-owned enterprise,,
7,Wajir_DXNM,Bute tailoring,ELIGIBLE,70.00,3,Established in 2023 (2 years); Cooperative status.,3,"2024 Revenue: KES 500,000.00; Accounting system: None.",3,B2B Sales: 20.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Textiles priority value chain.,5,Woman-owned enterprise,,
,Wajir_HBYL,Daryeel agrovet ltd,INELIGIBLE,0.00,,,,,,,,,,,,,E4,No financial evidence (Bank/Mpesa) attached.
,Wajir_PGRX,bismilahi eldas women saving and credit co-operative society limited,INELIGIBLE,0.00,,,,,,,,,,,,,E4,No financial evidence (Bank/Mpesa) attached.
,Wajir_FIYW,ELDAS MILK SELLERS WOMEN MARKETING CO-OPERATIVE SOCIETY LMT,INELIGIBLE,0.00,,,,,,,,,,,,,E4,No financial evidence (Bank/Mpesa) attached.
